date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-02-27,1.0,0.0,0.0,1.0,,,
2020-02-28,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-29,3.0,0.0,0.0,3.0,2.0,0.0,0.0
2020-03-01,4.0,0.0,0.0,4.0,1.0,0.0,0.0
2020-03-02,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-03-03,6.0,0.0,0.0,6.0,2.0,0.0,0.0
2020-03-04,10.0,0.0,0.0,10.0,4.0,0.0,0.0
2020-03-05,10.0,0.0,0.0,10.0,0.0,0.0,0.0
2020-03-06,23.0,0.0,1.0,22.0,13.0,0.0,1.0
2020-03-07,23.0,0.0,1.0,22.0,0.0,0.0,0.0
2020-03-08,35.0,0.0,1.0,34.0,12.0,0.0,0.0
2020-03-09,90.0,0.0,1.0,89.0,55.0,0.0,0.0
2020-03-10,262.0,0.0,1.0,261.0,172.0,0.0,0.0
2020-03-11,444.0,0.0,1.0,443.0,182.0,0.0,0.0
2020-03-12,617.0,0.0,1.0,616.0,173.0,0.0,0.0
2020-03-13,804.0,0.0,1.0,803.0,187.0,0.0,0.0
2020-03-14,836.0,1.0,1.0,834.0,32.0,1.0,0.0
2020-03-15,875.0,2.0,1.0,872.0,39.0,1.0,0.0
2020-03-16,932.0,3.0,1.0,928.0,57.0,1.0,0.0
2020-03-17,1024.0,4.0,1.0,1019.0,92.0,1.0,0.0
2020-03-18,1115.0,4.0,1.0,1110.0,91.0,0.0,0.0
2020-03-19,1225.0,6.0,1.0,1218.0,110.0,2.0,0.0
2020-03-20,1337.0,9.0,1.0,1327.0,112.0,3.0,0.0
2020-03-21,1420.0,13.0,1.0,1406.0,83.0,4.0,0.0
2020-03-22,1514.0,13.0,4.0,1497.0,94.0,0.0,3.0
2020-03-23,1572.0,24.0,24.0,1524.0,58.0,11.0,20.0
2020-03-24,1718.0,32.0,36.0,1650.0,146.0,8.0,12.0
2020-03-25,1862.0,34.0,41.0,1787.0,144.0,2.0,5.0
2020-03-26,2023.0,41.0,50.0,1932.0,161.0,7.0,9.0
2020-03-27,2200.0,52.0,57.0,2091.0,177.0,11.0,7.0
2020-03-28,2366.0,65.0,57.0,2244.0,166.0,13.0,0.0
2020-03-29,2564.0,72.0,73.0,2419.0,198.0,7.0,16.0
2020-03-30,2755.0,77.0,73.0,2605.0,191.0,5.0,0.0
2020-03-31,3039.0,90.0,77.0,2872.0,284.0,13.0,4.0
2020-04-01,3290.0,104.0,971.0,2215.0,251.0,14.0,894.0
2020-04-02,3573.0,123.0,1172.0,2278.0,283.0,19.0,201.0
2020-04-03,3946.0,139.0,1287.0,2520.0,373.0,16.0,115.0
2020-04-04,4269.0,161.0,1379.0,2729.0,323.0,22.0,92.0
2020-04-05,4561.0,179.0,1429.0,2953.0,292.0,18.0,50.0
2020-04-06,4875.0,187.0,1489.0,3199.0,314.0,8.0,60.0
2020-04-07,5266.0,203.0,1621.0,3442.0,391.0,16.0,132.0
2020-04-08,5597.0,218.0,1763.0,3616.0,331.0,15.0,142.0
2020-04-09,5830.0,237.0,1883.0,3710.0,233.0,19.0,120.0
