date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-01-22,1.0,0.0,0.0,0.0,,,
2020-01-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,2.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-01-25,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,5.0,0.0,0.0,0.0,3.0,0.0,0.0
2020-01-27,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,6.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-02-01,8.0,0.0,0.0,8.0,2.0,0.0,0.0
2020-02-02,8.0,0.0,0.0,8.0,0.0,0.0,0.0
2020-02-03,11.0,0.0,0.0,11.0,3.0,0.0,0.0
2020-02-04,11.0,0.0,0.0,11.0,0.0,0.0,0.0
2020-02-05,12.0,0.0,0.0,12.0,1.0,0.0,0.0
2020-02-06,12.0,0.0,0.0,12.0,0.0,0.0,0.0
2020-02-07,12.0,0.0,0.0,12.0,0.0,0.0,0.0
2020-02-08,12.0,0.0,0.0,12.0,0.0,0.0,0.0
2020-02-09,12.0,0.0,3.0,9.0,0.0,0.0,3.0
2020-02-10,12.0,0.0,3.0,9.0,0.0,0.0,0.0
2020-02-11,13.0,0.0,3.0,10.0,1.0,0.0,0.0
2020-02-12,13.0,0.0,3.0,10.0,0.0,0.0,0.0
2020-02-13,15.0,0.0,3.0,12.0,2.0,0.0,0.0
2020-02-14,15.0,0.0,3.0,12.0,0.0,0.0,0.0
2020-02-15,15.0,0.0,3.0,12.0,0.0,0.0,0.0
2020-02-16,15.0,0.0,3.0,12.0,0.0,0.0,0.0
2020-02-17,15.0,0.0,3.0,12.0,0.0,0.0,0.0
2020-02-18,15.0,0.0,3.0,12.0,0.0,0.0,0.0
2020-02-19,15.0,0.0,3.0,12.0,0.0,0.0,0.0
2020-02-20,15.0,0.0,3.0,12.0,0.0,0.0,0.0
2020-02-21,35.0,0.0,5.0,30.0,20.0,0.0,2.0
2020-02-22,35.0,0.0,5.0,30.0,0.0,0.0,0.0
2020-02-23,35.0,0.0,5.0,30.0,0.0,0.0,0.0
2020-02-24,53.0,0.0,5.0,48.0,18.0,0.0,0.0
2020-02-25,53.0,0.0,6.0,47.0,0.0,0.0,1.0
2020-02-26,59.0,0.0,6.0,53.0,6.0,0.0,0.0
2020-02-27,60.0,0.0,6.0,54.0,1.0,0.0,0.0
2020-02-28,62.0,0.0,7.0,55.0,2.0,0.0,1.0
2020-02-29,70.0,1.0,7.0,62.0,8.0,1.0,0.0
2020-03-01,76.0,1.0,7.0,68.0,6.0,0.0,0.0
2020-03-02,101.0,6.0,7.0,88.0,25.0,5.0,0.0
2020-03-03,122.0,7.0,8.0,107.0,21.0,1.0,1.0
2020-03-04,153.0,11.0,8.0,134.0,31.0,4.0,0.0
2020-03-05,221.0,12.0,8.0,201.0,68.0,1.0,0.0
2020-03-06,278.0,14.0,8.0,256.0,57.0,2.0,0.0
2020-03-07,417.0,17.0,8.0,392.0,139.0,3.0,0.0
2020-03-08,537.0,21.0,8.0,508.0,120.0,4.0,0.0
2020-03-09,605.0,22.0,8.0,575.0,68.0,1.0,0.0
2020-03-10,959.0,28.0,8.0,923.0,354.0,6.0,0.0
2020-03-11,1281.0,36.0,8.0,1237.0,322.0,8.0,0.0
2020-03-12,1663.0,40.0,12.0,1611.0,382.0,4.0,4.0
2020-03-13,2179.0,47.0,12.0,2120.0,516.0,7.0,0.0
2020-03-14,2726.0,54.0,12.0,2660.0,547.0,7.0,0.0
2020-03-15,3499.0,63.0,12.0,3424.0,773.0,9.0,0.0
2020-03-16,4632.0,85.0,17.0,4530.0,1133.0,22.0,5.0
2020-03-17,6421.0,108.0,17.0,6296.0,1789.0,23.0,0.0
2020-03-18,7786.0,118.0,106.0,7562.0,1365.0,10.0,89.0
2020-03-19,13680.0,200.0,108.0,13372.0,5894.0,82.0,2.0
2020-03-20,19101.0,244.0,147.0,18710.0,5421.0,44.0,39.0
2020-03-21,25514.0,307.0,171.0,25036.0,6413.0,63.0,24.0
2020-03-22,33918.0,427.0,0.0,33491.0,8404.0,120.0,-171.0
2020-03-23,43754.0,568.0,0.0,43186.0,9836.0,141.0,0.0
2020-03-24,53876.0,706.0,348.0,52822.0,10122.0,138.0,348.0
2020-03-25,65961.0,942.0,361.0,64658.0,12085.0,236.0,13.0
2020-03-26,83973.0,1209.0,681.0,82083.0,18012.0,267.0,320.0
2020-03-27,101867.0,1581.0,869.0,99417.0,17894.0,372.0,188.0
2020-03-28,121692.0,2026.0,1072.0,118594.0,19825.0,445.0,203.0
2020-03-29,141098.0,2468.0,2665.0,135965.0,19406.0,442.0,1593.0
2020-03-30,162133.0,2979.0,5644.0,153510.0,21035.0,511.0,2979.0
