date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-04-06,4.0,0.0,0.0,4.0,,,
2020-04-07,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-08,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-09,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-10,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-11,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-12,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-13,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-14,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-15,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-16,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-17,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-18,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-19,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-20,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-21,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-22,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-23,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-24,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-25,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-26,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-27,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-04-28,8.0,0.0,4.0,4.0,4.0,0.0,4.0
2020-04-29,8.0,0.0,4.0,4.0,0.0,0.0,0.0
2020-04-30,14.0,0.0,4.0,10.0,6.0,0.0,0.0
2020-05-01,16.0,1.0,4.0,11.0,2.0,1.0,0.0
2020-05-02,16.0,1.0,4.0,11.0,0.0,0.0,0.0
2020-05-03,16.0,1.0,4.0,11.0,0.0,0.0,0.0
2020-05-04,23.0,3.0,4.0,16.0,7.0,2.0,0.0
2020-05-05,174.0,3.0,4.0,167.0,151.0,0.0,0.0
2020-05-06,174.0,3.0,4.0,167.0,0.0,0.0,0.0
2020-05-07,187.0,4.0,4.0,179.0,13.0,1.0,0.0
2020-05-08,208.0,5.0,4.0,199.0,21.0,1.0,0.0
2020-05-09,208.0,5.0,4.0,199.0,0.0,0.0,0.0
2020-05-10,208.0,5.0,4.0,199.0,0.0,0.0,0.0
2020-05-11,208.0,5.0,4.0,199.0,0.0,0.0,0.0
2020-05-12,208.0,5.0,4.0,199.0,0.0,0.0,0.0
2020-05-13,220.0,6.0,4.0,210.0,12.0,1.0,0.0
2020-05-14,235.0,7.0,4.0,224.0,15.0,1.0,0.0
2020-05-15,235.0,7.0,4.0,224.0,0.0,0.0,0.0
2020-05-16,235.0,7.0,4.0,224.0,0.0,0.0,0.0
2020-05-17,235.0,7.0,4.0,224.0,0.0,0.0,0.0
2020-05-18,246.0,7.0,4.0,235.0,11.0,0.0,0.0
2020-05-19,251.0,8.0,4.0,239.0,5.0,1.0,0.0
2020-05-20,251.0,8.0,4.0,239.0,0.0,0.0,0.0
2020-05-21,251.0,8.0,4.0,239.0,0.0,0.0,0.0
2020-05-22,251.0,8.0,4.0,239.0,0.0,0.0,0.0
2020-05-23,251.0,8.0,4.0,239.0,0.0,0.0,0.0
2020-05-24,251.0,8.0,4.0,239.0,0.0,0.0,0.0
2020-05-25,299.0,11.0,4.0,284.0,48.0,3.0,0.0
