date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-14,2.0,0.0,0.0,2.0,,,
2020-03-15,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-16,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-17,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-18,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-19,3.0,0.0,0.0,3.0,1.0,0.0,0.0
2020-03-20,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-21,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-22,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-23,4.0,0.0,0.0,4.0,1.0,0.0,0.0
2020-03-24,7.0,0.0,2.0,5.0,3.0,0.0,2.0
2020-03-25,7.0,0.0,2.0,5.0,0.0,0.0,0.0
2020-03-26,8.0,0.0,2.0,6.0,1.0,0.0,0.0
2020-03-27,8.0,0.0,2.0,6.0,0.0,0.0,0.0
2020-03-28,8.0,0.0,2.0,6.0,0.0,0.0,0.0
2020-03-29,11.0,0.0,2.0,9.0,3.0,0.0,0.0
2020-03-30,11.0,0.0,2.0,9.0,0.0,0.0,0.0
2020-03-31,11.0,0.0,2.0,9.0,0.0,0.0,0.0
2020-04-01,14.0,0.0,2.0,12.0,3.0,0.0,0.0
2020-04-02,14.0,0.0,3.0,11.0,0.0,0.0,1.0
2020-04-03,14.0,0.0,3.0,11.0,0.0,0.0,0.0
2020-04-04,14.0,0.0,3.0,11.0,0.0,0.0,0.0
2020-04-05,16.0,0.0,3.0,13.0,2.0,0.0,0.0
2020-04-06,16.0,0.0,3.0,13.0,0.0,0.0,0.0
2020-04-07,16.0,0.0,3.0,13.0,0.0,0.0,0.0
2020-04-08,16.0,0.0,3.0,13.0,0.0,0.0,0.0
2020-04-09,16.0,0.0,3.0,13.0,0.0,0.0,0.0
2020-04-10,16.0,0.0,3.0,13.0,0.0,0.0,0.0
2020-04-11,16.0,0.0,3.0,13.0,0.0,0.0,0.0
2020-04-12,16.0,0.0,3.0,13.0,0.0,0.0,0.0
2020-04-13,16.0,0.0,3.0,13.0,0.0,0.0,0.0
2020-04-14,16.0,0.0,3.0,13.0,0.0,0.0,0.0
2020-04-15,16.0,0.0,3.0,13.0,0.0,0.0,0.0
2020-04-16,16.0,0.0,4.0,12.0,0.0,0.0,1.0
2020-04-17,16.0,0.0,4.0,12.0,0.0,0.0,0.0
2020-04-18,16.0,0.0,6.0,10.0,0.0,0.0,2.0
2020-04-19,16.0,0.0,6.0,10.0,0.0,0.0,0.0
2020-04-20,16.0,0.0,6.0,10.0,0.0,0.0,0.0
2020-04-21,16.0,0.0,6.0,10.0,0.0,0.0,0.0
2020-04-22,16.0,0.0,6.0,10.0,0.0,0.0,0.0
2020-04-23,16.0,0.0,7.0,9.0,0.0,0.0,1.0
2020-04-24,16.0,0.0,7.0,9.0,0.0,0.0,0.0
2020-04-25,16.0,0.0,7.0,9.0,0.0,0.0,0.0
2020-04-26,16.0,0.0,8.0,8.0,0.0,0.0,1.0
2020-04-27,16.0,0.0,8.0,8.0,0.0,0.0,0.0
2020-04-28,16.0,0.0,8.0,8.0,0.0,0.0,0.0
2020-04-29,16.0,0.0,8.0,8.0,0.0,0.0,0.0
2020-04-30,16.0,0.0,8.0,8.0,0.0,0.0,0.0
2020-05-01,16.0,0.0,8.0,8.0,0.0,0.0,0.0
2020-05-02,16.0,0.0,8.0,8.0,0.0,0.0,0.0
2020-05-03,16.0,0.0,8.0,8.0,0.0,0.0,0.0
2020-05-04,16.0,0.0,8.0,8.0,0.0,0.0,0.0
2020-05-05,16.0,0.0,8.0,8.0,0.0,0.0,0.0
2020-05-06,16.0,0.0,8.0,8.0,0.0,0.0,0.0
2020-05-07,16.0,0.0,9.0,7.0,0.0,0.0,1.0
2020-05-08,16.0,0.0,9.0,7.0,0.0,0.0,0.0
2020-05-09,16.0,0.0,10.0,6.0,0.0,0.0,1.0
2020-05-10,16.0,0.0,11.0,5.0,0.0,0.0,1.0
2020-05-11,16.0,0.0,11.0,5.0,0.0,0.0,0.0
2020-05-12,16.0,0.0,11.0,5.0,0.0,0.0,0.0
2020-05-13,16.0,0.0,11.0,5.0,0.0,0.0,0.0
2020-05-14,16.0,0.0,12.0,4.0,0.0,0.0,1.0
2020-05-15,16.0,0.0,13.0,3.0,0.0,0.0,1.0
2020-05-16,16.0,0.0,13.0,3.0,0.0,0.0,0.0
2020-05-17,16.0,0.0,13.0,3.0,0.0,0.0,0.0
2020-05-18,16.0,0.0,13.0,3.0,0.0,0.0,0.0
2020-05-19,16.0,0.0,13.0,3.0,0.0,0.0,0.0
2020-05-20,16.0,0.0,14.0,2.0,0.0,0.0,1.0
2020-05-21,18.0,0.0,14.0,4.0,2.0,0.0,0.0
2020-05-22,19.0,0.0,14.0,5.0,1.0,0.0,0.0
2020-05-23,20.0,0.0,14.0,6.0,1.0,0.0,0.0
2020-05-24,21.0,0.0,14.0,7.0,1.0,0.0,0.0
2020-05-25,21.0,0.0,14.0,7.0,0.0,0.0,0.0
2020-05-26,21.0,0.0,14.0,7.0,0.0,0.0,0.0
2020-05-27,22.0,0.0,14.0,8.0,1.0,0.0,0.0
2020-05-28,22.0,0.0,14.0,8.0,0.0,0.0,0.0
2020-05-29,23.0,0.0,14.0,9.0,1.0,0.0,0.0
2020-05-30,23.0,0.0,14.0,9.0,0.0,0.0,0.0
2020-05-31,24.0,0.0,14.0,10.0,1.0,0.0,0.0
2020-06-01,25.0,0.0,16.0,9.0,1.0,0.0,2.0
2020-06-02,25.0,0.0,16.0,9.0,0.0,0.0,0.0
2020-06-03,25.0,0.0,16.0,9.0,0.0,0.0,0.0
2020-06-04,25.0,0.0,16.0,9.0,0.0,0.0,0.0
2020-06-05,25.0,0.0,16.0,9.0,0.0,0.0,0.0
2020-06-06,29.0,0.0,16.0,13.0,4.0,0.0,0.0
2020-06-07,29.0,0.0,16.0,13.0,0.0,0.0,0.0
2020-06-08,31.0,0.0,16.0,15.0,2.0,0.0,0.0
2020-06-09,31.0,0.0,16.0,15.0,0.0,0.0,0.0
2020-06-10,31.0,0.0,17.0,14.0,0.0,0.0,1.0
2020-06-11,31.0,0.0,17.0,14.0,0.0,0.0,0.0
2020-06-12,31.0,0.0,17.0,14.0,0.0,0.0,0.0
2020-06-13,32.0,0.0,17.0,15.0,1.0,0.0,0.0
2020-06-14,32.0,0.0,17.0,15.0,0.0,0.0,0.0
2020-06-15,32.0,0.0,17.0,15.0,0.0,0.0,0.0
2020-06-16,34.0,0.0,18.0,16.0,2.0,0.0,1.0
2020-06-17,36.0,0.0,19.0,17.0,2.0,0.0,1.0
2020-06-18,39.0,0.0,19.0,20.0,3.0,0.0,0.0
2020-06-19,45.0,0.0,19.0,26.0,6.0,0.0,0.0
2020-06-20,46.0,0.0,19.0,27.0,1.0,0.0,0.0
2020-06-21,55.0,0.0,19.0,36.0,9.0,0.0,0.0
2020-06-22,63.0,0.0,21.0,42.0,8.0,0.0,2.0
2020-06-23,72.0,0.0,21.0,51.0,9.0,0.0,0.0
2020-06-24,76.0,0.0,21.0,55.0,4.0,0.0,0.0
2020-06-25,102.0,0.0,21.0,81.0,26.0,0.0,0.0
2020-06-26,121.0,0.0,22.0,99.0,19.0,0.0,1.0
2020-06-27,136.0,0.0,22.0,114.0,15.0,0.0,0.0
2020-06-28,183.0,0.0,24.0,159.0,47.0,0.0,2.0
2020-06-29,196.0,0.0,24.0,172.0,13.0,0.0,0.0
2020-06-30,205.0,0.0,24.0,181.0,9.0,0.0,0.0
2020-07-01,285.0,0.0,24.0,261.0,80.0,0.0,0.0
2020-07-02,293.0,0.0,24.0,269.0,8.0,0.0,0.0
2020-07-03,350.0,0.0,25.0,325.0,57.0,0.0,1.0
2020-07-04,375.0,0.0,25.0,350.0,25.0,0.0,0.0
2020-07-05,412.0,0.0,25.0,387.0,37.0,0.0,0.0
2020-07-06,485.0,0.0,25.0,460.0,73.0,0.0,0.0
2020-07-07,539.0,0.0,25.0,514.0,54.0,0.0,0.0
2020-07-08,593.0,0.0,25.0,568.0,54.0,0.0,0.0
