date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-22,1.0,0.0,0.0,1.0,,,
2020-03-23,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-24,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-25,5.0,0.0,0.0,5.0,4.0,0.0,0.0
2020-03-26,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-27,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-28,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-29,9.0,1.0,0.0,8.0,4.0,1.0,0.0
2020-03-30,10.0,2.0,0.0,8.0,1.0,1.0,0.0
2020-03-31,10.0,2.0,0.0,8.0,0.0,0.0,0.0
2020-04-01,10.0,2.0,0.0,8.0,0.0,0.0,0.0
2020-04-02,16.0,2.0,0.0,14.0,6.0,0.0,0.0
2020-04-03,16.0,2.0,0.0,14.0,0.0,0.0,0.0
2020-04-04,16.0,2.0,2.0,12.0,0.0,0.0,2.0
2020-04-05,19.0,2.0,2.0,15.0,3.0,0.0,0.0
2020-04-06,19.0,2.0,2.0,15.0,0.0,0.0,0.0
2020-04-07,19.0,2.0,3.0,14.0,0.0,0.0,1.0
2020-04-08,19.0,2.0,4.0,13.0,0.0,0.0,1.0
2020-04-09,19.0,2.0,4.0,13.0,0.0,0.0,0.0
2020-04-10,19.0,2.0,4.0,13.0,0.0,0.0,0.0
2020-04-11,25.0,2.0,5.0,18.0,6.0,0.0,1.0
2020-04-12,25.0,2.0,5.0,18.0,0.0,0.0,0.0
2020-04-13,25.0,2.0,5.0,18.0,0.0,0.0,0.0
2020-04-14,29.0,2.0,5.0,22.0,4.0,0.0,0.0
2020-04-15,33.0,2.0,5.0,26.0,4.0,0.0,0.0
2020-04-16,33.0,2.0,5.0,26.0,0.0,0.0,0.0
2020-04-17,38.0,2.0,5.0,31.0,5.0,0.0,0.0
2020-04-18,38.0,2.0,5.0,31.0,0.0,0.0,0.0
2020-04-19,39.0,3.0,5.0,31.0,1.0,1.0,0.0
2020-04-20,39.0,3.0,5.0,31.0,0.0,0.0,0.0
2020-04-21,42.0,3.0,6.0,33.0,3.0,0.0,1.0
