date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-01-29,4.0,0.0,0.0,0.0,,,
2020-01-30,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-02-02,5.0,0.0,0.0,5.0,1.0,0.0,0.0
2020-02-03,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-02-04,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-02-05,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-02-06,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-02-07,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-02-08,7.0,0.0,0.0,7.0,2.0,0.0,0.0
2020-02-09,7.0,0.0,0.0,7.0,0.0,0.0,0.0
2020-02-10,8.0,0.0,0.0,8.0,1.0,0.0,0.0
2020-02-11,8.0,0.0,0.0,8.0,0.0,0.0,0.0
2020-02-12,8.0,0.0,1.0,7.0,0.0,0.0,1.0
2020-02-13,8.0,0.0,1.0,7.0,0.0,0.0,0.0
2020-02-14,8.0,0.0,1.0,7.0,0.0,0.0,0.0
2020-02-15,8.0,0.0,3.0,5.0,0.0,0.0,2.0
2020-02-16,9.0,0.0,4.0,5.0,1.0,0.0,1.0
2020-02-17,9.0,0.0,4.0,5.0,0.0,0.0,0.0
2020-02-18,9.0,0.0,4.0,5.0,0.0,0.0,0.0
2020-02-19,9.0,0.0,4.0,5.0,0.0,0.0,0.0
2020-02-20,9.0,0.0,4.0,5.0,0.0,0.0,0.0
2020-02-21,9.0,0.0,4.0,5.0,0.0,0.0,0.0
2020-02-22,13.0,0.0,4.0,9.0,4.0,0.0,0.0
2020-02-23,13.0,0.0,4.0,9.0,0.0,0.0,0.0
2020-02-24,13.0,0.0,4.0,9.0,0.0,0.0,0.0
2020-02-25,13.0,0.0,4.0,9.0,0.0,0.0,0.0
2020-02-26,13.0,0.0,4.0,9.0,0.0,0.0,0.0
2020-02-27,13.0,0.0,4.0,9.0,0.0,0.0,0.0
2020-02-28,19.0,0.0,5.0,14.0,6.0,0.0,1.0
2020-02-29,21.0,0.0,5.0,16.0,2.0,0.0,0.0
2020-03-01,21.0,0.0,5.0,16.0,0.0,0.0,0.0
2020-03-02,21.0,0.0,5.0,16.0,0.0,0.0,0.0
