date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-02,1.0,0.0,0.0,1.0,,,
2020-03-03,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-04,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-05,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-12,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-13,1.0,0.0,0.0,1.0,0.0,0.0,-1.0
2020-03-14,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-15,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-16,2.0,0.0,1.0,1.0,1.0,0.0,0.0
2020-03-17,39.0,0.0,1.0,38.0,37.0,0.0,0.0
2020-03-18,39.0,0.0,1.0,38.0,0.0,0.0,0.0
2020-03-19,53.0,0.0,1.0,52.0,14.0,0.0,0.0
2020-03-20,75.0,0.0,1.0,74.0,22.0,0.0,0.0
2020-03-21,88.0,0.0,1.0,87.0,13.0,0.0,0.0
2020-03-22,113.0,1.0,1.0,111.0,25.0,1.0,0.0
2020-03-23,133.0,1.0,1.0,131.0,20.0,0.0,0.0
2020-03-24,164.0,1.0,1.0,162.0,31.0,0.0,0.0
2020-03-25,188.0,1.0,1.0,186.0,24.0,0.0,0.0
2020-03-26,224.0,3.0,1.0,220.0,36.0,2.0,0.0
2020-03-27,267.0,3.0,1.0,263.0,43.0,0.0,0.0
2020-03-28,308.0,3.0,1.0,304.0,41.0,0.0,0.0
2020-03-29,334.0,6.0,1.0,327.0,26.0,3.0,0.0
2020-03-30,370.0,8.0,10.0,352.0,36.0,2.0,9.0
2020-03-31,376.0,12.0,10.0,354.0,6.0,4.0,0.0
2020-04-01,390.0,14.0,10.0,366.0,14.0,2.0,0.0
2020-04-02,428.0,15.0,10.0,403.0,38.0,1.0,0.0
2020-04-03,439.0,16.0,16.0,407.0,11.0,1.0,6.0
2020-04-04,466.0,17.0,21.0,428.0,27.0,1.0,5.0
2020-04-05,501.0,18.0,26.0,457.0,35.0,1.0,5.0
2020-04-06,525.0,21.0,31.0,473.0,24.0,3.0,5.0
2020-04-07,545.0,22.0,39.0,484.0,20.0,1.0,8.0
2020-04-08,564.0,23.0,52.0,489.0,19.0,1.0,13.0
2020-04-09,583.0,25.0,58.0,500.0,19.0,2.0,6.0
2020-04-10,601.0,26.0,71.0,504.0,18.0,1.0,13.0
2020-04-11,601.0,26.0,71.0,504.0,0.0,0.0,0.0
2020-04-12,638.0,29.0,128.0,481.0,37.0,3.0,57.0
2020-04-13,646.0,29.0,128.0,489.0,8.0,0.0,0.0
2020-04-14,659.0,31.0,128.0,500.0,13.0,2.0,0.0
2020-04-15,673.0,33.0,169.0,471.0,14.0,2.0,41.0
2020-04-16,673.0,33.0,169.0,471.0,0.0,0.0,0.0
2020-04-17,696.0,35.0,191.0,470.0,23.0,2.0,22.0
2020-04-18,704.0,35.0,205.0,464.0,8.0,0.0,14.0
2020-04-19,713.0,36.0,235.0,442.0,9.0,1.0,30.0
2020-04-20,717.0,37.0,248.0,432.0,4.0,1.0,13.0
2020-04-21,717.0,37.0,282.0,398.0,0.0,0.0,34.0
2020-04-22,723.0,37.0,309.0,377.0,6.0,0.0,27.0
2020-04-23,723.0,37.0,333.0,353.0,0.0,0.0,24.0
2020-04-24,731.0,40.0,344.0,347.0,8.0,3.0,11.0
2020-04-25,738.0,40.0,344.0,354.0,7.0,0.0,0.0
2020-04-26,738.0,40.0,344.0,354.0,0.0,0.0,0.0
2020-04-27,743.0,40.0,385.0,318.0,5.0,0.0,41.0
2020-04-28,743.0,41.0,398.0,304.0,0.0,1.0,13.0
2020-04-29,743.0,42.0,423.0,278.0,0.0,1.0,25.0
2020-04-30,745.0,42.0,468.0,235.0,2.0,0.0,45.0
2020-05-01,745.0,43.0,468.0,234.0,0.0,1.0,0.0
2020-05-02,747.0,44.0,472.0,231.0,2.0,1.0,4.0
2020-05-03,748.0,45.0,493.0,210.0,1.0,1.0,21.0
2020-05-04,750.0,45.0,499.0,206.0,2.0,0.0,6.0
2020-05-05,751.0,46.0,514.0,191.0,1.0,1.0,15.0
2020-05-06,751.0,46.0,521.0,184.0,0.0,0.0,7.0
2020-05-07,752.0,47.0,526.0,179.0,1.0,1.0,5.0
2020-05-08,752.0,47.0,537.0,168.0,0.0,0.0,11.0
2020-05-09,754.0,48.0,545.0,161.0,2.0,1.0,8.0
2020-05-10,755.0,48.0,550.0,157.0,1.0,0.0,5.0
2020-05-11,755.0,48.0,550.0,157.0,0.0,0.0,0.0
2020-05-12,758.0,48.0,568.0,142.0,3.0,0.0,18.0
2020-05-13,760.0,49.0,576.0,135.0,2.0,1.0,8.0
2020-05-14,761.0,49.0,596.0,116.0,1.0,0.0,20.0
2020-05-15,761.0,49.0,604.0,108.0,0.0,0.0,8.0
2020-05-16,761.0,51.0,615.0,95.0,0.0,2.0,11.0
