date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-02,2.0,0.0,0.0,2.0,,,
2020-03-03,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-04,5.0,0.0,0.0,5.0,3.0,0.0,0.0
2020-03-05,8.0,0.0,0.0,8.0,3.0,0.0,0.0
2020-03-06,13.0,0.0,0.0,13.0,5.0,0.0,0.0
2020-03-07,20.0,0.0,0.0,20.0,7.0,0.0,0.0
2020-03-08,30.0,0.0,0.0,30.0,10.0,0.0,0.0
2020-03-09,30.0,0.0,0.0,30.0,0.0,0.0,0.0
2020-03-10,41.0,0.0,0.0,41.0,11.0,0.0,0.0
2020-03-11,59.0,0.0,0.0,59.0,18.0,0.0,0.0
2020-03-12,59.0,0.0,0.0,59.0,0.0,0.0,0.0
2020-03-13,112.0,0.0,1.0,111.0,53.0,0.0,1.0
2020-03-14,169.0,0.0,2.0,167.0,57.0,0.0,1.0
2020-03-15,245.0,0.0,2.0,243.0,76.0,0.0,0.0
2020-03-16,331.0,0.0,3.0,328.0,86.0,0.0,1.0
2020-03-17,448.0,1.0,3.0,444.0,117.0,1.0,0.0
2020-03-18,448.0,2.0,3.0,443.0,0.0,1.0,0.0
2020-03-19,785.0,3.0,3.0,779.0,337.0,1.0,0.0
2020-03-20,1020.0,6.0,5.0,1009.0,235.0,3.0,2.0
2020-03-21,1280.0,12.0,5.0,1263.0,260.0,6.0,0.0
2020-03-22,1600.0,14.0,5.0,1581.0,320.0,2.0,0.0
2020-03-23,2060.0,23.0,14.0,2023.0,460.0,9.0,9.0
2020-03-24,2362.0,33.0,22.0,2307.0,302.0,10.0,8.0
2020-03-25,2995.0,43.0,22.0,2930.0,633.0,10.0,0.0
2020-03-26,3544.0,60.0,43.0,3441.0,549.0,17.0,21.0
2020-03-27,4268.0,76.0,43.0,4149.0,724.0,16.0,0.0
2020-03-28,5170.0,100.0,43.0,5027.0,902.0,24.0,0.0
2020-03-29,5962.0,119.0,43.0,5800.0,792.0,19.0,0.0
2020-03-30,6408.0,140.0,43.0,6225.0,446.0,21.0,0.0
2020-03-31,7443.0,160.0,43.0,7240.0,1035.0,20.0,0.0
2020-04-01,8251.0,187.0,43.0,8021.0,808.0,27.0,0.0
2020-04-02,9034.0,209.0,68.0,8757.0,783.0,22.0,25.0
2020-04-03,9886.0,246.0,68.0,9572.0,852.0,37.0,0.0
2020-04-04,10524.0,266.0,75.0,10183.0,638.0,20.0,7.0
2020-04-05,11278.0,295.0,75.0,10908.0,754.0,29.0,0.0
2020-04-06,11730.0,311.0,140.0,11279.0,452.0,16.0,65.0
2020-04-07,12442.0,345.0,184.0,11913.0,712.0,34.0,44.0
2020-04-08,13141.0,380.0,196.0,12565.0,699.0,35.0,12.0
2020-04-09,13956.0,409.0,205.0,13342.0,815.0,29.0,9.0
2020-04-10,15472.0,435.0,233.0,14804.0,1516.0,26.0,28.0
2020-04-11,15987.0,470.0,266.0,15251.0,515.0,35.0,33.0
2020-04-12,16585.0,504.0,277.0,15804.0,598.0,34.0,11.0
2020-04-13,16934.0,535.0,277.0,16122.0,349.0,31.0,0.0
2020-04-14,17448.0,567.0,347.0,16534.0,514.0,32.0,70.0
2020-04-15,18091.0,599.0,383.0,17109.0,643.0,32.0,36.0
2020-04-16,18841.0,629.0,493.0,17719.0,750.0,30.0,110.0
2020-04-17,19022.0,657.0,519.0,17846.0,181.0,28.0,26.0
2020-04-18,19685.0,687.0,610.0,18388.0,663.0,30.0,91.0
2020-04-19,20206.0,714.0,610.0,18882.0,521.0,27.0,0.0
2020-04-20,20863.0,735.0,610.0,19518.0,657.0,21.0,0.0
2020-04-21,21379.0,762.0,917.0,19700.0,516.0,27.0,307.0
2020-04-22,21982.0,785.0,1143.0,20054.0,603.0,23.0,226.0
2020-04-23,22353.0,820.0,1201.0,20332.0,371.0,35.0,58.0
2020-04-24,22797.0,854.0,1228.0,20715.0,444.0,34.0,27.0
2020-04-25,23392.0,880.0,1277.0,21235.0,595.0,26.0,49.0
2020-04-26,23864.0,903.0,1329.0,21632.0,472.0,23.0,52.0
2020-04-27,24027.0,928.0,1357.0,21742.0,163.0,25.0,28.0
2020-04-28,24322.0,948.0,1389.0,21985.0,295.0,20.0,32.0
2020-04-29,24505.0,973.0,1470.0,22062.0,183.0,25.0,81.0
2020-04-30,25045.0,989.0,1519.0,22537.0,540.0,16.0,49.0
2020-05-01,25351.0,1007.0,1647.0,22697.0,306.0,18.0,128.0
2020-05-02,25190.0,1023.0,1671.0,22496.0,-161.0,16.0,24.0
2020-05-03,25282.0,1043.0,1689.0,22550.0,92.0,20.0,18.0
2020-05-04,25524.0,1063.0,1712.0,22749.0,242.0,20.0,23.0
2020-05-05,25702.0,1074.0,1743.0,22885.0,178.0,11.0,31.0
2020-05-06,26182.0,1089.0,2076.0,23017.0,480.0,15.0,333.0
2020-05-07,26715.0,1105.0,2258.0,23352.0,533.0,16.0,182.0
2020-05-08,27268.0,1114.0,2422.0,23732.0,553.0,9.0,164.0
2020-05-09,27406.0,1126.0,2499.0,23781.0,138.0,12.0,77.0
2020-05-10,27581.0,1135.0,2549.0,23897.0,175.0,9.0,50.0
2020-05-11,27679.0,1144.0,2549.0,23986.0,98.0,9.0,0.0
2020-05-12,27913.0,1163.0,3013.0,23737.0,234.0,19.0,464.0
2020-05-13,28132.0,1175.0,3182.0,23775.0,219.0,12.0,169.0
2020-05-14,28319.0,1184.0,3198.0,23937.0,187.0,9.0,16.0
2020-05-15,28583.0,1190.0,3328.0,24065.0,264.0,6.0,130.0
2020-05-16,28810.0,1203.0,3822.0,23785.0,227.0,13.0,494.0
2020-05-17,29036.0,1218.0,4636.0,23182.0,226.0,15.0,814.0
2020-05-18,29209.0,1231.0,6430.0,21548.0,173.0,13.0,1794.0
2020-05-19,29432.0,1247.0,6431.0,21754.0,223.0,16.0,1.0
2020-05-20,29660.0,1263.0,6452.0,21945.0,228.0,16.0,21.0
2020-05-21,29912.0,1277.0,6452.0,22183.0,252.0,14.0,0.0
2020-05-22,30200.0,1289.0,7590.0,21321.0,288.0,12.0,1138.0
2020-05-23,30471.0,1302.0,7705.0,21464.0,271.0,13.0,115.0
2020-05-24,30623.0,1316.0,17549.0,11758.0,152.0,14.0,9844.0
2020-05-25,30788.0,1330.0,17822.0,11636.0,165.0,14.0,273.0
2020-05-26,31007.0,1342.0,18096.0,11569.0,219.0,12.0,274.0
2020-05-27,31292.0,1356.0,18349.0,11587.0,285.0,14.0,253.0
2020-05-28,31596.0,1369.0,18637.0,11590.0,304.0,13.0,288.0
2020-05-29,31946.0,1383.0,18911.0,11652.0,350.0,14.0,274.0
2020-05-30,32203.0,1396.0,19186.0,11621.0,257.0,13.0,275.0
2020-05-31,32500.0,1410.0,19409.0,11681.0,297.0,14.0,223.0
2020-06-01,32700.0,1424.0,19552.0,11724.0,200.0,14.0,143.0
2020-06-02,32895.0,1436.0,19869.0,11590.0,195.0,12.0,317.0
2020-06-03,33261.0,1447.0,20079.0,11735.0,366.0,11.0,210.0
2020-06-04,33592.0,1455.0,20323.0,11814.0,331.0,8.0,244.0
2020-06-05,33969.0,1465.0,20526.0,11978.0,377.0,10.0,203.0
2020-06-06,34351.0,1474.0,20807.0,12070.0,382.0,9.0,281.0
2020-06-07,34693.0,1479.0,20995.0,12219.0,342.0,5.0,188.0
2020-06-08,34885.0,1485.0,21156.0,12244.0,192.0,6.0,161.0
2020-06-09,35306.0,1492.0,21339.0,12475.0,421.0,7.0,183.0
2020-06-10,35600.0,1497.0,21742.0,12361.0,294.0,5.0,403.0
2020-06-11,35910.0,1504.0,22002.0,12404.0,310.0,7.0,260.0
2020-06-12,36180.0,1505.0,22200.0,12475.0,270.0,1.0,198.0
2020-06-13,36463.0,1512.0,22438.0,12513.0,283.0,7.0,238.0
2020-06-14,36690.0,1517.0,22669.0,12504.0,227.0,5.0,231.0
2020-06-15,37036.0,1520.0,22852.0,12664.0,346.0,3.0,183.0
2020-06-16,37336.0,1522.0,23212.0,12602.0,300.0,2.0,360.0
2020-06-17,37672.0,1523.0,23580.0,12569.0,336.0,1.0,368.0
2020-06-18,38089.0,1524.0,24010.0,12555.0,417.0,1.0,430.0
2020-06-19,38464.0,1527.0,24477.0,12460.0,375.0,3.0,467.0
2020-06-20,38841.0,1528.0,24906.0,12407.0,377.0,1.0,429.0
2020-06-21,39133.0,1530.0,25376.0,12227.0,292.0,2.0,470.0
2020-06-22,39392.0,1534.0,25548.0,12310.0,259.0,4.0,172.0
2020-06-23,39737.0,1540.0,25829.0,12368.0,345.0,6.0,281.0
2020-06-24,40104.0,1543.0,26083.0,12478.0,367.0,3.0,254.0
2020-06-25,40415.0,1549.0,26382.0,12484.0,311.0,6.0,299.0
2020-06-26,40866.0,1555.0,26633.0,12678.0,451.0,6.0,251.0
2020-06-27,41189.0,1561.0,26864.0,12764.0,323.0,6.0,231.0
