date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-05,4.0,0.0,0.0,4.0,,,
2020-03-06,16.0,0.0,0.0,16.0,12.0,0.0,0.0
2020-03-07,22.0,0.0,0.0,22.0,6.0,0.0,0.0
2020-03-08,22.0,0.0,0.0,22.0,0.0,0.0,0.0
2020-03-09,22.0,0.0,0.0,22.0,0.0,0.0,0.0
2020-03-10,25.0,0.0,0.0,25.0,3.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,-25.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,84.0,1.0,17.0,66.0,84.0,1.0,17.0
2020-03-27,91.0,1.0,17.0,73.0,7.0,0.0,0.0
2020-03-28,98.0,1.0,18.0,79.0,7.0,0.0,1.0
2020-03-29,109.0,1.0,18.0,90.0,11.0,0.0,0.0
2020-03-30,116.0,1.0,18.0,97.0,7.0,0.0,0.0
2020-03-31,119.0,1.0,18.0,100.0,3.0,0.0,0.0
2020-04-01,134.0,1.0,18.0,115.0,15.0,0.0,0.0
2020-04-02,161.0,1.0,18.0,142.0,27.0,0.0,0.0
2020-04-03,194.0,1.0,21.0,172.0,33.0,0.0,3.0
2020-04-04,217.0,1.0,21.0,195.0,23.0,0.0,0.0
2020-04-05,237.0,1.0,25.0,211.0,20.0,0.0,4.0
2020-04-06,254.0,1.0,24.0,229.0,17.0,0.0,-1.0
2020-04-07,261.0,1.0,42.0,218.0,7.0,0.0,18.0
2020-04-08,263.0,1.0,44.0,218.0,2.0,0.0,2.0
2020-04-09,263.0,1.0,44.0,218.0,0.0,0.0,0.0
2020-04-10,267.0,2.0,45.0,220.0,4.0,1.0,1.0
2020-04-11,268.0,2.0,57.0,209.0,1.0,0.0,12.0
2020-04-12,290.0,2.0,58.0,230.0,22.0,0.0,1.0
2020-04-13,308.0,2.0,58.0,248.0,18.0,0.0,0.0
2020-04-14,308.0,2.0,62.0,244.0,0.0,0.0,4.0
2020-04-15,374.0,2.0,63.0,309.0,66.0,0.0,1.0
2020-04-16,374.0,2.0,63.0,309.0,0.0,0.0,0.0
2020-04-17,402.0,2.0,69.0,331.0,28.0,0.0,6.0
2020-04-18,418.0,2.0,69.0,347.0,16.0,0.0,0.0
2020-04-19,437.0,3.0,71.0,363.0,19.0,1.0,2.0
2020-04-20,449.0,3.0,71.0,375.0,12.0,0.0,0.0
2020-04-21,466.0,4.0,71.0,391.0,17.0,1.0,0.0
2020-04-22,474.0,4.0,71.0,399.0,8.0,0.0,0.0
2020-04-23,480.0,4.0,92.0,384.0,6.0,0.0,21.0
2020-04-24,484.0,4.0,92.0,388.0,4.0,0.0,0.0
2020-04-25,342.0,2.0,92.0,248.0,-142.0,-2.0,0.0
2020-04-26,342.0,2.0,83.0,257.0,0.0,0.0,-9.0
2020-04-27,342.0,2.0,83.0,257.0,0.0,0.0,0.0
2020-04-28,343.0,2.0,71.0,270.0,1.0,0.0,-12.0
2020-04-29,344.0,2.0,71.0,271.0,1.0,0.0,0.0
2020-04-30,344.0,2.0,76.0,266.0,0.0,0.0,5.0
2020-05-01,353.0,2.0,76.0,275.0,9.0,0.0,0.0
2020-05-02,353.0,2.0,76.0,275.0,0.0,0.0,0.0
2020-05-03,353.0,2.0,77.0,274.0,0.0,0.0,1.0
2020-05-04,362.0,2.0,102.0,258.0,9.0,0.0,25.0
2020-05-05,371.0,2.0,127.0,242.0,9.0,0.0,25.0
2020-05-06,374.0,2.0,174.0,198.0,3.0,0.0,47.0
2020-05-07,375.0,2.0,176.0,197.0,1.0,0.0,2.0
2020-05-08,375.0,2.0,228.0,145.0,0.0,0.0,52.0
2020-05-09,375.0,2.0,228.0,145.0,0.0,0.0,0.0
2020-05-10,375.0,2.0,263.0,110.0,0.0,0.0,35.0
2020-05-11,375.0,2.0,301.0,72.0,0.0,0.0,38.0
2020-05-12,375.0,2.0,308.0,65.0,0.0,0.0,7.0
2020-05-13,375.0,2.0,310.0,63.0,0.0,0.0,2.0
2020-05-14,375.0,2.0,310.0,63.0,0.0,0.0,0.0
2020-05-15,375.0,2.0,315.0,58.0,0.0,0.0,5.0
2020-05-16,376.0,2.0,329.0,45.0,1.0,0.0,14.0
2020-05-17,381.0,2.0,335.0,44.0,5.0,0.0,6.0
2020-05-18,388.0,2.0,337.0,49.0,7.0,0.0,2.0
2020-05-19,391.0,2.0,346.0,43.0,3.0,0.0,9.0
2020-05-20,398.0,2.0,346.0,50.0,7.0,0.0,0.0
2020-05-21,423.0,2.0,346.0,75.0,25.0,0.0,0.0
2020-05-22,423.0,2.0,346.0,75.0,0.0,0.0,0.0
2020-05-23,423.0,3.0,348.0,72.0,0.0,1.0,2.0
2020-05-24,423.0,3.0,357.0,63.0,0.0,0.0,9.0
2020-05-25,423.0,3.0,357.0,63.0,0.0,0.0,0.0
2020-05-26,429.0,3.0,365.0,61.0,6.0,0.0,8.0
2020-05-27,434.0,3.0,365.0,66.0,5.0,0.0,0.0
2020-05-28,446.0,3.0,368.0,75.0,12.0,0.0,3.0
2020-05-29,446.0,3.0,368.0,75.0,0.0,0.0,0.0
2020-05-30,447.0,3.0,368.0,76.0,1.0,0.0,0.0
2020-05-31,448.0,3.0,372.0,73.0,1.0,0.0,4.0
2020-06-01,449.0,3.0,372.0,74.0,1.0,0.0,0.0
2020-06-02,451.0,3.0,372.0,76.0,2.0,0.0,0.0
2020-06-03,457.0,3.0,372.0,82.0,6.0,0.0,0.0
2020-06-04,464.0,3.0,377.0,84.0,7.0,0.0,5.0
2020-06-05,464.0,3.0,377.0,84.0,0.0,0.0,0.0
2020-06-06,464.0,3.0,400.0,61.0,0.0,0.0,23.0
2020-06-07,472.0,3.0,403.0,66.0,8.0,0.0,3.0
2020-06-08,473.0,3.0,404.0,66.0,1.0,0.0,1.0
2020-06-09,481.0,3.0,404.0,74.0,8.0,0.0,0.0
2020-06-10,485.0,3.0,410.0,72.0,4.0,0.0,6.0
2020-06-11,487.0,3.0,410.0,74.0,2.0,0.0,0.0
2020-06-12,489.0,3.0,414.0,72.0,2.0,0.0,4.0
2020-06-13,489.0,3.0,415.0,71.0,0.0,0.0,1.0
2020-06-14,492.0,3.0,415.0,74.0,3.0,0.0,0.0
2020-06-15,505.0,3.0,415.0,87.0,13.0,0.0,0.0
2020-06-16,514.0,3.0,415.0,96.0,9.0,0.0,0.0
2020-06-17,555.0,3.0,415.0,137.0,41.0,0.0,0.0
2020-06-18,600.0,3.0,415.0,182.0,45.0,0.0,0.0
2020-06-19,675.0,3.0,437.0,235.0,75.0,0.0,22.0
2020-06-20,784.0,3.0,437.0,344.0,109.0,0.0,0.0
2020-06-21,833.0,3.0,439.0,391.0,49.0,0.0,2.0
2020-06-22,1001.0,3.0,442.0,556.0,168.0,0.0,3.0
2020-06-23,1169.0,3.0,442.0,724.0,168.0,0.0,0.0
2020-06-24,1328.0,3.0,442.0,883.0,159.0,0.0,0.0
2020-06-25,1382.0,3.0,446.0,933.0,54.0,0.0,4.0
2020-06-26,1557.0,3.0,446.0,1108.0,175.0,0.0,0.0
2020-06-27,1815.0,4.0,446.0,1365.0,258.0,1.0,0.0
2020-06-28,1990.0,4.0,447.0,1539.0,175.0,0.0,1.0
2020-06-29,2185.0,5.0,447.0,1733.0,195.0,1.0,0.0
2020-06-30,2428.0,8.0,451.0,1969.0,243.0,3.0,4.0
2020-07-01,2758.0,8.0,460.0,2290.0,330.0,0.0,9.0
2020-07-02,3080.0,9.0,460.0,2611.0,322.0,1.0,0.0
2020-07-03,3334.0,11.0,463.0,2860.0,254.0,2.0,3.0
2020-07-04,3835.0,13.0,463.0,3359.0,501.0,2.0,0.0
2020-07-05,4277.0,16.0,491.0,3770.0,442.0,3.0,28.0
2020-07-06,4341.0,17.0,491.0,3833.0,64.0,1.0,0.0
2020-07-07,4647.0,18.0,494.0,4135.0,306.0,1.0,3.0
2020-07-08,5029.0,20.0,494.0,4515.0,382.0,2.0,0.0
2020-07-09,5220.0,24.0,525.0,4671.0,191.0,4.0,31.0
2020-07-10,5551.0,27.0,536.0,4988.0,331.0,3.0,11.0
2020-07-11,5931.0,33.0,536.0,5362.0,380.0,6.0,0.0
2020-07-12,6230.0,36.0,942.0,5252.0,299.0,3.0,406.0
2020-07-13,6566.0,39.0,1084.0,5443.0,336.0,3.0,142.0
2020-07-14,6764.0,44.0,1084.0,5636.0,198.0,5.0,0.0
2020-07-15,7064.0,44.0,1084.0,5936.0,300.0,0.0,0.0
2020-07-16,7412.0,51.0,1313.0,6048.0,348.0,7.0,229.0
2020-07-17,7764.0,53.0,1492.0,6219.0,352.0,2.0,179.0
2020-07-18,8204.0,59.0,1596.0,6549.0,440.0,6.0,104.0
2020-07-19,8549.0,62.0,1921.0,6566.0,345.0,3.0,325.0
2020-07-20,8916.0,63.0,1921.0,6932.0,367.0,1.0,0.0
2020-07-21,9228.0,64.0,1932.0,7232.0,312.0,1.0,11.0
2020-07-22,9398.0,66.0,1950.0,7382.0,170.0,2.0,18.0
2020-07-23,9744.0,67.0,2720.0,6957.0,346.0,1.0,770.0
2020-07-24,10093.0,70.0,2720.0,7303.0,349.0,3.0,0.0
2020-07-25,10306.0,75.0,3282.0,6949.0,213.0,5.0,562.0
2020-07-26,10469.0,76.0,3752.0,6641.0,163.0,1.0,470.0
2020-07-27,10621.0,78.0,3752.0,6791.0,152.0,2.0,0.0
2020-07-28,10938.0,79.0,3752.0,7107.0,317.0,1.0,0.0
2020-07-29,11284.0,80.0,4833.0,6371.0,346.0,1.0,1081.0
2020-07-30,11548.0,81.0,5016.0,6451.0,264.0,1.0,183.0
2020-07-31,11837.0,82.0,5077.0,6678.0,289.0,1.0,61.0
2020-08-01,12160.0,83.0,5324.0,6753.0,323.0,1.0,247.0
2020-08-02,12297.0,84.0,5390.0,6823.0,137.0,1.0,66.0
2020-08-03,12541.0,84.0,5390.0,7067.0,244.0,0.0,0.0
2020-08-04,12770.0,86.0,6419.0,6265.0,229.0,2.0,1029.0
2020-08-05,13065.0,89.0,6618.0,6358.0,295.0,3.0,199.0
2020-08-06,13398.0,92.0,6907.0,6399.0,333.0,3.0,289.0
2020-08-07,13722.0,94.0,7210.0,6418.0,324.0,2.0,303.0
2020-08-08,13928.0,96.0,7706.0,6126.0,206.0,2.0,496.0
2020-08-09,14208.0,97.0,7945.0,6166.0,280.0,1.0,239.0
2020-08-10,14510.0,100.0,8045.0,6365.0,302.0,3.0,100.0
2020-08-11,14875.0,104.0,8181.0,6590.0,365.0,4.0,136.0
2020-08-12,15184.0,105.0,8369.0,6710.0,309.0,1.0,188.0
2020-08-13,15491.0,106.0,9186.0,6199.0,307.0,1.0,817.0
2020-08-14,15834.0,106.0,9382.0,6346.0,343.0,0.0,196.0
2020-08-15,16153.0,108.0,9388.0,6657.0,319.0,2.0,6.0
2020-08-16,16534.0,110.0,9838.0,6586.0,381.0,2.0,450.0
2020-08-17,16844.0,113.0,9906.0,6825.0,310.0,3.0,68.0
2020-08-18,17306.0,113.0,9939.0,7254.0,462.0,0.0,33.0
2020-08-19,17606.0,119.0,10312.0,7175.0,300.0,6.0,373.0
2020-08-20,17989.0,120.0,10682.0,7187.0,383.0,1.0,370.0
2020-08-21,18313.0,122.0,11102.0,7089.0,324.0,2.0,420.0
2020-08-22,18476.0,125.0,11103.0,7248.0,163.0,3.0,1.0
2020-08-23,18802.0,128.0,11843.0,6831.0,326.0,3.0,740.0
2020-08-24,19213.0,133.0,11870.0,7210.0,411.0,5.0,27.0
2020-08-25,19678.0,133.0,13162.0,6383.0,465.0,0.0,1292.0
2020-08-26,20155.0,137.0,13929.0,6089.0,477.0,4.0,767.0
2020-08-27,20677.0,141.0,14194.0,6342.0,522.0,4.0,265.0
2020-08-28,21251.0,145.0,14291.0,6815.0,574.0,4.0,97.0
2020-08-29,21668.0,147.0,14631.0,6890.0,417.0,2.0,340.0
2020-08-30,22204.0,152.0,14787.0,7265.0,536.0,5.0,156.0
2020-08-31,22729.0,152.0,15056.0,7521.0,525.0,0.0,269.0
2020-09-01,23281.0,159.0,15338.0,7784.0,552.0,7.0,282.0
2020-09-02,23875.0,162.0,15483.0,8230.0,594.0,3.0,145.0
2020-09-03,24471.0,167.0,16095.0,8209.0,596.0,5.0,612.0
2020-09-04,25142.0,170.0,16437.0,8535.0,671.0,3.0,342.0
2020-09-05,25575.0,177.0,16661.0,8737.0,433.0,7.0,224.0
2020-09-06,26127.0,181.0,16843.0,9103.0,552.0,4.0,182.0
2020-09-07,26779.0,184.0,17270.0,9325.0,652.0,3.0,427.0
2020-09-08,27363.0,190.0,17779.0,9394.0,584.0,6.0,509.0
2020-09-09,27919.0,192.0,18466.0,9261.0,556.0,2.0,687.0
2020-09-10,28664.0,198.0,18821.0,9645.0,745.0,6.0,355.0
2020-09-11,29256.0,204.0,19788.0,9264.0,592.0,6.0,967.0
2020-09-12,29906.0,210.0,19979.0,9717.0,650.0,6.0,191.0
2020-09-13,30574.0,221.0,20082.0,10271.0,668.0,11.0,103.0
2020-09-14,31362.0,226.0,21406.0,9730.0,788.0,5.0,1324.0
2020-09-15,32250.0,229.0,21804.0,10217.0,888.0,3.0,398.0
2020-09-16,33006.0,243.0,22209.0,10554.0,756.0,14.0,405.0
2020-09-17,33843.0,244.0,23060.0,10539.0,837.0,1.0,851.0
2020-09-18,34401.0,250.0,23333.0,10818.0,558.0,6.0,273.0
2020-09-19,35003.0,253.0,23446.0,11304.0,602.0,3.0,113.0
2020-09-20,35686.0,262.0,23700.0,11724.0,683.0,9.0,254.0
2020-09-21,36151.0,265.0,24428.0,11458.0,465.0,3.0,728.0
2020-09-22,36580.0,269.0,25469.0,10842.0,429.0,4.0,1041.0
2020-09-23,37083.0,272.0,26288.0,10523.0,503.0,3.0,819.0
2020-09-24,37591.0,274.0,26934.0,10383.0,508.0,2.0,646.0
2020-09-25,37963.0,278.0,27183.0,10502.0,372.0,4.0,249.0
2020-09-26,38253.0,285.0,27704.0,10264.0,290.0,7.0,521.0
2020-09-27,38703.0,291.0,29068.0,9344.0,450.0,6.0,1364.0
2020-09-28,39121.0,299.0,30220.0,8602.0,418.0,8.0,1152.0
2020-09-29,39541.0,306.0,31047.0,8188.0,420.0,7.0,827.0
2020-09-30,39899.0,311.0,31743.0,7845.0,358.0,5.0,696.0
