date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-02-28,1.0,0.0,0.0,1.0,,,
2020-02-29,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-02,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-03,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-04,6.0,0.0,0.0,6.0,5.0,0.0,0.0
2020-03-05,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-03-06,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-03-07,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-03-08,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-03-09,6.0,0.0,1.0,5.0,0.0,0.0,1.0
2020-03-10,9.0,0.0,3.0,6.0,3.0,0.0,2.0
2020-03-11,9.0,0.0,3.0,6.0,0.0,0.0,0.0
2020-03-12,12.0,0.0,3.0,9.0,3.0,0.0,0.0
2020-03-13,27.0,0.0,3.0,24.0,15.0,0.0,0.0
2020-03-14,27.0,0.0,3.0,24.0,0.0,0.0,0.0
2020-03-15,27.0,0.0,3.0,24.0,0.0,0.0,0.0
2020-03-16,36.0,0.0,3.0,33.0,9.0,0.0,0.0
2020-03-17,36.0,0.0,3.0,33.0,0.0,0.0,0.0
2020-03-18,51.0,0.0,5.0,46.0,15.0,0.0,2.0
2020-03-19,51.0,0.0,5.0,46.0,0.0,0.0,0.0
2020-03-20,69.0,0.0,5.0,64.0,18.0,0.0,0.0
2020-03-21,76.0,0.0,15.0,61.0,7.0,0.0,10.0
2020-03-22,76.0,0.0,15.0,61.0,0.0,0.0,0.0
2020-03-23,81.0,0.0,22.0,59.0,5.0,0.0,7.0
2020-03-24,81.0,0.0,22.0,59.0,0.0,0.0,0.0
2020-03-25,86.0,0.0,29.0,57.0,5.0,0.0,7.0
2020-03-26,86.0,0.0,29.0,57.0,0.0,0.0,0.0
2020-03-27,94.0,0.0,32.0,62.0,8.0,0.0,3.0
2020-03-28,94.0,0.0,32.0,62.0,0.0,0.0,0.0
2020-03-29,94.0,0.0,32.0,62.0,0.0,0.0,0.0
2020-03-30,152.0,0.0,32.0,120.0,58.0,0.0,0.0
2020-03-31,152.0,1.0,47.0,104.0,0.0,1.0,15.0
2020-04-01,163.0,2.0,53.0,108.0,11.0,1.0,6.0
2020-04-02,304.0,4.0,53.0,247.0,141.0,2.0,0.0
2020-04-03,351.0,4.0,53.0,294.0,47.0,0.0,0.0
2020-04-04,440.0,5.0,53.0,382.0,89.0,1.0,0.0
2020-04-05,562.0,8.0,52.0,502.0,122.0,3.0,-1.0
2020-04-06,700.0,13.0,53.0,634.0,138.0,5.0,1.0
2020-04-07,861.0,13.0,54.0,794.0,161.0,0.0,1.0
2020-04-08,1066.0,13.0,77.0,976.0,205.0,0.0,23.0
2020-04-09,1486.0,16.0,139.0,1331.0,420.0,3.0,62.0
2020-04-10,1981.0,19.0,169.0,1793.0,495.0,3.0,30.0
2020-04-11,2226.0,23.0,172.0,2031.0,245.0,4.0,3.0
2020-04-12,2578.0,26.0,203.0,2349.0,352.0,3.0,31.0
2020-04-13,2919.0,29.0,203.0,2687.0,341.0,3.0,0.0
2020-04-14,3281.0,33.0,203.0,3045.0,362.0,4.0,0.0
2020-04-15,3728.0,36.0,203.0,3489.0,447.0,3.0,0.0
2020-04-16,4204.0,40.0,203.0,3961.0,476.0,4.0,0.0
2020-04-17,4779.0,42.0,342.0,4395.0,575.0,2.0,139.0
2020-04-18,4779.0,45.0,342.0,4392.0,0.0,3.0,0.0
2020-04-19,4779.0,47.0,494.0,4238.0,0.0,2.0,152.0
2020-04-20,6264.0,51.0,514.0,5699.0,1485.0,4.0,20.0
2020-04-21,6723.0,55.0,577.0,6091.0,459.0,4.0,63.0
2020-04-22,7281.0,58.0,769.0,6454.0,558.0,3.0,192.0
2020-04-23,8022.0,60.0,938.0,7024.0,741.0,2.0,169.0
2020-04-24,8773.0,63.0,1120.0,7590.0,751.0,3.0,182.0
2020-04-25,9590.0,67.0,1573.0,7950.0,817.0,4.0,453.0
2020-04-26,10463.0,72.0,1695.0,8696.0,873.0,5.0,122.0
2020-04-27,11289.0,75.0,1740.0,9474.0,826.0,3.0,45.0
2020-04-28,12208.0,79.0,1993.0,10136.0,919.0,4.0,253.0
2020-04-29,13181.0,84.0,2072.0,11025.0,973.0,5.0,79.0
2020-04-30,14027.0,89.0,2386.0,11552.0,846.0,5.0,314.0
2020-05-01,14917.0,93.0,2918.0,11906.0,890.0,4.0,532.0
2020-05-02,15828.0,97.0,3117.0,12614.0,911.0,4.0,199.0
2020-05-03,16705.0,99.0,3196.0,13410.0,877.0,2.0,79.0
2020-05-04,17489.0,103.0,3259.0,14127.0,784.0,4.0,63.0
2020-05-05,18350.0,107.0,3771.0,14472.0,861.0,4.0,512.0
2020-05-06,19255.0,112.0,4388.0,14755.0,905.0,5.0,617.0
2020-05-07,20168.0,116.0,5067.0,14985.0,913.0,4.0,679.0
2020-05-08,21101.0,121.0,5484.0,15496.0,933.0,5.0,417.0
2020-05-09,22052.0,126.0,6050.0,15876.0,951.0,5.0,566.0
2020-05-10,22973.0,131.0,6406.0,16436.0,921.0,5.0,356.0
2020-05-11,23906.0,135.0,6531.0,17240.0,933.0,4.0,125.0
2020-05-12,24873.0,142.0,6974.0,17757.0,967.0,7.0,443.0
2020-05-13,25825.0,146.0,7711.0,17968.0,952.0,4.0,737.0
2020-05-14,26772.0,151.0,8168.0,18453.0,947.0,5.0,457.0
2020-05-15,27730.0,156.0,8807.0,18767.0,958.0,5.0,639.0
2020-05-16,28681.0,160.0,9498.0,19023.0,951.0,4.0,691.0
2020-05-17,29650.0,165.0,9932.0,19553.0,969.0,5.0,434.0
2020-05-18,30572.0,171.0,10130.0,20271.0,922.0,6.0,198.0
2020-05-19,31508.0,175.0,10620.0,20713.0,936.0,4.0,490.0
