date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-02-28,1.0,0.0,0.0,1.0,,,
2020-02-29,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-01,3.0,0.0,0.0,3.0,2.0,0.0,0.0
2020-03-02,6.0,0.0,0.0,6.0,3.0,0.0,0.0
2020-03-03,11.0,0.0,0.0,11.0,5.0,0.0,0.0
2020-03-04,26.0,0.0,0.0,26.0,15.0,0.0,0.0
2020-03-05,34.0,0.0,0.0,34.0,8.0,0.0,0.0
2020-03-06,43.0,0.0,0.0,43.0,9.0,0.0,0.0
2020-03-07,50.0,0.0,0.0,50.0,7.0,0.0,0.0
2020-03-08,50.0,0.0,0.0,50.0,0.0,0.0,0.0
2020-03-09,58.0,0.0,0.0,58.0,8.0,0.0,0.0
2020-03-10,69.0,0.0,1.0,68.0,11.0,0.0,1.0
2020-03-11,85.0,0.0,1.0,84.0,16.0,0.0,0.0
2020-03-12,103.0,0.0,1.0,102.0,18.0,0.0,0.0
2020-03-13,134.0,0.0,1.0,133.0,31.0,0.0,0.0
2020-03-14,156.0,0.0,1.0,155.0,22.0,0.0,0.0
2020-03-15,171.0,5.0,8.0,158.0,15.0,5.0,7.0
2020-03-16,180.0,0.0,0.0,180.0,9.0,-5.0,-8.0
2020-03-17,220.0,1.0,0.0,219.0,40.0,1.0,0.0
2020-03-18,250.0,1.0,5.0,244.0,30.0,0.0,5.0
2020-03-19,330.0,1.0,5.0,324.0,80.0,0.0,0.0
2020-03-20,409.0,0.0,5.0,404.0,79.0,-1.0,0.0
2020-03-21,473.0,1.0,22.0,450.0,64.0,1.0,17.0
2020-03-22,568.0,1.0,5.0,562.0,95.0,0.0,-17.0
2020-03-23,588.0,1.0,51.0,536.0,20.0,0.0,46.0
2020-03-24,648.0,2.0,51.0,595.0,60.0,1.0,0.0
2020-03-25,737.0,2.0,56.0,679.0,89.0,0.0,5.0
2020-03-26,802.0,2.0,82.0,718.0,65.0,0.0,26.0
2020-03-27,890.0,2.0,97.0,791.0,88.0,0.0,15.0
2020-03-28,963.0,2.0,114.0,847.0,73.0,0.0,17.0
2020-03-29,1020.0,2.0,135.0,883.0,57.0,0.0,21.0
2020-03-30,1086.0,2.0,157.0,927.0,66.0,0.0,22.0
2020-03-31,1135.0,2.0,198.0,935.0,49.0,0.0,41.0
2020-04-01,1220.0,2.0,225.0,993.0,85.0,0.0,27.0
2020-04-02,1319.0,4.0,284.0,1031.0,99.0,2.0,59.0
2020-04-03,1364.0,4.0,309.0,1051.0,45.0,0.0,25.0
2020-04-04,1417.0,4.0,396.0,1017.0,53.0,0.0,87.0
2020-04-05,1486.0,4.0,428.0,1054.0,69.0,0.0,32.0
2020-04-06,1562.0,6.0,460.0,1096.0,76.0,2.0,32.0
2020-04-07,1586.0,6.0,559.0,1021.0,24.0,0.0,99.0
2020-04-08,1616.0,6.0,633.0,977.0,30.0,0.0,74.0
2020-04-09,1648.0,6.0,688.0,954.0,32.0,0.0,55.0
2020-04-10,1675.0,7.0,751.0,917.0,27.0,1.0,63.0
2020-04-11,1689.0,8.0,841.0,840.0,14.0,1.0,90.0
2020-04-12,1701.0,8.0,889.0,804.0,12.0,0.0,48.0
2020-04-13,1711.0,8.0,933.0,770.0,10.0,0.0,44.0
2020-04-14,1720.0,8.0,989.0,723.0,9.0,0.0,56.0
2020-04-15,1727.0,8.0,1077.0,642.0,7.0,0.0,88.0
2020-04-16,1739.0,8.0,1144.0,587.0,12.0,0.0,67.0
2020-04-17,1754.0,9.0,1224.0,521.0,15.0,1.0,80.0
2020-04-18,1760.0,9.0,1291.0,460.0,6.0,0.0,67.0
2020-04-19,1771.0,9.0,1291.0,471.0,11.0,0.0,0.0
2020-04-20,1773.0,10.0,1362.0,401.0,2.0,1.0,71.0
2020-04-21,1778.0,10.0,1417.0,351.0,5.0,0.0,55.0
2020-04-22,1785.0,10.0,1462.0,313.0,7.0,0.0,45.0
2020-04-23,1789.0,10.0,1509.0,270.0,4.0,0.0,47.0
2020-04-24,1789.0,10.0,1542.0,237.0,0.0,0.0,33.0
2020-04-25,1790.0,10.0,1570.0,210.0,1.0,0.0,28.0
2020-04-26,1792.0,10.0,1608.0,174.0,2.0,0.0,38.0
2020-04-27,1792.0,10.0,1624.0,158.0,0.0,0.0,16.0
2020-04-28,1795.0,10.0,1636.0,149.0,3.0,0.0,12.0
2020-04-29,1797.0,10.0,1656.0,131.0,2.0,0.0,20.0
2020-04-30,1797.0,10.0,1670.0,117.0,0.0,0.0,14.0
2020-05-01,1798.0,10.0,1689.0,99.0,1.0,0.0,19.0
2020-05-02,1798.0,10.0,1706.0,82.0,0.0,0.0,17.0
2020-05-03,1799.0,10.0,1717.0,72.0,1.0,0.0,11.0
2020-05-04,1799.0,10.0,1723.0,66.0,0.0,0.0,6.0
2020-05-05,1799.0,10.0,1733.0,56.0,0.0,0.0,10.0
2020-05-06,1799.0,10.0,1750.0,39.0,0.0,0.0,17.0
2020-05-07,1801.0,10.0,1755.0,36.0,2.0,0.0,5.0
2020-05-08,1801.0,10.0,1765.0,26.0,0.0,0.0,10.0
2020-05-09,1801.0,10.0,1773.0,18.0,0.0,0.0,8.0
2020-05-10,1801.0,10.0,1773.0,18.0,0.0,0.0,0.0
2020-05-11,1801.0,10.0,1773.0,18.0,0.0,0.0,0.0
2020-05-12,1801.0,10.0,1776.0,15.0,0.0,0.0,3.0
2020-05-13,1802.0,10.0,1780.0,12.0,1.0,0.0,4.0
2020-05-14,1802.0,10.0,1780.0,12.0,0.0,0.0,0.0
2020-05-15,1802.0,10.0,1782.0,10.0,0.0,0.0,2.0
2020-05-16,1802.0,10.0,1786.0,6.0,0.0,0.0,4.0
2020-05-17,1802.0,10.0,1786.0,6.0,0.0,0.0,0.0
2020-05-18,1802.0,10.0,1786.0,6.0,0.0,0.0,0.0
2020-05-19,1802.0,10.0,1789.0,3.0,0.0,0.0,3.0
