date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-15,1.0,0.0,0.0,1.0,,,
2020-03-16,6.0,0.0,0.0,6.0,5.0,0.0,0.0
2020-03-17,10.0,0.0,0.0,10.0,4.0,0.0,0.0
2020-03-18,15.0,0.0,0.0,15.0,5.0,0.0,0.0
2020-03-19,23.0,0.0,0.0,23.0,8.0,0.0,0.0
2020-03-20,33.0,0.0,0.0,33.0,10.0,0.0,0.0
2020-03-21,43.0,0.0,0.0,43.0,10.0,0.0,0.0
2020-03-22,43.0,0.0,0.0,43.0,0.0,0.0,0.0
2020-03-23,46.0,0.0,0.0,46.0,3.0,0.0,0.0
2020-03-24,50.0,0.0,0.0,50.0,4.0,0.0,0.0
2020-03-25,60.0,0.0,0.0,60.0,10.0,0.0,0.0
2020-03-26,75.0,0.0,0.0,75.0,15.0,0.0,0.0
2020-03-27,88.0,1.0,5.0,82.0,13.0,1.0,5.0
2020-03-28,104.0,2.0,5.0,97.0,16.0,1.0,0.0
2020-03-29,144.0,2.0,7.0,135.0,40.0,0.0,2.0
2020-03-30,149.0,2.0,7.0,140.0,5.0,0.0,0.0
2020-03-31,172.0,2.0,7.0,163.0,23.0,0.0,0.0
2020-04-01,181.0,2.0,12.0,167.0,9.0,0.0,5.0
2020-04-02,205.0,2.0,25.0,178.0,24.0,0.0,13.0
2020-04-03,227.0,2.0,25.0,200.0,22.0,0.0,0.0
2020-04-04,266.0,2.0,25.0,239.0,39.0,0.0,0.0
2020-04-05,342.0,2.0,30.0,310.0,76.0,0.0,5.0
2020-04-06,457.0,2.0,30.0,425.0,115.0,0.0,0.0
2020-04-07,520.0,2.0,30.0,488.0,63.0,0.0,0.0
2020-04-08,545.0,3.0,30.0,512.0,25.0,1.0,0.0
2020-04-09,582.0,3.0,38.0,541.0,37.0,0.0,8.0
2020-04-10,624.0,3.0,42.0,579.0,42.0,0.0,4.0
2020-04-11,767.0,4.0,42.0,721.0,143.0,1.0,0.0
2020-04-12,865.0,4.0,66.0,795.0,98.0,0.0,24.0
2020-04-13,998.0,4.0,85.0,909.0,133.0,0.0,19.0
2020-04-14,1165.0,4.0,99.0,1062.0,167.0,0.0,14.0
2020-04-15,1302.0,4.0,107.0,1191.0,137.0,0.0,8.0
2020-04-16,1349.0,4.0,129.0,1216.0,47.0,0.0,22.0
2020-04-17,1405.0,4.0,156.0,1245.0,56.0,0.0,27.0
2020-04-18,1490.0,5.0,194.0,1291.0,85.0,1.0,38.0
2020-04-19,1565.0,5.0,225.0,1335.0,75.0,0.0,31.0
2020-04-20,1627.0,5.0,261.0,1361.0,62.0,0.0,36.0
2020-04-21,1678.0,6.0,357.0,1315.0,51.0,1.0,96.0
2020-04-22,1716.0,7.0,450.0,1259.0,38.0,1.0,93.0
2020-04-23,1758.0,7.0,561.0,1190.0,42.0,0.0,111.0
2020-04-24,1804.0,8.0,621.0,1175.0,46.0,1.0,60.0
2020-04-25,1862.0,8.0,707.0,1147.0,58.0,0.0,86.0
2020-04-26,1869.0,8.0,789.0,1072.0,7.0,0.0,82.0
2020-04-27,1904.0,8.0,892.0,1004.0,35.0,0.0,103.0
2020-04-28,1939.0,8.0,992.0,939.0,35.0,0.0,100.0
2020-04-29,2002.0,9.0,1096.0,897.0,63.0,1.0,104.0
2020-04-30,2039.0,9.0,1133.0,897.0,37.0,0.0,37.0
2020-05-01,2086.0,9.0,1212.0,865.0,47.0,0.0,79.0
2020-05-02,2118.0,9.0,1271.0,838.0,32.0,0.0,59.0
2020-05-03,2149.0,10.0,1319.0,820.0,31.0,1.0,48.0
2020-05-04,2189.0,10.0,1405.0,774.0,40.0,0.0,86.0
2020-05-05,2207.0,10.0,1501.0,696.0,18.0,0.0,96.0
2020-05-06,2233.0,10.0,1577.0,646.0,26.0,0.0,76.0
2020-05-07,2298.0,10.0,1656.0,632.0,65.0,0.0,79.0
2020-05-08,2325.0,10.0,1775.0,540.0,27.0,0.0,119.0
2020-05-09,2349.0,10.0,1846.0,493.0,24.0,0.0,71.0
2020-05-10,2418.0,10.0,1881.0,527.0,69.0,0.0,35.0
2020-05-11,2486.0,10.0,1988.0,488.0,68.0,0.0,107.0
2020-05-12,2519.0,10.0,2010.0,499.0,33.0,0.0,22.0
2020-05-13,2612.0,11.0,2076.0,525.0,93.0,1.0,66.0
2020-05-14,2645.0,11.0,2136.0,498.0,33.0,0.0,60.0
2020-05-15,2686.0,11.0,2158.0,517.0,41.0,0.0,22.0
