date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-18,3.0,0.0,0.0,3.0,,,
2020-03-19,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-20,6.0,0.0,0.0,6.0,3.0,0.0,0.0
2020-03-21,14.0,0.0,0.0,14.0,8.0,0.0,0.0
2020-03-22,14.0,0.0,0.0,14.0,0.0,0.0,0.0
2020-03-23,16.0,0.0,0.0,16.0,2.0,0.0,0.0
2020-03-24,42.0,0.0,0.0,42.0,26.0,0.0,0.0
2020-03-25,44.0,0.0,0.0,44.0,2.0,0.0,0.0
2020-03-26,44.0,0.0,0.0,44.0,0.0,0.0,0.0
2020-03-27,58.0,0.0,0.0,58.0,14.0,0.0,0.0
2020-03-28,58.0,0.0,0.0,58.0,0.0,0.0,0.0
2020-03-29,84.0,0.0,0.0,84.0,26.0,0.0,0.0
2020-03-30,94.0,0.0,3.0,91.0,10.0,0.0,3.0
2020-03-31,107.0,0.0,3.0,104.0,13.0,0.0,0.0
2020-04-01,111.0,0.0,3.0,108.0,4.0,0.0,0.0
2020-04-02,116.0,0.0,5.0,111.0,5.0,0.0,2.0
2020-04-03,130.0,1.0,6.0,123.0,14.0,1.0,1.0
2020-04-04,144.0,1.0,9.0,134.0,14.0,0.0,3.0
2020-04-05,147.0,1.0,9.0,137.0,3.0,0.0,0.0
2020-04-06,216.0,4.0,33.0,179.0,69.0,3.0,24.0
2020-04-07,228.0,4.0,33.0,191.0,12.0,0.0,0.0
2020-04-08,270.0,4.0,33.0,233.0,42.0,0.0,0.0
2020-04-09,280.0,4.0,35.0,241.0,10.0,0.0,2.0
2020-04-10,298.0,5.0,35.0,258.0,18.0,1.0,0.0
2020-04-11,339.0,5.0,44.0,290.0,41.0,0.0,9.0
2020-04-12,377.0,5.0,54.0,318.0,38.0,0.0,10.0
2020-04-13,419.0,5.0,67.0,347.0,42.0,0.0,13.0
2020-04-14,430.0,5.0,71.0,354.0,11.0,0.0,4.0
2020-04-15,449.0,5.0,78.0,366.0,19.0,0.0,7.0
2020-04-16,466.0,5.0,91.0,370.0,17.0,0.0,13.0
2020-04-17,489.0,5.0,114.0,370.0,23.0,0.0,23.0
2020-04-18,506.0,5.0,130.0,371.0,17.0,0.0,16.0
2020-04-19,554.0,5.0,133.0,416.0,48.0,0.0,3.0
2020-04-20,568.0,7.0,201.0,360.0,14.0,2.0,68.0
2020-04-21,590.0,7.0,216.0,367.0,22.0,0.0,15.0
2020-04-22,612.0,7.0,254.0,351.0,22.0,0.0,38.0
2020-04-23,631.0,8.0,302.0,321.0,19.0,1.0,48.0
2020-04-24,665.0,8.0,345.0,312.0,34.0,0.0,43.0
2020-04-25,665.0,8.0,345.0,312.0,0.0,0.0,0.0
2020-04-26,682.0,8.0,370.0,304.0,17.0,0.0,25.0
2020-04-27,695.0,8.0,395.0,292.0,13.0,0.0,25.0
2020-04-28,708.0,8.0,416.0,284.0,13.0,0.0,21.0
2020-04-29,729.0,8.0,437.0,284.0,21.0,0.0,21.0
2020-04-30,746.0,8.0,462.0,276.0,17.0,0.0,25.0
2020-05-01,756.0,8.0,504.0,244.0,10.0,0.0,42.0
2020-05-02,769.0,8.0,527.0,234.0,13.0,0.0,23.0
2020-05-03,795.0,10.0,564.0,221.0,26.0,2.0,37.0
2020-05-04,830.0,10.0,575.0,245.0,35.0,0.0,11.0
2020-05-05,843.0,11.0,600.0,232.0,13.0,1.0,25.0
2020-05-06,871.0,12.0,614.0,245.0,28.0,1.0,14.0
2020-05-07,895.0,12.0,637.0,246.0,24.0,0.0,23.0
2020-05-08,906.0,12.0,650.0,244.0,11.0,0.0,13.0
2020-05-09,931.0,12.0,658.0,261.0,25.0,0.0,8.0
2020-05-10,1002.0,12.0,675.0,315.0,71.0,0.0,17.0
2020-05-11,1016.0,12.0,688.0,316.0,14.0,0.0,13.0
2020-05-12,1037.0,12.0,709.0,316.0,21.0,0.0,21.0
2020-05-13,1044.0,12.0,726.0,306.0,7.0,0.0,17.0
2020-05-14,1082.0,12.0,735.0,335.0,38.0,0.0,9.0
