date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-05,1.0,0.0,0.0,1.0,,,
2020-03-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-08,3.0,0.0,0.0,3.0,2.0,0.0,0.0
2020-03-09,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-10,7.0,0.0,0.0,7.0,4.0,0.0,0.0
2020-03-11,13.0,0.0,0.0,13.0,6.0,0.0,0.0
2020-03-12,17.0,0.0,0.0,17.0,4.0,0.0,0.0
2020-03-13,24.0,0.0,0.0,24.0,7.0,0.0,0.0
2020-03-14,38.0,0.0,0.0,38.0,14.0,0.0,0.0
2020-03-15,51.0,0.0,0.0,51.0,13.0,0.0,0.0
2020-03-16,62.0,0.0,0.0,62.0,11.0,0.0,0.0
2020-03-17,62.0,0.0,0.0,62.0,0.0,0.0,0.0
2020-03-18,116.0,0.0,0.0,116.0,54.0,0.0,0.0
2020-03-19,150.0,0.0,0.0,150.0,34.0,0.0,0.0
2020-03-20,202.0,0.0,0.0,202.0,52.0,0.0,0.0
2020-03-21,240.0,0.0,0.0,240.0,38.0,0.0,0.0
2020-03-22,274.0,0.0,2.0,272.0,34.0,0.0,2.0
2020-03-23,402.0,0.0,4.0,398.0,128.0,0.0,2.0
2020-03-24,554.0,0.0,4.0,550.0,152.0,0.0,0.0
2020-03-25,709.0,0.0,12.0,697.0,155.0,0.0,8.0
2020-03-26,927.0,0.0,12.0,915.0,218.0,0.0,0.0
2020-03-27,1170.0,1.0,31.0,1138.0,243.0,1.0,19.0
2020-03-28,1187.0,1.0,31.0,1155.0,17.0,0.0,0.0
2020-03-29,1280.0,2.0,31.0,1247.0,93.0,1.0,0.0
2020-03-30,1326.0,3.0,31.0,1292.0,46.0,1.0,0.0
2020-03-31,1353.0,5.0,31.0,1317.0,27.0,2.0,0.0
2020-04-01,1380.0,5.0,50.0,1325.0,27.0,0.0,19.0
2020-04-02,1462.0,5.0,50.0,1407.0,82.0,0.0,0.0
2020-04-03,1505.0,9.0,95.0,1401.0,43.0,4.0,45.0
2020-04-04,1585.0,9.0,95.0,1481.0,80.0,0.0,0.0
2020-04-05,1655.0,11.0,95.0,1549.0,70.0,2.0,0.0
2020-04-06,1686.0,12.0,95.0,1579.0,31.0,1.0,0.0
2020-04-07,1749.0,13.0,95.0,1641.0,63.0,1.0,0.0
2020-04-08,1845.0,18.0,95.0,1732.0,96.0,5.0,0.0
2020-04-09,1934.0,18.0,95.0,1821.0,89.0,0.0,0.0
2020-04-10,2003.0,24.0,410.0,1569.0,69.0,6.0,315.0
2020-04-11,2028.0,25.0,410.0,1593.0,25.0,1.0,0.0
2020-04-12,2173.0,25.0,410.0,1738.0,145.0,0.0,0.0
2020-04-13,2272.0,27.0,410.0,1835.0,99.0,2.0,0.0
2020-04-14,2415.0,27.0,410.0,1978.0,143.0,0.0,0.0
2020-04-15,2506.0,34.0,410.0,2062.0,91.0,7.0,0.0
2020-04-16,2605.0,48.0,903.0,1654.0,99.0,14.0,493.0
2020-04-17,2783.0,50.0,903.0,1830.0,178.0,2.0,0.0
2020-04-18,3034.0,52.0,903.0,2079.0,251.0,2.0,0.0
2020-04-19,3158.0,54.0,903.0,2201.0,124.0,2.0,0.0
2020-04-20,3300.0,58.0,1055.0,2187.0,142.0,4.0,152.0
2020-04-21,3465.0,58.0,1055.0,2352.0,165.0,0.0,0.0
2020-04-22,3635.0,65.0,1055.0,2515.0,170.0,7.0,0.0
2020-04-23,3953.0,75.0,1473.0,2405.0,318.0,10.0,418.0
2020-04-24,4220.0,79.0,1473.0,2668.0,267.0,4.0,0.0
2020-04-25,4361.0,86.0,1473.0,2802.0,141.0,7.0,0.0
2020-04-26,4546.0,87.0,1473.0,2986.0,185.0,1.0,0.0
2020-04-27,4793.0,90.0,1473.0,3230.0,247.0,3.0,0.0
2020-04-28,4996.0,93.0,2073.0,2830.0,203.0,3.0,600.0
2020-04-29,5350.0,103.0,2073.0,3174.0,354.0,10.0,0.0
2020-04-30,5647.0,103.0,2073.0,3471.0,297.0,0.0,0.0
2020-05-01,5951.0,116.0,2382.0,3453.0,304.0,13.0,309.0
2020-05-02,6336.0,123.0,2549.0,3664.0,385.0,7.0,167.0
