date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-16,1.0,0.0,0.0,1.0,,,
2020-03-17,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-18,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-19,3.0,0.0,0.0,3.0,2.0,0.0,0.0
2020-03-20,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-21,4.0,0.0,0.0,4.0,1.0,0.0,0.0
2020-03-22,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-03-23,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-03-24,5.0,0.0,1.0,4.0,1.0,0.0,1.0
2020-03-25,5.0,0.0,1.0,4.0,0.0,0.0,0.0
2020-03-26,9.0,0.0,1.0,8.0,4.0,0.0,0.0
2020-03-27,10.0,0.0,1.0,9.0,1.0,0.0,0.0
2020-03-28,10.0,0.0,1.0,9.0,0.0,0.0,0.0
2020-03-29,11.0,0.0,1.0,10.0,1.0,0.0,0.0
2020-03-30,14.0,0.0,1.0,13.0,3.0,0.0,0.0
2020-03-31,14.0,0.0,1.0,13.0,0.0,0.0,0.0
2020-04-01,21.0,1.0,1.0,19.0,7.0,1.0,0.0
2020-04-02,24.0,1.0,1.0,22.0,3.0,0.0,0.0
2020-04-03,24.0,1.0,1.0,22.0,0.0,0.0,0.0
2020-04-04,28.0,4.0,0.0,24.0,4.0,3.0,-1.0
2020-04-05,28.0,4.0,0.0,24.0,0.0,0.0,0.0
2020-04-06,29.0,5.0,4.0,20.0,1.0,1.0,4.0
2020-04-07,33.0,6.0,5.0,22.0,4.0,1.0,1.0
2020-04-08,40.0,7.0,5.0,28.0,7.0,1.0,0.0
2020-04-09,41.0,8.0,5.0,28.0,1.0,1.0,0.0
2020-04-10,42.0,8.0,5.0,29.0,1.0,0.0,0.0
2020-04-11,46.0,8.0,5.0,33.0,4.0,0.0,0.0
2020-04-12,46.0,8.0,5.0,33.0,0.0,0.0,0.0
2020-04-13,47.0,8.0,6.0,33.0,1.0,0.0,1.0
2020-04-14,49.0,8.0,6.0,35.0,2.0,0.0,0.0
2020-04-15,49.0,8.0,6.0,35.0,0.0,0.0,0.0
2020-04-16,53.0,8.0,6.0,39.0,4.0,0.0,0.0
2020-04-17,54.0,9.0,6.0,39.0,1.0,1.0,0.0
2020-04-18,55.0,9.0,10.0,36.0,1.0,0.0,4.0
2020-04-19,55.0,9.0,10.0,36.0,0.0,0.0,0.0
2020-04-20,60.0,9.0,11.0,40.0,5.0,0.0,1.0
2020-04-21,65.0,9.0,12.0,44.0,5.0,0.0,1.0
2020-04-22,65.0,9.0,12.0,44.0,0.0,0.0,0.0
2020-04-23,72.0,11.0,14.0,47.0,7.0,2.0,2.0
2020-04-24,73.0,11.0,15.0,47.0,1.0,0.0,1.0
2020-04-25,78.0,11.0,15.0,52.0,5.0,0.0,0.0
2020-04-26,80.0,11.0,22.0,47.0,2.0,0.0,7.0
2020-04-27,80.0,11.0,22.0,47.0,0.0,0.0,0.0
2020-04-28,80.0,11.0,23.0,46.0,0.0,0.0,1.0
2020-04-29,80.0,11.0,23.0,46.0,0.0,0.0,0.0
2020-04-30,81.0,11.0,25.0,45.0,1.0,0.0,2.0
2020-05-01,81.0,11.0,24.0,46.0,0.0,0.0,-1.0
2020-05-02,83.0,11.0,24.0,48.0,2.0,0.0,0.0
2020-05-03,83.0,11.0,24.0,48.0,0.0,0.0,0.0
2020-05-04,83.0,11.0,25.0,47.0,0.0,0.0,1.0
2020-05-05,89.0,11.0,26.0,52.0,6.0,0.0,1.0
2020-05-06,92.0,11.0,26.0,55.0,3.0,0.0,0.0
2020-05-07,92.0,11.0,26.0,55.0,0.0,0.0,0.0
2020-05-08,92.0,11.0,31.0,50.0,0.0,0.0,5.0
2020-05-09,92.0,11.0,37.0,44.0,0.0,0.0,6.0
2020-05-10,92.0,11.0,37.0,44.0,0.0,0.0,0.0
2020-05-11,93.0,11.0,39.0,43.0,1.0,0.0,2.0
2020-05-12,93.0,11.0,39.0,43.0,0.0,0.0,0.0
2020-05-13,94.0,11.0,41.0,42.0,1.0,0.0,2.0
2020-05-14,96.0,11.0,41.0,44.0,2.0,0.0,0.0
2020-05-15,96.0,11.0,41.0,44.0,0.0,0.0,0.0
2020-05-16,96.0,11.0,42.0,43.0,0.0,0.0,1.0
2020-05-17,96.0,11.0,42.0,43.0,0.0,0.0,0.0
2020-05-18,96.0,11.0,43.0,42.0,0.0,0.0,1.0
2020-05-19,96.0,11.0,43.0,42.0,0.0,0.0,0.0
2020-05-20,97.0,11.0,43.0,43.0,1.0,0.0,0.0
2020-05-21,97.0,11.0,44.0,42.0,0.0,0.0,1.0
2020-05-22,97.0,11.0,44.0,42.0,0.0,0.0,0.0
2020-05-23,100.0,11.0,45.0,44.0,3.0,0.0,1.0
2020-05-24,100.0,11.0,45.0,44.0,0.0,0.0,0.0
2020-05-25,100.0,11.0,46.0,43.0,0.0,0.0,1.0
2020-05-26,100.0,11.0,46.0,43.0,0.0,0.0,0.0
2020-05-27,100.0,11.0,46.0,43.0,0.0,0.0,0.0
2020-05-28,101.0,11.0,47.0,43.0,1.0,0.0,1.0
2020-05-29,102.0,11.0,48.0,43.0,1.0,0.0,1.0
2020-05-30,102.0,11.0,48.0,43.0,0.0,0.0,0.0
2020-05-31,102.0,11.0,48.0,43.0,0.0,0.0,0.0
2020-06-01,102.0,11.0,49.0,42.0,0.0,0.0,1.0
2020-06-02,102.0,11.0,49.0,42.0,0.0,0.0,0.0
2020-06-03,102.0,11.0,55.0,36.0,0.0,0.0,6.0
2020-06-04,102.0,11.0,55.0,36.0,0.0,0.0,0.0
2020-06-05,102.0,11.0,55.0,36.0,0.0,0.0,0.0
2020-06-06,103.0,11.0,62.0,30.0,1.0,0.0,7.0
2020-06-07,103.0,11.0,62.0,30.0,0.0,0.0,0.0
2020-06-08,103.0,11.0,64.0,28.0,0.0,0.0,2.0
2020-06-09,103.0,11.0,64.0,28.0,0.0,0.0,0.0
2020-06-10,103.0,11.0,67.0,25.0,0.0,0.0,3.0
2020-06-11,103.0,11.0,68.0,24.0,0.0,0.0,1.0
2020-06-12,103.0,11.0,68.0,24.0,0.0,0.0,0.0
2020-06-13,103.0,11.0,68.0,24.0,0.0,0.0,0.0
2020-06-14,103.0,11.0,68.0,24.0,0.0,0.0,0.0
2020-06-15,103.0,11.0,68.0,24.0,0.0,0.0,0.0
2020-06-16,104.0,11.0,72.0,21.0,1.0,0.0,4.0
2020-06-17,104.0,11.0,72.0,21.0,0.0,0.0,0.0
2020-06-18,104.0,11.0,74.0,19.0,0.0,0.0,2.0
2020-06-19,104.0,11.0,74.0,19.0,0.0,0.0,0.0
2020-06-20,104.0,11.0,74.0,19.0,0.0,0.0,0.0
2020-06-21,104.0,11.0,77.0,16.0,0.0,0.0,3.0
2020-06-22,104.0,11.0,77.0,16.0,0.0,0.0,0.0
2020-06-23,104.0,11.0,83.0,10.0,0.0,0.0,6.0
2020-06-24,104.0,11.0,83.0,10.0,0.0,0.0,0.0
2020-06-25,104.0,11.0,84.0,9.0,0.0,0.0,1.0
2020-06-26,104.0,11.0,84.0,9.0,0.0,0.0,0.0
2020-06-27,104.0,11.0,87.0,6.0,0.0,0.0,3.0
2020-06-28,104.0,11.0,87.0,6.0,0.0,0.0,0.0
2020-06-29,104.0,11.0,87.0,6.0,0.0,0.0,0.0
