date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-10,1.0,0.0,0.0,1.0,,,
2020-03-11,2.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-03-12,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-13,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-14,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-15,3.0,0.0,0.0,3.0,1.0,0.0,0.0
2020-03-16,15.0,0.0,0.0,15.0,12.0,0.0,0.0
2020-03-17,15.0,0.0,0.0,15.0,0.0,0.0,0.0
2020-03-18,20.0,1.0,0.0,19.0,5.0,1.0,0.0
2020-03-19,33.0,1.0,0.0,32.0,13.0,0.0,0.0
2020-03-20,40.0,1.0,0.0,39.0,7.0,0.0,0.0
2020-03-21,64.0,2.0,5.0,57.0,24.0,1.0,5.0
2020-03-22,75.0,4.0,5.0,66.0,11.0,2.0,0.0
2020-03-23,99.0,4.0,5.0,90.0,24.0,0.0,0.0
2020-03-24,114.0,4.0,7.0,103.0,15.0,0.0,2.0
2020-03-25,146.0,4.0,10.0,132.0,32.0,0.0,3.0
2020-03-26,152.0,7.0,10.0,135.0,6.0,3.0,0.0
2020-03-27,180.0,9.0,12.0,159.0,28.0,2.0,2.0
2020-03-28,207.0,11.0,21.0,175.0,27.0,2.0,9.0
2020-03-29,222.0,12.0,23.0,187.0,15.0,1.0,2.0
2020-03-30,246.0,12.0,31.0,203.0,24.0,0.0,8.0
2020-03-31,261.0,14.0,32.0,215.0,15.0,2.0,1.0
2020-04-01,282.0,16.0,46.0,220.0,21.0,2.0,14.0
2020-04-02,288.0,16.0,50.0,222.0,6.0,0.0,4.0
2020-04-03,302.0,16.0,50.0,236.0,14.0,0.0,0.0
2020-04-04,318.0,16.0,66.0,236.0,16.0,0.0,16.0
2020-04-05,345.0,17.0,90.0,238.0,27.0,1.0,24.0
2020-04-06,364.0,18.0,108.0,238.0,19.0,1.0,18.0
2020-04-07,384.0,19.0,127.0,238.0,20.0,1.0,19.0
2020-04-08,414.0,23.0,134.0,257.0,30.0,4.0,7.0
2020-04-09,443.0,24.0,146.0,273.0,29.0,1.0,12.0
2020-04-10,443.0,24.0,146.0,273.0,0.0,0.0,0.0
2020-04-11,484.0,27.0,155.0,302.0,41.0,3.0,9.0
2020-04-12,497.0,27.0,161.0,309.0,13.0,0.0,6.0
2020-04-13,497.0,27.0,161.0,309.0,0.0,0.0,0.0
2020-04-14,528.0,30.0,177.0,321.0,31.0,3.0,16.0
2020-04-15,542.0,32.0,226.0,284.0,14.0,2.0,49.0
2020-04-16,546.0,32.0,257.0,257.0,4.0,0.0,31.0
2020-04-17,557.0,35.0,294.0,228.0,11.0,3.0,37.0
2020-04-18,565.0,36.0,321.0,208.0,8.0,1.0,27.0
2020-04-19,576.0,36.0,338.0,202.0,11.0,0.0,17.0
2020-04-20,581.0,38.0,357.0,186.0,5.0,2.0,19.0
2020-04-21,600.0,38.0,362.0,200.0,19.0,0.0,5.0
2020-04-22,609.0,39.0,389.0,181.0,9.0,1.0,27.0
2020-04-23,616.0,41.0,410.0,165.0,7.0,2.0,21.0
2020-04-24,629.0,41.0,425.0,163.0,13.0,0.0,15.0
2020-04-25,629.0,41.0,442.0,146.0,0.0,0.0,17.0
2020-04-26,632.0,42.0,453.0,137.0,3.0,1.0,11.0
2020-04-27,635.0,42.0,469.0,124.0,3.0,0.0,16.0
2020-04-28,638.0,42.0,476.0,120.0,3.0,0.0,7.0
2020-04-29,641.0,43.0,498.0,100.0,3.0,1.0,22.0
2020-04-30,645.0,43.0,506.0,96.0,4.0,0.0,8.0
2020-05-01,649.0,44.0,517.0,88.0,4.0,1.0,11.0
2020-05-02,652.0,44.0,535.0,73.0,3.0,0.0,18.0
2020-05-03,662.0,45.0,540.0,77.0,10.0,1.0,5.0
2020-05-04,672.0,46.0,545.0,81.0,10.0,1.0,5.0
2020-05-05,688.0,48.0,548.0,92.0,16.0,2.0,3.0
2020-05-06,729.0,48.0,555.0,126.0,41.0,0.0,7.0
2020-05-07,736.0,48.0,562.0,126.0,7.0,0.0,7.0
2020-05-08,744.0,48.0,566.0,130.0,8.0,0.0,4.0
