date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-20,3.0,0.0,0.0,3.0,,,
2020-03-21,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-22,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-23,12.0,0.0,0.0,12.0,9.0,0.0,0.0
2020-03-24,17.0,0.0,0.0,17.0,5.0,0.0,0.0
2020-03-25,19.0,0.0,0.0,19.0,2.0,0.0,0.0
2020-03-26,23.0,0.0,0.0,23.0,4.0,0.0,0.0
2020-03-27,26.0,0.0,0.0,26.0,3.0,0.0,0.0
2020-03-28,26.0,0.0,0.0,26.0,0.0,0.0,0.0
2020-03-29,39.0,0.0,0.0,39.0,13.0,0.0,0.0
2020-03-30,43.0,0.0,0.0,43.0,4.0,0.0,0.0
2020-03-31,57.0,0.0,0.0,57.0,14.0,0.0,0.0
2020-04-01,57.0,0.0,0.0,57.0,0.0,0.0,0.0
2020-04-02,59.0,0.0,0.0,59.0,2.0,0.0,0.0
2020-04-03,70.0,0.0,0.0,70.0,11.0,0.0,0.0
2020-04-04,70.0,0.0,0.0,70.0,0.0,0.0,0.0
2020-04-05,72.0,0.0,2.0,70.0,2.0,0.0,2.0
2020-04-06,82.0,0.0,2.0,80.0,10.0,0.0,0.0
2020-04-07,88.0,0.0,7.0,81.0,6.0,0.0,5.0
2020-04-08,93.0,0.0,11.0,82.0,5.0,0.0,4.0
2020-04-09,93.0,0.0,11.0,82.0,0.0,0.0,0.0
2020-04-10,93.0,0.0,11.0,82.0,0.0,0.0,0.0
2020-04-11,102.0,0.0,11.0,91.0,9.0,0.0,0.0
2020-04-12,106.0,0.0,20.0,86.0,4.0,0.0,9.0
2020-04-13,106.0,0.0,21.0,85.0,0.0,0.0,1.0
2020-04-14,108.0,0.0,23.0,85.0,2.0,0.0,2.0
2020-04-15,110.0,0.0,29.0,81.0,2.0,0.0,6.0
2020-04-16,111.0,0.0,33.0,78.0,1.0,0.0,4.0
2020-04-17,117.0,0.0,33.0,84.0,6.0,0.0,0.0
2020-04-18,120.0,0.0,35.0,85.0,3.0,0.0,2.0
2020-04-19,121.0,0.0,39.0,82.0,1.0,0.0,4.0
2020-04-20,121.0,0.0,41.0,80.0,0.0,0.0,2.0
2020-04-21,121.0,0.0,44.0,77.0,0.0,0.0,3.0
2020-04-22,121.0,0.0,52.0,69.0,0.0,0.0,8.0
2020-04-23,121.0,0.0,58.0,63.0,0.0,0.0,6.0
2020-04-24,122.0,0.0,61.0,61.0,1.0,0.0,3.0
