date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-22,1.0,0.0,0.0,1.0,,,
2020-03-23,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-24,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-25,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-26,7.0,0.0,0.0,7.0,6.0,0.0,0.0
2020-03-27,7.0,0.0,0.0,7.0,0.0,0.0,0.0
2020-03-28,7.0,0.0,0.0,7.0,0.0,0.0,0.0
2020-03-29,9.0,0.0,0.0,9.0,2.0,0.0,0.0
2020-03-30,9.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-03-31,9.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-04-01,9.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-04-02,10.0,0.0,0.0,10.0,1.0,0.0,0.0
2020-04-03,12.0,0.0,0.0,12.0,2.0,0.0,0.0
2020-04-04,12.0,0.0,0.0,12.0,0.0,0.0,0.0
2020-04-05,12.0,0.0,0.0,12.0,0.0,0.0,0.0
2020-04-06,12.0,0.0,0.0,12.0,0.0,0.0,0.0
2020-04-07,12.0,0.0,0.0,12.0,0.0,0.0,0.0
2020-04-08,12.0,0.0,0.0,12.0,0.0,0.0,0.0
2020-04-09,12.0,0.0,0.0,12.0,0.0,0.0,0.0
2020-04-10,14.0,0.0,0.0,14.0,2.0,0.0,0.0
2020-04-11,14.0,0.0,0.0,14.0,0.0,0.0,0.0
2020-04-12,14.0,0.0,0.0,14.0,0.0,0.0,0.0
2020-04-13,14.0,0.0,0.0,14.0,0.0,0.0,0.0
2020-04-14,14.0,0.0,0.0,14.0,0.0,0.0,0.0
2020-04-15,14.0,0.0,0.0,14.0,0.0,0.0,0.0
2020-04-16,14.0,0.0,0.0,14.0,0.0,0.0,0.0
2020-04-17,14.0,0.0,6.0,8.0,0.0,0.0,6.0
2020-04-18,14.0,0.0,6.0,8.0,0.0,0.0,0.0
2020-04-19,14.0,0.0,6.0,8.0,0.0,0.0,0.0
2020-04-20,14.0,0.0,6.0,8.0,0.0,0.0,0.0
2020-04-21,14.0,0.0,6.0,8.0,0.0,0.0,0.0
2020-04-22,15.0,0.0,6.0,9.0,1.0,0.0,0.0
2020-04-23,15.0,0.0,6.0,9.0,0.0,0.0,0.0
2020-04-24,15.0,0.0,7.0,8.0,0.0,0.0,1.0
2020-04-25,18.0,0.0,7.0,11.0,3.0,0.0,0.0
2020-04-26,18.0,0.0,7.0,11.0,0.0,0.0,0.0
2020-04-27,18.0,0.0,7.0,11.0,0.0,0.0,0.0
2020-04-28,19.0,0.0,10.0,9.0,1.0,0.0,3.0
2020-04-29,20.0,0.0,13.0,7.0,1.0,0.0,3.0
2020-04-30,20.0,0.0,13.0,7.0,0.0,0.0,0.0
2020-05-01,20.0,0.0,13.0,7.0,0.0,0.0,0.0
2020-05-02,21.0,0.0,13.0,8.0,1.0,0.0,0.0
2020-05-03,21.0,0.0,13.0,8.0,0.0,0.0,0.0
2020-05-04,21.0,0.0,13.0,8.0,0.0,0.0,0.0
2020-05-05,21.0,0.0,13.0,8.0,0.0,0.0,0.0
2020-05-06,21.0,0.0,13.0,8.0,0.0,0.0,0.0
2020-05-07,21.0,0.0,13.0,8.0,0.0,0.0,0.0
2020-05-08,21.0,0.0,13.0,8.0,0.0,0.0,0.0
2020-05-09,21.0,0.0,13.0,8.0,0.0,0.0,0.0
2020-05-10,21.0,0.0,13.0,8.0,0.0,0.0,0.0
2020-05-11,21.0,0.0,13.0,8.0,0.0,0.0,0.0
