date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-20,1.0,0.0,0.0,1.0,,,
2020-03-21,2.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-03-22,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-23,3.0,0.0,0.0,3.0,1.0,0.0,0.0
2020-03-24,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-25,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-26,4.0,0.0,0.0,4.0,1.0,0.0,0.0
2020-03-27,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-03-28,5.0,0.0,0.0,5.0,1.0,0.0,0.0
2020-03-29,7.0,2.0,0.0,5.0,2.0,2.0,0.0
2020-03-30,7.0,2.0,0.0,5.0,0.0,0.0,0.0
2020-03-31,7.0,2.0,1.0,4.0,0.0,0.0,1.0
2020-04-01,8.0,2.0,1.0,5.0,1.0,0.0,0.0
2020-04-02,8.0,2.0,1.0,5.0,0.0,0.0,0.0
2020-04-03,8.0,2.0,1.0,5.0,0.0,0.0,0.0
2020-04-04,10.0,2.0,2.0,6.0,2.0,0.0,1.0
2020-04-05,14.0,2.0,2.0,10.0,4.0,0.0,0.0
2020-04-06,16.0,2.0,2.0,12.0,2.0,0.0,0.0
2020-04-07,17.0,2.0,2.0,13.0,1.0,0.0,0.0
2020-04-08,19.0,2.0,2.0,15.0,2.0,0.0,0.0
2020-04-09,19.0,2.0,2.0,15.0,0.0,0.0,0.0
2020-04-10,19.0,2.0,2.0,15.0,0.0,0.0,0.0
2020-04-11,19.0,2.0,4.0,13.0,0.0,0.0,2.0
2020-04-12,19.0,2.0,4.0,13.0,0.0,0.0,0.0
2020-04-13,19.0,2.0,4.0,13.0,0.0,0.0,0.0
2020-04-14,19.0,2.0,5.0,12.0,0.0,0.0,1.0
2020-04-15,19.0,2.0,5.0,12.0,0.0,0.0,0.0
2020-04-16,19.0,2.0,5.0,12.0,0.0,0.0,0.0
2020-04-17,19.0,2.0,5.0,12.0,0.0,0.0,0.0
2020-04-18,24.0,2.0,6.0,16.0,5.0,0.0,1.0
2020-04-19,24.0,2.0,6.0,16.0,0.0,0.0,0.0
2020-04-20,24.0,2.0,6.0,16.0,0.0,0.0,0.0
2020-04-21,24.0,2.0,6.0,16.0,0.0,0.0,0.0
2020-04-22,25.0,2.0,6.0,17.0,1.0,0.0,0.0
2020-04-23,25.0,2.0,6.0,17.0,0.0,0.0,0.0
2020-04-24,25.0,2.0,6.0,17.0,0.0,0.0,0.0
2020-04-25,25.0,2.0,6.0,17.0,0.0,0.0,0.0
2020-04-26,26.0,2.0,6.0,18.0,1.0,0.0,0.0
2020-04-27,27.0,2.0,6.0,19.0,1.0,0.0,0.0
