date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-02-27,1.0,0.0,0.0,1.0,,,
2020-02-28,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-29,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-02,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-03,2.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-03-04,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-05,3.0,0.0,0.0,3.0,1.0,0.0,0.0
2020-03-06,10.0,0.0,0.0,10.0,7.0,0.0,0.0
2020-03-07,10.0,0.0,0.0,10.0,0.0,0.0,0.0
2020-03-08,10.0,0.0,0.0,10.0,0.0,0.0,0.0
2020-03-09,10.0,0.0,0.0,10.0,0.0,0.0,0.0
2020-03-10,12.0,0.0,0.0,12.0,2.0,0.0,0.0
2020-03-11,16.0,0.0,0.0,16.0,4.0,0.0,0.0
2020-03-12,16.0,0.0,0.0,16.0,0.0,0.0,0.0
2020-03-13,79.0,0.0,0.0,79.0,63.0,0.0,0.0
2020-03-14,115.0,0.0,0.0,115.0,36.0,0.0,0.0
2020-03-15,171.0,0.0,1.0,170.0,56.0,0.0,1.0
2020-03-16,205.0,0.0,1.0,204.0,34.0,0.0,0.0
2020-03-17,225.0,0.0,1.0,224.0,20.0,0.0,0.0
2020-03-18,258.0,0.0,1.0,257.0,33.0,0.0,0.0
2020-03-19,267.0,0.0,1.0,266.0,9.0,0.0,0.0
2020-03-20,283.0,0.0,1.0,282.0,16.0,0.0,0.0
2020-03-21,306.0,0.0,1.0,305.0,23.0,0.0,0.0
2020-03-22,326.0,0.0,4.0,322.0,20.0,0.0,3.0
2020-03-23,352.0,0.0,4.0,348.0,26.0,0.0,0.0
2020-03-24,369.0,0.0,7.0,362.0,17.0,0.0,3.0
2020-03-25,404.0,1.0,8.0,395.0,35.0,1.0,1.0
2020-03-26,538.0,1.0,8.0,529.0,134.0,0.0,0.0
2020-03-27,575.0,1.0,11.0,563.0,37.0,0.0,3.0
2020-03-28,645.0,1.0,20.0,624.0,70.0,0.0,9.0
2020-03-29,679.0,3.0,20.0,656.0,34.0,2.0,0.0
2020-03-30,715.0,3.0,20.0,692.0,36.0,0.0,0.0
2020-03-31,745.0,4.0,26.0,715.0,30.0,1.0,6.0
2020-04-01,779.0,5.0,33.0,741.0,34.0,1.0,7.0
2020-04-02,858.0,11.0,45.0,802.0,79.0,6.0,12.0
2020-04-03,961.0,12.0,48.0,901.0,103.0,1.0,3.0
2020-04-04,1039.0,13.0,59.0,967.0,78.0,1.0,11.0
2020-04-05,1097.0,15.0,62.0,1020.0,58.0,2.0,3.0
2020-04-06,1108.0,19.0,62.0,1027.0,11.0,4.0,0.0
2020-04-07,1149.0,21.0,69.0,1059.0,41.0,2.0,7.0
2020-04-08,1185.0,24.0,72.0,1089.0,36.0,3.0,3.0
2020-04-09,1207.0,24.0,83.0,1100.0,22.0,0.0,11.0
2020-04-10,1258.0,24.0,93.0,1141.0,51.0,0.0,10.0
2020-04-11,1304.0,24.0,93.0,1187.0,46.0,0.0,0.0
