date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-04,1.0,0.0,0.0,1.0,,,
2020-03-05,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-11,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-13,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-14,4.0,0.0,0.0,4.0,3.0,0.0,0.0
2020-03-15,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-03-16,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-03-17,7.0,0.0,0.0,7.0,3.0,0.0,0.0
2020-03-18,28.0,0.0,0.0,28.0,21.0,0.0,0.0
2020-03-19,28.0,0.0,0.0,28.0,0.0,0.0,0.0
2020-03-20,28.0,0.0,0.0,28.0,0.0,0.0,0.0
2020-03-21,37.0,0.0,0.0,37.0,9.0,0.0,0.0
2020-03-22,37.0,0.0,0.0,37.0,0.0,0.0,0.0
2020-03-23,51.0,0.0,0.0,51.0,14.0,0.0,0.0
2020-03-24,51.0,0.0,0.0,51.0,0.0,0.0,0.0
2020-03-25,51.0,0.0,0.0,51.0,0.0,0.0,0.0
2020-03-26,56.0,0.0,0.0,56.0,5.0,0.0,0.0
2020-03-27,56.0,0.0,0.0,56.0,0.0,0.0,0.0
2020-03-28,56.0,0.0,0.0,56.0,0.0,0.0,0.0
2020-03-29,56.0,0.0,0.0,56.0,0.0,0.0,0.0
2020-03-30,62.0,0.0,0.0,62.0,6.0,0.0,0.0
2020-03-31,68.0,0.0,0.0,68.0,6.0,0.0,0.0
2020-04-01,68.0,0.0,0.0,68.0,0.0,0.0,0.0
2020-04-02,75.0,0.0,0.0,75.0,7.0,0.0,0.0
2020-04-03,75.0,0.0,0.0,75.0,0.0,0.0,0.0
2020-04-04,77.0,1.0,0.0,76.0,2.0,1.0,0.0
2020-04-05,77.0,1.0,0.0,76.0,0.0,0.0,0.0
2020-04-06,77.0,1.0,55.0,21.0,0.0,0.0,55.0
2020-04-07,78.0,1.0,55.0,22.0,1.0,0.0,0.0
2020-04-08,78.0,1.0,55.0,22.0,0.0,0.0,0.0
2020-04-09,78.0,1.0,55.0,22.0,0.0,0.0,0.0
2020-04-10,79.0,1.0,55.0,23.0,1.0,0.0,0.0
2020-04-11,79.0,1.0,55.0,23.0,0.0,0.0,0.0
2020-04-12,79.0,1.0,55.0,23.0,0.0,0.0,0.0
2020-04-13,79.0,1.0,55.0,23.0,0.0,0.0,0.0
2020-04-14,79.0,1.0,55.0,23.0,0.0,0.0,0.0
2020-04-15,79.0,1.0,55.0,23.0,0.0,0.0,0.0
2020-04-16,79.0,1.0,55.0,23.0,0.0,0.0,0.0
2020-04-17,79.0,1.0,55.0,23.0,0.0,0.0,0.0
2020-04-18,79.0,1.0,55.0,23.0,0.0,0.0,0.0
2020-04-19,81.0,1.0,55.0,25.0,2.0,0.0,0.0
2020-04-20,81.0,1.0,55.0,25.0,0.0,0.0,0.0
2020-04-21,81.0,1.0,55.0,25.0,0.0,0.0,0.0
2020-04-22,81.0,1.0,55.0,25.0,0.0,0.0,0.0
2020-04-23,81.0,1.0,55.0,25.0,0.0,0.0,0.0
2020-04-24,81.0,1.0,55.0,25.0,0.0,0.0,0.0
2020-04-25,81.0,1.0,55.0,25.0,0.0,0.0,0.0
2020-04-26,82.0,1.0,55.0,26.0,1.0,0.0,0.0
2020-04-27,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-04-28,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-04-29,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-04-30,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-01,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-02,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-03,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-04,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-05,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-06,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-07,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-08,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-09,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-10,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-11,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-12,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-13,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-14,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-15,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-16,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-17,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-18,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-19,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-20,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-21,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-22,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-23,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-24,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-25,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-26,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-27,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-28,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-29,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-30,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-05-31,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-06-01,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-06-02,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-06-03,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-06-04,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-06-05,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-06-06,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-06-07,82.0,1.0,55.0,26.0,0.0,0.0,0.0
2020-06-08,82.0,1.0,55.0,26.0,0.0,0.0,0.0
