date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-01-31,1.0,0.0,0.0,0.0,,,
2020-02-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-02,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-03,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-04,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-05,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-08,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-09,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-10,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-11,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-12,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-13,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-14,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-15,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-16,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-17,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-18,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-19,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-20,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-21,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-22,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-23,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-24,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-25,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-26,2.0,0.0,0.0,2.0,1.0,0.0,0.0
2020-02-27,7.0,0.0,0.0,7.0,5.0,0.0,0.0
2020-02-28,7.0,0.0,0.0,7.0,0.0,0.0,0.0
2020-02-29,12.0,0.0,0.0,12.0,5.0,0.0,0.0
2020-03-01,14.0,0.0,0.0,14.0,2.0,0.0,0.0
2020-03-02,15.0,0.0,0.0,15.0,1.0,0.0,0.0
2020-03-03,21.0,0.0,0.0,21.0,6.0,0.0,0.0
2020-03-04,35.0,0.0,0.0,35.0,14.0,0.0,0.0
2020-03-05,94.0,0.0,0.0,94.0,59.0,0.0,0.0
2020-03-06,101.0,0.0,0.0,101.0,7.0,0.0,0.0
2020-03-07,161.0,0.0,0.0,161.0,60.0,0.0,0.0
2020-03-08,203.0,0.0,0.0,203.0,42.0,0.0,0.0
2020-03-09,248.0,0.0,1.0,247.0,45.0,0.0,1.0
2020-03-10,355.0,0.0,1.0,354.0,107.0,0.0,0.0
2020-03-11,500.0,1.0,1.0,498.0,145.0,1.0,0.0
2020-03-12,599.0,1.0,1.0,597.0,99.0,0.0,0.0
2020-03-13,814.0,1.0,1.0,812.0,215.0,0.0,0.0
2020-03-14,961.0,2.0,1.0,958.0,147.0,1.0,0.0
2020-03-15,1022.0,3.0,1.0,1018.0,61.0,1.0,0.0
2020-03-16,1103.0,6.0,1.0,1096.0,81.0,3.0,0.0
2020-03-17,1190.0,7.0,1.0,1182.0,87.0,1.0,0.0
2020-03-18,1279.0,10.0,1.0,1268.0,89.0,3.0,0.0
2020-03-19,1439.0,11.0,16.0,1412.0,160.0,1.0,15.0
2020-03-20,1639.0,16.0,16.0,1607.0,200.0,5.0,0.0
2020-03-21,1763.0,20.0,16.0,1727.0,124.0,4.0,0.0
2020-03-22,1931.0,21.0,16.0,1894.0,168.0,1.0,0.0
2020-03-23,2046.0,25.0,16.0,2005.0,115.0,4.0,0.0
2020-03-24,2286.0,36.0,16.0,2234.0,240.0,11.0,0.0
2020-03-25,2526.0,62.0,16.0,2448.0,240.0,26.0,0.0
2020-03-26,2840.0,77.0,16.0,2747.0,314.0,15.0,0.0
2020-03-27,3069.0,105.0,16.0,2948.0,229.0,28.0,0.0
2020-03-28,3447.0,105.0,16.0,3326.0,378.0,0.0,0.0
2020-03-29,3700.0,110.0,16.0,3574.0,253.0,5.0,0.0
2020-03-30,4028.0,146.0,16.0,3866.0,328.0,36.0,0.0
2020-03-31,4435.0,180.0,16.0,4239.0,407.0,34.0,0.0
2020-04-01,4947.0,239.0,103.0,4605.0,512.0,59.0,87.0
2020-04-02,5568.0,308.0,103.0,5157.0,621.0,69.0,0.0
2020-04-03,6131.0,358.0,205.0,5568.0,563.0,50.0,102.0
