date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-08,4.0,0.0,0.0,4.0,,,
2020-03-09,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-03-10,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-03-11,7.0,1.0,0.0,6.0,3.0,1.0,0.0
2020-03-12,7.0,1.0,0.0,6.0,0.0,0.0,0.0
2020-03-13,23.0,1.0,0.0,22.0,16.0,0.0,0.0
2020-03-14,41.0,2.0,0.0,39.0,18.0,1.0,0.0
2020-03-15,51.0,2.0,0.0,49.0,10.0,0.0,0.0
2020-03-16,52.0,2.0,0.0,50.0,1.0,0.0,0.0
2020-03-17,67.0,2.0,0.0,65.0,15.0,0.0,0.0
2020-03-18,92.0,2.0,0.0,90.0,25.0,0.0,0.0
2020-03-19,94.0,3.0,0.0,91.0,2.0,1.0,0.0
2020-03-20,127.0,3.0,0.0,124.0,33.0,0.0,0.0
2020-03-21,163.0,3.0,3.0,157.0,36.0,0.0,3.0
2020-03-22,187.0,3.0,3.0,181.0,24.0,0.0,0.0
2020-03-23,201.0,3.0,3.0,195.0,14.0,0.0,0.0
2020-03-24,218.0,3.0,3.0,212.0,17.0,0.0,0.0
2020-03-25,242.0,3.0,4.0,235.0,24.0,0.0,1.0
2020-03-26,264.0,3.0,8.0,253.0,22.0,0.0,4.0
2020-03-27,293.0,3.0,9.0,281.0,29.0,0.0,1.0
2020-03-28,331.0,7.0,11.0,313.0,38.0,4.0,2.0
2020-03-29,346.0,8.0,14.0,324.0,15.0,1.0,3.0
2020-03-30,359.0,8.0,17.0,334.0,13.0,0.0,3.0
2020-03-31,399.0,8.0,17.0,374.0,40.0,0.0,0.0
2020-04-01,422.0,10.0,20.0,392.0,23.0,2.0,3.0
2020-04-02,457.0,10.0,25.0,422.0,35.0,0.0,5.0
2020-04-03,485.0,14.0,30.0,441.0,28.0,4.0,5.0
2020-04-04,503.0,17.0,34.0,452.0,18.0,3.0,4.0
2020-04-05,531.0,20.0,37.0,474.0,28.0,3.0,3.0
2020-04-06,549.0,22.0,39.0,488.0,18.0,2.0,2.0
2020-04-07,577.0,23.0,42.0,512.0,28.0,1.0,3.0
2020-04-08,593.0,24.0,42.0,527.0,16.0,1.0,0.0
2020-04-09,618.0,24.0,48.0,546.0,25.0,0.0,6.0
2020-04-10,635.0,25.0,54.0,556.0,17.0,1.0,6.0
2020-04-11,661.0,28.0,62.0,571.0,26.0,3.0,8.0
2020-04-12,675.0,29.0,68.0,578.0,14.0,1.0,6.0
2020-04-13,685.0,32.0,71.0,582.0,10.0,3.0,3.0
2020-04-14,713.0,35.0,81.0,597.0,28.0,3.0,10.0
2020-04-15,747.0,36.0,105.0,606.0,34.0,1.0,24.0
2020-04-16,800.0,38.0,122.0,640.0,53.0,2.0,17.0
2020-04-17,846.0,41.0,141.0,664.0,46.0,3.0,19.0
2020-04-18,878.0,41.0,153.0,684.0,32.0,0.0,12.0
2020-04-19,894.0,42.0,161.0,691.0,16.0,1.0,8.0
2020-04-20,929.0,43.0,167.0,719.0,35.0,1.0,6.0
2020-04-21,975.0,45.0,170.0,760.0,46.0,2.0,3.0
2020-04-22,1024.0,49.0,174.0,801.0,49.0,4.0,4.0
2020-04-23,1097.0,52.0,190.0,855.0,73.0,3.0,16.0
2020-04-24,1234.0,54.0,197.0,983.0,137.0,2.0,7.0
2020-04-25,1247.0,55.0,197.0,995.0,13.0,1.0,0.0
2020-04-26,1300.0,56.0,205.0,1039.0,53.0,1.0,8.0
2020-04-27,1363.0,58.0,206.0,1099.0,63.0,2.0,1.0
2020-04-28,1399.0,58.0,222.0,1119.0,36.0,0.0,16.0
2020-04-29,1447.0,64.0,243.0,1140.0,48.0,6.0,21.0
2020-04-30,1506.0,66.0,266.0,1174.0,59.0,2.0,23.0
2020-05-01,1555.0,68.0,276.0,1211.0,49.0,2.0,10.0
2020-05-02,1594.0,72.0,287.0,1235.0,39.0,4.0,11.0
2020-05-03,1618.0,73.0,308.0,1237.0,24.0,1.0,21.0
2020-05-04,1652.0,78.0,321.0,1253.0,34.0,5.0,13.0
2020-05-05,1704.0,80.0,342.0,1282.0,52.0,2.0,21.0
2020-05-06,1778.0,84.0,360.0,1334.0,74.0,4.0,18.0
2020-05-07,1829.0,84.0,384.0,1361.0,51.0,0.0,24.0
2020-05-08,1872.0,86.0,401.0,1385.0,43.0,2.0,17.0
2020-05-09,1921.0,90.0,422.0,1409.0,49.0,4.0,21.0
2020-05-10,1965.0,91.0,444.0,1430.0,44.0,1.0,22.0
2020-05-11,1990.0,93.0,461.0,1436.0,25.0,2.0,17.0
2020-05-12,2023.0,95.0,476.0,1452.0,33.0,2.0,15.0
2020-05-13,2069.0,96.0,499.0,1474.0,46.0,1.0,23.0
2020-05-14,2100.0,99.0,531.0,1470.0,31.0,3.0,32.0
2020-05-15,2138.0,102.0,545.0,1491.0,38.0,3.0,14.0
2020-05-16,2175.0,105.0,573.0,1497.0,37.0,3.0,28.0
2020-05-17,2211.0,108.0,598.0,1505.0,36.0,3.0,25.0
2020-05-18,2235.0,110.0,612.0,1513.0,24.0,2.0,14.0
2020-05-19,2259.0,112.0,646.0,1501.0,24.0,2.0,34.0
2020-05-20,2292.0,116.0,684.0,1492.0,33.0,4.0,38.0
2020-05-21,2331.0,120.0,727.0,1484.0,39.0,4.0,43.0
2020-05-22,2372.0,125.0,769.0,1478.0,41.0,5.0,42.0
2020-05-23,2408.0,126.0,808.0,1474.0,36.0,1.0,39.0
2020-05-24,2427.0,130.0,840.0,1457.0,19.0,4.0,32.0
