date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-02-26,2.0,0.0,0.0,2.0,,,
2020-02-27,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-28,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-29,4.0,0.0,0.0,4.0,2.0,0.0,0.0
2020-03-01,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-03-02,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2020-03-03,5.0,0.0,0.0,5.0,1.0,0.0,0.0
2020-03-04,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-05,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-06,6.0,0.0,0.0,6.0,1.0,0.0,0.0
2020-03-07,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-03-08,6.0,0.0,1.0,5.0,0.0,0.0,1.0
2020-03-09,6.0,0.0,1.0,5.0,0.0,0.0,0.0
2020-03-10,16.0,0.0,1.0,15.0,10.0,0.0,0.0
2020-03-11,19.0,0.0,2.0,17.0,3.0,0.0,1.0
2020-03-12,20.0,0.0,2.0,18.0,1.0,0.0,0.0
2020-03-13,28.0,0.0,2.0,26.0,8.0,0.0,0.0
2020-03-14,31.0,0.0,2.0,29.0,3.0,0.0,0.0
2020-03-15,53.0,0.0,2.0,51.0,22.0,0.0,0.0
2020-03-16,136.0,0.0,2.0,134.0,83.0,0.0,0.0
2020-03-17,236.0,0.0,2.0,234.0,100.0,0.0,0.0
2020-03-18,299.0,0.0,2.0,297.0,63.0,0.0,0.0
2020-03-19,454.0,2.0,13.0,439.0,155.0,2.0,11.0
2020-03-20,501.0,3.0,13.0,485.0,47.0,1.0,0.0
2020-03-21,730.0,3.0,13.0,714.0,229.0,0.0,0.0
2020-03-22,776.0,4.0,13.0,759.0,46.0,1.0,0.0
2020-03-23,875.0,6.0,13.0,856.0,99.0,2.0,0.0
2020-03-24,972.0,7.0,18.0,947.0,97.0,1.0,5.0
2020-03-25,1063.0,8.0,21.0,1034.0,91.0,1.0,3.0
2020-03-26,1201.0,9.0,21.0,1171.0,138.0,1.0,0.0
2020-03-27,1373.0,11.0,23.0,1339.0,172.0,2.0,2.0
2020-03-28,1495.0,12.0,29.0,1454.0,122.0,1.0,6.0
2020-03-29,1597.0,14.0,29.0,1554.0,102.0,2.0,0.0
2020-03-30,1717.0,21.0,76.0,1620.0,120.0,7.0,47.0
2020-03-31,1938.0,26.0,76.0,1836.0,221.0,5.0,0.0
2020-04-01,2118.0,27.0,94.0,1997.0,180.0,1.0,18.0
2020-04-02,2421.0,34.0,125.0,2262.0,303.0,7.0,31.0
2020-04-03,2686.0,40.0,126.0,2520.0,265.0,6.0,1.0
2020-04-04,2818.0,41.0,131.0,2646.0,132.0,1.0,5.0
2020-04-05,3157.0,47.0,211.0,2899.0,339.0,6.0,80.0
2020-04-06,3766.0,53.0,259.0,3454.0,609.0,6.0,48.0
2020-04-07,4035.0,57.0,429.0,3549.0,269.0,4.0,170.0
2020-04-08,4263.0,61.0,467.0,3735.0,228.0,4.0,38.0
2020-04-09,4489.0,65.0,572.0,3852.0,226.0,4.0,105.0
2020-04-10,4695.0,66.0,727.0,3902.0,206.0,1.0,155.0
2020-04-11,5011.0,86.0,762.0,4163.0,316.0,20.0,35.0
2020-04-12,5230.0,91.0,1028.0,4111.0,219.0,5.0,266.0
2020-04-13,5496.0,93.0,1095.0,4308.0,266.0,2.0,67.0
2020-04-14,5837.0,96.0,1378.0,4363.0,341.0,3.0,283.0
2020-04-15,6383.0,111.0,1446.0,4826.0,546.0,15.0,68.0
2020-04-16,6919.0,128.0,1645.0,5146.0,536.0,17.0,199.0
2020-04-17,7025.0,135.0,1765.0,5125.0,106.0,7.0,120.0
2020-04-18,7638.0,143.0,1832.0,5663.0,613.0,8.0,67.0
2020-04-19,8348.0,168.0,1868.0,6312.0,710.0,25.0,36.0
2020-04-20,8418.0,176.0,1970.0,6272.0,70.0,8.0,102.0
2020-04-21,9565.0,201.0,2073.0,7291.0,1147.0,25.0,103.0
2020-04-22,10076.0,212.0,2156.0,7708.0,511.0,11.0,83.0
2020-04-23,11155.0,237.0,2527.0,8391.0,1079.0,25.0,371.0
2020-04-24,11940.0,253.0,2755.0,8932.0,785.0,16.0,228.0
2020-04-25,12723.0,269.0,2866.0,9588.0,783.0,16.0,111.0
2020-04-26,13328.0,281.0,2936.0,10111.0,605.0,12.0,70.0
2020-04-27,13915.0,292.0,3029.0,10594.0,587.0,11.0,93.0
2020-04-28,14612.0,312.0,3233.0,11067.0,697.0,20.0,204.0
2020-04-29,15525.0,343.0,3425.0,11757.0,913.0,31.0,192.0
2020-04-30,16817.0,385.0,4315.0,12117.0,1292.0,42.0,890.0
2020-05-01,18114.0,417.0,4715.0,12982.0,1297.0,32.0,400.0
2020-05-02,19103.0,440.0,4817.0,13846.0,989.0,23.0,102.0
2020-05-03,20084.0,457.0,5114.0,14513.0,981.0,17.0,297.0
2020-05-04,20941.0,476.0,5635.0,14830.0,857.0,19.0,521.0
2020-05-05,22049.0,514.0,5801.0,15734.0,1108.0,38.0,166.0
2020-05-06,24073.0,564.0,6464.0,17045.0,2024.0,50.0,663.0
2020-05-07,24644.0,585.0,6464.0,17595.0,571.0,21.0,0.0
2020-05-08,26435.0,599.0,7530.0,18306.0,1791.0,14.0,1066.0
2020-05-09,28736.0,636.0,7809.0,20291.0,2301.0,37.0,279.0
2020-05-10,30334.0,659.0,8063.0,21612.0,1598.0,23.0,254.0
2020-05-11,32081.0,706.0,8555.0,22820.0,1747.0,47.0,492.0
2020-05-12,34336.0,737.0,8812.0,24787.0,2255.0,31.0,257.0
2020-05-13,35298.0,761.0,8899.0,25638.0,962.0,24.0,87.0
2020-05-14,35788.0,770.0,9695.0,25323.0,490.0,9.0,796.0
2020-05-15,38799.0,834.0,10880.0,27085.0,3011.0,64.0,1185.0
2020-05-16,38799.0,834.0,10880.0,27085.0,0.0,0.0,0.0
2020-05-17,40151.0,873.0,11341.0,27937.0,1352.0,39.0,461.0
2020-05-18,42125.0,903.0,11922.0,29300.0,1974.0,30.0,581.0
