date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-02-28,1.0,0.0,0.0,1.0,,,
2020-02-29,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-02,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-03,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-04,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-05,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-08,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-09,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-11,3.0,0.0,0.0,3.0,2.0,0.0,0.0
2020-03-12,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-13,6.0,0.0,0.0,6.0,3.0,0.0,0.0
2020-03-14,8.0,0.0,0.0,8.0,2.0,0.0,0.0
2020-03-15,12.0,0.0,1.0,11.0,4.0,0.0,1.0
2020-03-16,17.0,0.0,1.0,16.0,5.0,0.0,0.0
2020-03-17,25.0,0.0,1.0,24.0,8.0,0.0,0.0
2020-03-18,27.0,0.0,1.0,26.0,2.0,0.0,0.0
2020-03-19,36.0,0.0,1.0,35.0,9.0,0.0,0.0
2020-03-20,49.0,0.0,1.0,48.0,13.0,0.0,0.0
2020-03-21,83.0,1.0,1.0,81.0,34.0,1.0,0.0
2020-03-22,129.0,1.0,1.0,127.0,46.0,0.0,0.0
2020-03-23,179.0,1.0,1.0,177.0,50.0,0.0,0.0
2020-03-24,209.0,2.0,1.0,206.0,30.0,1.0,0.0
2020-03-25,274.0,4.0,1.0,269.0,65.0,2.0,0.0
2020-03-26,299.0,4.0,1.0,294.0,25.0,0.0,0.0
2020-03-27,358.0,5.0,1.0,352.0,59.0,1.0,0.0
2020-03-28,394.0,7.0,1.0,386.0,36.0,2.0,0.0
2020-03-29,460.0,7.0,1.0,452.0,66.0,0.0,0.0
2020-03-30,491.0,7.0,7.0,477.0,31.0,0.0,6.0
2020-03-31,537.0,8.0,7.0,522.0,46.0,1.0,0.0
2020-04-01,581.0,8.0,7.0,566.0,44.0,0.0,0.0
2020-04-02,649.0,9.0,7.0,633.0,68.0,1.0,0.0
2020-04-03,696.0,9.0,7.0,680.0,47.0,0.0,0.0
2020-04-04,771.0,11.0,7.0,753.0,75.0,2.0,0.0
2020-04-05,811.0,13.0,7.0,791.0,40.0,2.0,0.0
2020-04-06,843.0,15.0,8.0,820.0,32.0,2.0,1.0
2020-04-07,880.0,15.0,8.0,857.0,37.0,0.0,0.0
2020-04-08,912.0,15.0,8.0,889.0,32.0,0.0,0.0
2020-04-09,955.0,16.0,8.0,931.0,43.0,1.0,0.0
2020-04-10,999.0,22.0,54.0,923.0,44.0,6.0,46.0
2020-04-11,1026.0,23.0,54.0,949.0,27.0,1.0,0.0
2020-04-12,1053.0,23.0,97.0,933.0,27.0,0.0,43.0
2020-04-13,1062.0,24.0,101.0,937.0,9.0,1.0,4.0
2020-04-14,1070.0,29.0,101.0,940.0,8.0,5.0,0.0
2020-04-15,1091.0,30.0,138.0,923.0,21.0,1.0,37.0
2020-04-16,1128.0,32.0,178.0,918.0,37.0,2.0,40.0
2020-04-17,1149.0,33.0,210.0,906.0,21.0,1.0,32.0
2020-04-18,1239.0,33.0,228.0,978.0,90.0,0.0,18.0
2020-04-19,1298.0,35.0,242.0,1021.0,59.0,2.0,14.0
2020-04-20,1326.0,37.0,242.0,1047.0,28.0,2.0,0.0
2020-04-21,1350.0,38.0,298.0,1014.0,24.0,1.0,56.0
2020-04-22,1370.0,38.0,357.0,975.0,20.0,0.0,59.0
2020-04-23,1398.0,40.0,399.0,959.0,28.0,2.0,42.0
2020-04-24,1410.0,40.0,430.0,940.0,12.0,0.0,31.0
2020-04-25,1426.0,41.0,460.0,925.0,16.0,1.0,30.0
2020-04-26,1438.0,41.0,467.0,930.0,12.0,0.0,7.0
2020-04-27,1449.0,41.0,474.0,934.0,11.0,0.0,7.0
2020-04-28,1344.0,44.0,536.0,764.0,-105.0,3.0,62.0
2020-04-29,1375.0,45.0,563.0,767.0,31.0,1.0,27.0
2020-04-30,1385.0,45.0,589.0,751.0,10.0,0.0,26.0
2020-05-01,1399.0,45.0,594.0,760.0,14.0,0.0,5.0
2020-05-02,1406.0,46.0,632.0,728.0,7.0,1.0,38.0
2020-05-03,1410.0,46.0,635.0,729.0,4.0,0.0,3.0
2020-05-04,1419.0,46.0,638.0,735.0,9.0,0.0,3.0
2020-05-05,1423.0,46.0,678.0,699.0,4.0,0.0,40.0
2020-05-06,1428.0,48.0,718.0,662.0,5.0,2.0,40.0
2020-05-07,1433.0,49.0,739.0,645.0,5.0,1.0,21.0
2020-05-08,1436.0,49.0,765.0,622.0,3.0,0.0,26.0
2020-05-09,1444.0,49.0,828.0,567.0,8.0,0.0,63.0
2020-05-10,1479.0,50.0,828.0,601.0,35.0,1.0,0.0
2020-05-11,1485.0,50.0,833.0,602.0,6.0,0.0,5.0
2020-05-12,1491.0,50.0,850.0,591.0,6.0,0.0,17.0
2020-05-13,1505.0,54.0,908.0,543.0,14.0,4.0,58.0
2020-05-14,1511.0,54.0,934.0,523.0,6.0,0.0,26.0
2020-05-15,1523.0,54.0,965.0,504.0,12.0,0.0,31.0
2020-05-16,1534.0,55.0,988.0,491.0,11.0,1.0,23.0
2020-05-17,1541.0,56.0,997.0,488.0,7.0,1.0,9.0
2020-05-18,1547.0,59.0,997.0,491.0,6.0,3.0,0.0
2020-05-19,1562.0,60.0,1025.0,477.0,15.0,1.0,28.0
2020-05-20,1577.0,60.0,1049.0,468.0,15.0,0.0,24.0
2020-05-21,1593.0,61.0,1049.0,483.0,16.0,1.0,0.0
