date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-09,1.0,0.0,0.0,1.0,,,
2020-03-10,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-11,11.0,0.0,0.0,11.0,10.0,0.0,0.0
2020-03-12,11.0,0.0,0.0,11.0,0.0,0.0,0.0
2020-03-13,37.0,0.0,0.0,37.0,26.0,0.0,0.0
2020-03-14,40.0,0.0,0.0,40.0,3.0,0.0,0.0
2020-03-15,50.0,0.0,0.0,50.0,10.0,0.0,0.0
2020-03-16,54.0,0.0,0.0,54.0,4.0,0.0,0.0
2020-03-17,56.0,0.0,0.0,56.0,2.0,0.0,0.0
2020-03-18,68.0,0.0,0.0,68.0,12.0,0.0,0.0
2020-03-19,75.0,0.0,0.0,75.0,7.0,0.0,0.0
2020-03-20,78.0,0.0,1.0,77.0,3.0,0.0,1.0
2020-03-21,83.0,0.0,2.0,81.0,5.0,0.0,1.0
2020-03-22,88.0,0.0,2.0,86.0,5.0,0.0,0.0
2020-03-23,91.0,0.0,2.0,89.0,3.0,0.0,0.0
2020-03-24,104.0,0.0,2.0,102.0,13.0,0.0,0.0
2020-03-25,109.0,0.0,2.0,107.0,5.0,0.0,0.0
2020-03-26,114.0,0.0,5.0,109.0,5.0,0.0,3.0
2020-03-27,115.0,0.0,11.0,104.0,1.0,0.0,6.0
2020-03-28,120.0,1.0,25.0,94.0,5.0,1.0,14.0
2020-03-29,126.0,1.0,34.0,91.0,6.0,0.0,9.0
2020-03-30,127.0,1.0,38.0,88.0,1.0,0.0,4.0
2020-03-31,129.0,1.0,45.0,83.0,2.0,0.0,7.0
2020-04-01,131.0,1.0,52.0,78.0,2.0,0.0,7.0
2020-04-02,133.0,1.0,56.0,76.0,2.0,0.0,4.0
2020-04-03,134.0,1.0,65.0,68.0,1.0,0.0,9.0
2020-04-04,135.0,1.0,66.0,68.0,1.0,0.0,1.0
2020-04-05,135.0,1.0,73.0,61.0,0.0,0.0,7.0
2020-04-06,135.0,1.0,82.0,52.0,0.0,0.0,9.0
2020-04-07,135.0,1.0,85.0,49.0,0.0,0.0,3.0
2020-04-08,135.0,1.0,91.0,43.0,0.0,0.0,6.0
2020-04-09,135.0,1.0,92.0,42.0,0.0,0.0,1.0
2020-04-10,136.0,1.0,99.0,36.0,1.0,0.0,7.0
2020-04-11,136.0,1.0,104.0,31.0,0.0,0.0,5.0
2020-04-12,136.0,1.0,106.0,29.0,0.0,0.0,2.0
2020-04-13,136.0,1.0,107.0,28.0,0.0,0.0,1.0
2020-04-14,136.0,1.0,107.0,28.0,0.0,0.0,0.0
2020-04-15,136.0,1.0,108.0,27.0,0.0,0.0,1.0
2020-04-16,136.0,1.0,108.0,27.0,0.0,0.0,0.0
2020-04-17,136.0,1.0,112.0,23.0,0.0,0.0,4.0
2020-04-18,137.0,1.0,113.0,23.0,1.0,0.0,1.0
2020-04-19,138.0,1.0,115.0,22.0,1.0,0.0,2.0
2020-04-20,138.0,1.0,116.0,21.0,0.0,0.0,1.0
2020-04-21,138.0,1.0,116.0,21.0,0.0,0.0,0.0
