date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-02-25,1.0,0.0,0.0,1.0,,,
2020-02-26,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-27,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-28,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-29,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-02,3.0,0.0,0.0,3.0,2.0,0.0,0.0
2020-03-03,5.0,0.0,0.0,5.0,2.0,0.0,0.0
2020-03-04,12.0,0.0,0.0,12.0,7.0,0.0,0.0
2020-03-05,12.0,0.0,0.0,12.0,0.0,0.0,0.0
2020-03-06,17.0,0.0,0.0,17.0,5.0,0.0,0.0
2020-03-07,17.0,0.0,0.0,17.0,0.0,0.0,0.0
2020-03-08,19.0,0.0,0.0,19.0,2.0,0.0,0.0
2020-03-09,20.0,0.0,0.0,20.0,1.0,0.0,0.0
2020-03-10,20.0,0.0,0.0,20.0,0.0,0.0,0.0
2020-03-11,20.0,0.0,0.0,20.0,0.0,0.0,0.0
2020-03-12,24.0,1.0,8.0,15.0,4.0,1.0,8.0
2020-03-13,26.0,2.0,8.0,16.0,2.0,1.0,0.0
2020-03-14,37.0,3.0,12.0,22.0,11.0,1.0,4.0
2020-03-15,48.0,4.0,12.0,32.0,11.0,1.0,0.0
2020-03-16,54.0,4.0,12.0,38.0,6.0,0.0,0.0
2020-03-17,60.0,4.0,12.0,44.0,6.0,0.0,0.0
2020-03-18,74.0,7.0,12.0,55.0,14.0,3.0,0.0
2020-03-19,87.0,9.0,32.0,46.0,13.0,2.0,20.0
2020-03-20,90.0,11.0,32.0,47.0,3.0,2.0,0.0
2020-03-21,139.0,15.0,32.0,92.0,49.0,4.0,0.0
2020-03-22,201.0,17.0,65.0,119.0,62.0,2.0,33.0
2020-03-23,230.0,17.0,65.0,148.0,29.0,0.0,0.0
2020-03-24,264.0,19.0,24.0,221.0,34.0,2.0,-41.0
2020-03-25,302.0,21.0,65.0,216.0,38.0,2.0,41.0
2020-03-26,367.0,25.0,29.0,313.0,65.0,4.0,-36.0
2020-03-27,409.0,26.0,29.0,354.0,42.0,1.0,0.0
2020-03-28,454.0,29.0,31.0,394.0,45.0,3.0,2.0
2020-03-29,511.0,31.0,31.0,449.0,57.0,2.0,0.0
2020-03-30,584.0,35.0,37.0,512.0,73.0,4.0,6.0
2020-03-31,716.0,44.0,46.0,626.0,132.0,9.0,9.0
2020-04-01,847.0,58.0,61.0,728.0,131.0,14.0,15.0
2020-04-02,986.0,86.0,61.0,839.0,139.0,28.0,0.0
2020-04-03,1171.0,105.0,62.0,1004.0,185.0,19.0,1.0
2020-04-04,1251.0,130.0,90.0,1031.0,80.0,25.0,28.0
2020-04-05,1320.0,152.0,90.0,1078.0,69.0,22.0,0.0
2020-04-06,1423.0,173.0,90.0,1160.0,103.0,21.0,0.0
2020-04-07,1468.0,193.0,113.0,1162.0,45.0,20.0,23.0
2020-04-08,1572.0,205.0,237.0,1130.0,104.0,12.0,124.0
2020-04-09,1666.0,235.0,347.0,1084.0,94.0,30.0,110.0
2020-04-10,1761.0,256.0,405.0,1100.0,95.0,21.0,58.0
2020-04-11,1825.0,275.0,460.0,1090.0,64.0,19.0,55.0
2020-04-12,1914.0,293.0,591.0,1030.0,89.0,18.0,131.0
2020-04-13,1983.0,313.0,601.0,1069.0,69.0,20.0,10.0
2020-04-14,2070.0,326.0,691.0,1053.0,87.0,13.0,90.0
2020-04-15,2160.0,336.0,708.0,1116.0,90.0,10.0,17.0
2020-04-16,2268.0,348.0,783.0,1137.0,108.0,12.0,75.0
2020-04-17,2418.0,364.0,846.0,1208.0,150.0,16.0,63.0
2020-04-18,2534.0,367.0,894.0,1273.0,116.0,3.0,48.0
2020-04-19,2629.0,375.0,1047.0,1207.0,95.0,8.0,153.0
2020-04-20,2718.0,384.0,1099.0,1235.0,89.0,9.0,52.0
2020-04-21,2811.0,392.0,1152.0,1267.0,93.0,8.0,53.0
2020-04-22,2910.0,402.0,1204.0,1304.0,99.0,10.0,52.0
2020-04-23,3007.0,407.0,1355.0,1245.0,97.0,5.0,151.0
2020-04-24,3127.0,415.0,1408.0,1304.0,120.0,8.0,53.0
2020-04-25,3256.0,419.0,1479.0,1358.0,129.0,4.0,71.0
2020-04-26,3382.0,425.0,1508.0,1449.0,126.0,6.0,29.0
2020-04-27,3517.0,432.0,1558.0,1527.0,135.0,7.0,50.0
2020-04-28,3649.0,437.0,1651.0,1561.0,132.0,5.0,93.0
2020-04-29,3848.0,444.0,1702.0,1702.0,199.0,7.0,51.0
2020-04-30,4006.0,450.0,1779.0,1777.0,158.0,6.0,77.0
2020-05-01,4154.0,453.0,1821.0,1880.0,148.0,3.0,42.0
2020-05-02,4295.0,459.0,1872.0,1964.0,141.0,6.0,51.0
2020-05-03,4474.0,463.0,1936.0,2075.0,179.0,4.0,64.0
2020-05-04,4648.0,465.0,1998.0,2185.0,174.0,2.0,62.0
