date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-14,3.0,0.0,0.0,3.0,,,
2020-03-15,6.0,0.0,0.0,6.0,3.0,0.0,0.0
2020-03-16,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-03-17,7.0,0.0,0.0,7.0,1.0,0.0,0.0
2020-03-18,7.0,0.0,0.0,7.0,0.0,0.0,0.0
2020-03-19,11.0,0.0,0.0,11.0,4.0,0.0,0.0
2020-03-20,16.0,0.0,0.0,16.0,5.0,0.0,0.0
2020-03-21,19.0,1.0,0.0,18.0,3.0,1.0,0.0
2020-03-22,23.0,1.0,0.0,22.0,4.0,0.0,0.0
2020-03-23,27.0,2.0,0.0,25.0,4.0,1.0,0.0
2020-03-24,53.0,2.0,0.0,51.0,26.0,0.0,0.0
2020-03-25,93.0,4.0,0.0,89.0,40.0,2.0,0.0
2020-03-26,132.0,4.0,1.0,127.0,39.0,0.0,1.0
2020-03-27,137.0,4.0,2.0,131.0,5.0,0.0,1.0
2020-03-28,141.0,5.0,2.0,134.0,4.0,1.0,0.0
2020-03-29,152.0,5.0,2.0,145.0,11.0,0.0,0.0
2020-03-30,152.0,5.0,2.0,145.0,0.0,0.0,0.0
2020-03-31,161.0,5.0,31.0,125.0,9.0,0.0,29.0
2020-04-01,195.0,5.0,31.0,159.0,34.0,0.0,0.0
2020-04-02,204.0,5.0,31.0,168.0,9.0,0.0,0.0
2020-04-03,205.0,5.0,31.0,169.0,1.0,0.0,0.0
2020-04-04,205.0,5.0,31.0,169.0,0.0,0.0,0.0
2020-04-05,214.0,5.0,31.0,178.0,9.0,0.0,0.0
2020-04-06,214.0,5.0,31.0,178.0,0.0,0.0,0.0
2020-04-07,287.0,5.0,31.0,251.0,73.0,0.0,0.0
2020-04-08,313.0,6.0,34.0,273.0,26.0,1.0,3.0
2020-04-09,378.0,6.0,3.0,369.0,65.0,0.0,-31.0
2020-04-10,378.0,6.0,4.0,368.0,0.0,0.0,1.0
2020-04-11,408.0,8.0,4.0,396.0,30.0,2.0,0.0
2020-04-12,566.0,8.0,4.0,554.0,158.0,0.0,0.0
2020-04-13,566.0,8.0,4.0,554.0,0.0,0.0,0.0
2020-04-14,636.0,8.0,17.0,611.0,70.0,0.0,13.0
2020-04-15,636.0,8.0,17.0,611.0,0.0,0.0,0.0
2020-04-16,641.0,8.0,83.0,550.0,5.0,0.0,66.0
2020-04-17,641.0,8.0,83.0,550.0,0.0,0.0,0.0
2020-04-18,834.0,9.0,99.0,726.0,193.0,1.0,16.0
2020-04-19,1042.0,9.0,99.0,934.0,208.0,0.0,0.0
2020-04-20,1042.0,9.0,99.0,934.0,0.0,0.0,0.0
2020-04-21,1042.0,9.0,99.0,934.0,0.0,0.0,0.0
2020-04-22,1154.0,9.0,99.0,1046.0,112.0,0.0,0.0
2020-04-23,1154.0,9.0,99.0,1046.0,0.0,0.0,0.0
2020-04-24,1279.0,10.0,134.0,1135.0,125.0,1.0,35.0
2020-04-25,1279.0,10.0,134.0,1135.0,0.0,0.0,0.0
2020-04-26,1550.0,11.0,155.0,1384.0,271.0,1.0,21.0
2020-04-27,1550.0,11.0,155.0,1384.0,0.0,0.0,0.0
2020-04-28,1671.0,16.0,188.0,1467.0,121.0,5.0,33.0
2020-04-29,1671.0,16.0,188.0,1467.0,0.0,0.0,0.0
2020-04-30,2074.0,17.0,212.0,1845.0,403.0,1.0,24.0
2020-05-01,2074.0,17.0,212.0,1845.0,0.0,0.0,0.0
2020-05-02,2169.0,18.0,229.0,1922.0,95.0,1.0,17.0
2020-05-03,2169.0,18.0,229.0,1922.0,0.0,0.0,0.0
2020-05-04,2719.0,18.0,294.0,2407.0,550.0,0.0,65.0
2020-05-05,2719.0,18.0,294.0,2407.0,0.0,0.0,0.0
2020-05-06,3091.0,18.0,294.0,2779.0,372.0,0.0,0.0
2020-05-07,3091.0,18.0,303.0,2770.0,0.0,0.0,9.0
2020-05-08,4012.0,18.0,323.0,3671.0,921.0,0.0,20.0
2020-05-09,4263.0,22.0,378.0,3863.0,251.0,4.0,55.0
2020-05-10,4263.0,22.0,378.0,3863.0,0.0,0.0,0.0
2020-05-11,4700.0,22.0,494.0,4184.0,437.0,0.0,116.0
2020-05-12,5127.0,22.0,494.0,4611.0,427.0,0.0,0.0
2020-05-13,5408.0,24.0,514.0,4870.0,281.0,2.0,20.0
2020-05-14,5530.0,24.0,674.0,4832.0,122.0,0.0,160.0
2020-05-15,5638.0,28.0,1460.0,4150.0,108.0,4.0,786.0
2020-05-16,5735.0,29.0,1754.0,3952.0,97.0,1.0,294.0
2020-05-17,5735.0,29.0,1754.0,3952.0,0.0,0.0,0.0
2020-05-18,5735.0,29.0,1754.0,3952.0,0.0,0.0,0.0
2020-05-19,6096.0,31.0,1773.0,4292.0,361.0,2.0,19.0
2020-05-20,6269.0,31.0,1898.0,4340.0,173.0,0.0,125.0
2020-05-21,6269.0,31.0,1898.0,4340.0,0.0,0.0,0.0
2020-05-22,6486.0,31.0,1951.0,4504.0,217.0,0.0,53.0
2020-05-23,6617.0,31.0,1978.0,4608.0,131.0,0.0,27.0
2020-05-24,6683.0,32.0,1998.0,4653.0,66.0,1.0,20.0
2020-05-25,6808.0,32.0,2070.0,4706.0,125.0,0.0,72.0
2020-05-26,7117.0,34.0,2317.0,4766.0,309.0,2.0,247.0
2020-05-27,7303.0,34.0,2412.0,4857.0,186.0,0.0,95.0
2020-05-28,7303.0,34.0,2412.0,4857.0,0.0,0.0,0.0
2020-05-29,7616.0,34.0,2421.0,5161.0,313.0,0.0,9.0
