date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-08,1.0,0.0,0.0,1.0,,,
2020-03-09,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-10,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-11,5.0,0.0,0.0,5.0,4.0,0.0,0.0
2020-03-12,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-13,6.0,0.0,0.0,6.0,1.0,0.0,0.0
2020-03-14,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-03-15,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-03-16,8.0,0.0,0.0,8.0,2.0,0.0,0.0
2020-03-17,9.0,0.0,0.0,9.0,1.0,0.0,0.0
2020-03-18,11.0,0.0,0.0,11.0,2.0,0.0,0.0
2020-03-19,11.0,0.0,0.0,11.0,0.0,0.0,0.0
2020-03-20,13.0,0.0,0.0,13.0,2.0,0.0,0.0
2020-03-21,18.0,1.0,0.0,17.0,5.0,1.0,0.0
2020-03-22,22.0,1.0,0.0,21.0,4.0,0.0,0.0
2020-03-23,22.0,1.0,0.0,21.0,0.0,0.0,0.0
2020-03-24,27.0,2.0,0.0,25.0,5.0,1.0,0.0
2020-03-25,37.0,3.0,0.0,34.0,10.0,1.0,0.0
2020-03-26,41.0,3.0,0.0,38.0,4.0,0.0,0.0
2020-03-27,52.0,3.0,1.0,48.0,11.0,0.0,1.0
2020-03-28,56.0,3.0,1.0,52.0,4.0,0.0,0.0
2020-03-29,59.0,3.0,1.0,55.0,3.0,0.0,0.0
2020-03-30,64.0,3.0,1.0,60.0,5.0,0.0,0.0
2020-03-31,65.0,3.0,1.0,61.0,1.0,0.0,0.0
2020-04-01,69.0,3.0,1.0,65.0,4.0,0.0,0.0
2020-04-02,77.0,3.0,2.0,72.0,8.0,0.0,1.0
2020-04-03,92.0,3.0,6.0,83.0,15.0,0.0,4.0
2020-04-04,96.0,3.0,12.0,81.0,4.0,0.0,6.0
2020-04-05,104.0,3.0,12.0,89.0,8.0,0.0,0.0
2020-04-06,113.0,5.0,12.0,96.0,9.0,2.0,0.0
2020-04-07,115.0,5.0,15.0,95.0,2.0,0.0,3.0
2020-04-08,119.0,5.0,15.0,99.0,4.0,0.0,0.0
2020-04-09,124.0,5.0,18.0,101.0,5.0,0.0,3.0
2020-04-10,129.0,6.0,18.0,105.0,5.0,1.0,0.0
2020-04-11,133.0,6.0,18.0,109.0,4.0,0.0,0.0
2020-04-12,134.0,6.0,22.0,106.0,1.0,0.0,4.0
2020-04-13,147.0,6.0,22.0,119.0,13.0,0.0,0.0
2020-04-14,159.0,7.0,22.0,130.0,12.0,1.0,0.0
2020-04-15,161.0,8.0,23.0,130.0,2.0,1.0,1.0
2020-04-16,174.0,8.0,30.0,136.0,13.0,0.0,7.0
2020-04-17,199.0,8.0,30.0,161.0,25.0,0.0,0.0
2020-04-18,202.0,8.0,35.0,159.0,3.0,0.0,5.0
2020-04-19,206.0,8.0,41.0,157.0,4.0,0.0,6.0
2020-04-20,208.0,8.0,46.0,154.0,2.0,0.0,5.0
2020-04-21,208.0,8.0,53.0,147.0,0.0,0.0,7.0
2020-04-22,213.0,9.0,62.0,142.0,5.0,1.0,9.0
2020-04-23,213.0,9.0,67.0,137.0,0.0,0.0,5.0
2020-04-24,223.0,9.0,78.0,136.0,10.0,0.0,11.0
2020-04-25,228.0,9.0,85.0,134.0,5.0,0.0,7.0
2020-04-26,228.0,9.0,85.0,134.0,0.0,0.0,0.0
2020-04-27,228.0,9.0,93.0,126.0,0.0,0.0,8.0
2020-04-28,239.0,9.0,102.0,128.0,11.0,0.0,9.0
2020-04-29,239.0,9.0,102.0,128.0,0.0,0.0,0.0
2020-04-30,266.0,10.0,113.0,143.0,27.0,1.0,11.0
2020-05-01,333.0,10.0,115.0,208.0,67.0,0.0,2.0
2020-05-02,370.0,10.0,119.0,241.0,37.0,0.0,4.0
2020-05-03,396.0,10.0,126.0,260.0,26.0,0.0,7.0
2020-05-04,415.0,10.0,130.0,275.0,19.0,0.0,4.0
2020-05-05,431.0,10.0,135.0,286.0,16.0,0.0,5.0
2020-05-06,440.0,10.0,142.0,288.0,9.0,0.0,7.0
2020-05-07,462.0,10.0,148.0,304.0,22.0,0.0,6.0
2020-05-08,563.0,10.0,152.0,401.0,101.0,0.0,4.0
2020-05-09,689.0,10.0,155.0,524.0,126.0,0.0,3.0
2020-05-10,713.0,10.0,165.0,538.0,24.0,0.0,10.0
2020-05-11,724.0,10.0,170.0,544.0,11.0,0.0,5.0
2020-05-12,737.0,10.0,173.0,554.0,13.0,0.0,3.0
2020-05-13,740.0,11.0,182.0,547.0,3.0,1.0,9.0
2020-05-14,754.0,11.0,184.0,559.0,14.0,0.0,2.0
2020-05-15,759.0,11.0,193.0,555.0,5.0,0.0,9.0
2020-05-16,778.0,11.0,198.0,569.0,19.0,0.0,5.0
2020-05-17,786.0,11.0,202.0,573.0,8.0,0.0,4.0
2020-05-18,788.0,11.0,219.0,558.0,2.0,0.0,17.0
2020-05-19,829.0,11.0,230.0,588.0,41.0,0.0,11.0
2020-05-20,833.0,11.0,242.0,580.0,4.0,0.0,12.0
