date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-08,1.0,0.0,0.0,1.0,,,
2020-03-09,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-10,5.0,0.0,0.0,5.0,4.0,0.0,0.0
2020-03-11,5.0,0.0,0.0,5.0,0.0,0.0,0.0
2020-03-12,6.0,0.0,0.0,6.0,1.0,0.0,0.0
2020-03-13,7.0,0.0,0.0,7.0,1.0,0.0,0.0
2020-03-14,7.0,0.0,0.0,7.0,0.0,0.0,0.0
2020-03-15,8.0,0.0,0.0,8.0,1.0,0.0,0.0
2020-03-16,9.0,0.0,0.0,9.0,1.0,0.0,0.0
2020-03-17,11.0,0.0,0.0,11.0,2.0,0.0,0.0
2020-03-18,11.0,0.0,0.0,11.0,0.0,0.0,0.0
2020-03-19,13.0,0.0,0.0,13.0,2.0,0.0,0.0
2020-03-20,18.0,1.0,0.0,17.0,5.0,1.0,0.0
2020-03-21,22.0,1.0,0.0,21.0,4.0,0.0,0.0
2020-03-22,22.0,1.0,0.0,21.0,0.0,0.0,0.0
2020-03-23,27.0,2.0,0.0,25.0,5.0,1.0,0.0
2020-03-24,37.0,3.0,0.0,34.0,10.0,1.0,0.0
2020-03-25,41.0,3.0,0.0,38.0,4.0,0.0,0.0
2020-03-26,52.0,3.0,0.0,49.0,11.0,0.0,0.0
2020-03-27,56.0,3.0,1.0,52.0,4.0,0.0,1.0
2020-03-28,59.0,3.0,1.0,55.0,3.0,0.0,0.0
2020-03-29,64.0,3.0,1.0,60.0,5.0,0.0,0.0
2020-03-30,65.0,3.0,1.0,61.0,1.0,0.0,0.0
2020-03-31,69.0,3.0,1.0,65.0,4.0,0.0,0.0
2020-04-01,77.0,3.0,1.0,73.0,8.0,0.0,0.0
2020-04-02,92.0,3.0,2.0,87.0,15.0,0.0,1.0
2020-04-03,96.0,3.0,6.0,87.0,4.0,0.0,4.0
2020-04-04,104.0,3.0,12.0,89.0,8.0,0.0,6.0
2020-04-05,113.0,5.0,12.0,96.0,9.0,2.0,0.0
2020-04-06,115.0,5.0,12.0,98.0,2.0,0.0,0.0
2020-04-07,119.0,5.0,15.0,99.0,4.0,0.0,3.0
2020-04-08,124.0,5.0,15.0,104.0,5.0,0.0,0.0
2020-04-09,129.0,6.0,18.0,105.0,5.0,1.0,3.0
2020-04-10,133.0,6.0,18.0,109.0,4.0,0.0,0.0
2020-04-11,134.0,6.0,18.0,110.0,1.0,0.0,0.0
2020-04-12,147.0,6.0,22.0,119.0,13.0,0.0,4.0
2020-04-13,159.0,7.0,22.0,130.0,12.0,1.0,0.0
2020-04-14,161.0,8.0,22.0,131.0,2.0,1.0,0.0
2020-04-15,174.0,8.0,23.0,143.0,13.0,0.0,1.0
2020-04-16,199.0,8.0,30.0,161.0,25.0,0.0,7.0
2020-04-17,202.0,8.0,30.0,164.0,3.0,0.0,0.0
2020-04-18,206.0,8.0,35.0,163.0,4.0,0.0,5.0
2020-04-19,208.0,8.0,41.0,159.0,2.0,0.0,6.0
2020-04-20,208.0,8.0,46.0,154.0,0.0,0.0,5.0
2020-04-21,213.0,9.0,53.0,151.0,5.0,1.0,7.0
2020-04-22,213.0,9.0,62.0,142.0,0.0,0.0,9.0
2020-04-23,220.0,9.0,67.0,144.0,7.0,0.0,5.0
2020-04-24,223.0,9.0,78.0,136.0,3.0,0.0,11.0
2020-04-25,228.0,9.0,85.0,134.0,5.0,0.0,7.0
2020-04-26,228.0,9.0,85.0,134.0,0.0,0.0,0.0
2020-04-27,230.0,9.0,93.0,128.0,2.0,0.0,8.0
2020-04-28,239.0,9.0,102.0,128.0,9.0,0.0,9.0
2020-04-29,249.0,9.0,102.0,138.0,10.0,0.0,0.0
2020-04-30,266.0,10.0,113.0,143.0,17.0,1.0,11.0
2020-05-01,333.0,10.0,115.0,208.0,67.0,0.0,2.0
2020-05-02,370.0,10.0,119.0,241.0,37.0,0.0,4.0
2020-05-03,396.0,10.0,126.0,260.0,26.0,0.0,7.0
2020-05-04,415.0,10.0,130.0,275.0,19.0,0.0,4.0
2020-05-05,431.0,10.0,135.0,286.0,16.0,0.0,5.0
2020-05-06,440.0,10.0,142.0,288.0,9.0,0.0,7.0
2020-05-07,462.0,10.0,148.0,304.0,22.0,0.0,6.0
2020-05-08,563.0,10.0,152.0,401.0,101.0,0.0,4.0
2020-05-09,689.0,10.0,155.0,524.0,126.0,0.0,3.0
2020-05-10,713.0,10.0,165.0,538.0,24.0,0.0,10.0
2020-05-11,724.0,10.0,170.0,544.0,11.0,0.0,5.0
2020-05-12,737.0,10.0,173.0,554.0,13.0,0.0,3.0
2020-05-13,740.0,11.0,182.0,547.0,3.0,1.0,9.0
2020-05-14,754.0,11.0,184.0,559.0,14.0,0.0,2.0
2020-05-15,759.0,11.0,193.0,555.0,5.0,0.0,9.0
2020-05-16,778.0,11.0,198.0,569.0,19.0,0.0,5.0
2020-05-17,786.0,11.0,202.0,573.0,8.0,0.0,4.0
2020-05-18,788.0,11.0,219.0,558.0,2.0,0.0,17.0
2020-05-19,829.0,11.0,230.0,588.0,41.0,0.0,11.0
2020-05-20,833.0,11.0,242.0,580.0,4.0,0.0,12.0
2020-05-21,836.0,11.0,256.0,569.0,3.0,0.0,14.0
2020-05-22,838.0,11.0,264.0,563.0,2.0,0.0,8.0
2020-05-23,850.0,11.0,298.0,541.0,12.0,0.0,34.0
2020-05-24,862.0,11.0,307.0,544.0,12.0,0.0,9.0
2020-05-25,865.0,11.0,344.0,510.0,3.0,0.0,37.0
2020-05-26,877.0,11.0,382.0,484.0,12.0,0.0,38.0
2020-05-27,884.0,11.0,392.0,481.0,7.0,0.0,10.0
2020-05-28,900.0,11.0,402.0,487.0,16.0,0.0,10.0
