date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-18,2.0,0.0,0.0,2.0,,,
2020-03-19,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-20,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-21,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-22,3.0,0.0,0.0,3.0,1.0,0.0,0.0
2020-03-23,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-24,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-25,12.0,0.0,0.0,12.0,9.0,0.0,0.0
2020-03-26,16.0,0.0,0.0,16.0,4.0,0.0,0.0
2020-03-27,22.0,0.0,0.0,22.0,6.0,0.0,0.0
2020-03-28,28.0,0.0,0.0,28.0,6.0,0.0,0.0
2020-03-29,29.0,0.0,0.0,29.0,1.0,0.0,0.0
2020-03-30,35.0,0.0,0.0,35.0,6.0,0.0,0.0
2020-03-31,35.0,0.0,0.0,35.0,0.0,0.0,0.0
2020-04-01,36.0,0.0,0.0,36.0,1.0,0.0,0.0
2020-04-02,39.0,1.0,0.0,38.0,3.0,1.0,0.0
2020-04-03,39.0,1.0,2.0,36.0,0.0,0.0,2.0
2020-04-04,39.0,1.0,2.0,36.0,0.0,0.0,0.0
2020-04-05,39.0,1.0,3.0,35.0,0.0,0.0,1.0
2020-04-06,39.0,1.0,5.0,33.0,0.0,0.0,2.0
2020-04-07,39.0,1.0,7.0,31.0,0.0,0.0,2.0
2020-04-08,39.0,1.0,7.0,31.0,0.0,0.0,0.0
2020-04-09,39.0,1.0,24.0,14.0,0.0,0.0,17.0
2020-04-10,40.0,2.0,25.0,13.0,1.0,1.0,1.0
2020-04-11,40.0,2.0,28.0,10.0,0.0,0.0,3.0
2020-04-12,43.0,2.0,30.0,11.0,3.0,0.0,2.0
2020-04-13,45.0,2.0,30.0,13.0,2.0,0.0,0.0
2020-04-14,45.0,2.0,30.0,13.0,0.0,0.0,0.0
2020-04-15,48.0,2.0,30.0,16.0,3.0,0.0,0.0
2020-04-16,48.0,2.0,30.0,16.0,0.0,0.0,0.0
2020-04-17,52.0,2.0,30.0,20.0,4.0,0.0,0.0
2020-04-18,57.0,2.0,33.0,22.0,5.0,0.0,3.0
2020-04-19,61.0,3.0,33.0,25.0,4.0,1.0,0.0
2020-04-20,65.0,3.0,35.0,27.0,4.0,0.0,2.0
2020-04-21,70.0,3.0,35.0,32.0,5.0,0.0,0.0
2020-04-22,74.0,3.0,35.0,36.0,4.0,0.0,0.0
2020-04-23,76.0,3.0,37.0,36.0,2.0,0.0,2.0
2020-04-24,84.0,3.0,37.0,44.0,8.0,0.0,0.0
2020-04-25,84.0,3.0,37.0,44.0,0.0,0.0,0.0
2020-04-26,88.0,3.0,42.0,43.0,4.0,0.0,5.0
2020-04-27,88.0,3.0,42.0,43.0,0.0,0.0,0.0
2020-04-28,95.0,3.0,42.0,50.0,7.0,0.0,0.0
2020-04-29,97.0,3.0,54.0,40.0,2.0,0.0,12.0
2020-04-30,106.0,3.0,55.0,48.0,9.0,0.0,1.0
2020-05-01,109.0,3.0,74.0,32.0,3.0,0.0,19.0
2020-05-02,119.0,3.0,75.0,41.0,10.0,0.0,1.0
2020-05-03,124.0,3.0,78.0,43.0,5.0,0.0,3.0
2020-05-04,137.0,3.0,78.0,56.0,13.0,0.0,0.0
2020-05-05,138.0,3.0,92.0,43.0,1.0,0.0,14.0
2020-05-06,146.0,4.0,101.0,41.0,8.0,1.0,9.0
2020-05-07,153.0,4.0,103.0,46.0,7.0,0.0,2.0
2020-05-08,167.0,4.0,111.0,52.0,14.0,0.0,8.0
2020-05-09,252.0,7.0,112.0,133.0,85.0,3.0,1.0
2020-05-10,267.0,7.0,117.0,143.0,15.0,0.0,5.0
2020-05-11,267.0,7.0,117.0,143.0,0.0,0.0,0.0
2020-05-12,441.0,7.0,117.0,317.0,174.0,0.0,0.0
2020-05-13,446.0,7.0,124.0,315.0,5.0,0.0,7.0
2020-05-14,654.0,7.0,124.0,523.0,208.0,0.0,0.0
2020-05-15,654.0,7.0,124.0,523.0,0.0,0.0,0.0
2020-05-16,679.0,7.0,183.0,489.0,25.0,0.0,59.0
2020-05-17,753.0,7.0,188.0,558.0,74.0,0.0,5.0
2020-05-18,761.0,7.0,192.0,562.0,8.0,0.0,4.0
2020-05-19,772.0,7.0,192.0,573.0,11.0,0.0,0.0
2020-05-20,832.0,7.0,197.0,628.0,60.0,0.0,5.0
2020-05-21,866.0,7.0,302.0,557.0,34.0,0.0,105.0
2020-05-22,920.0,7.0,336.0,577.0,54.0,0.0,34.0
2020-05-23,920.0,7.0,336.0,577.0,0.0,0.0,0.0
2020-05-24,920.0,7.0,336.0,577.0,0.0,0.0,0.0
2020-05-25,920.0,7.0,336.0,577.0,0.0,0.0,0.0
2020-05-26,920.0,7.0,336.0,577.0,0.0,0.0,0.0
2020-05-27,1057.0,7.0,779.0,271.0,137.0,0.0,443.0
2020-05-28,1057.0,7.0,779.0,271.0,0.0,0.0,0.0
2020-05-29,1057.0,7.0,779.0,271.0,0.0,0.0,0.0
2020-05-30,1057.0,7.0,779.0,271.0,0.0,0.0,0.0
2020-05-31,1057.0,7.0,779.0,271.0,0.0,0.0,0.0
2020-06-01,1089.0,7.0,912.0,170.0,32.0,0.0,133.0
2020-06-02,1089.0,7.0,912.0,170.0,0.0,0.0,0.0
2020-06-03,1089.0,7.0,912.0,170.0,0.0,0.0,0.0
2020-06-04,1089.0,7.0,912.0,170.0,0.0,0.0,0.0
2020-06-05,1089.0,7.0,912.0,170.0,0.0,0.0,0.0
2020-06-06,1089.0,7.0,912.0,170.0,0.0,0.0,0.0
2020-06-07,1089.0,7.0,912.0,170.0,0.0,0.0,0.0
2020-06-08,1200.0,10.0,912.0,278.0,111.0,3.0,0.0
2020-06-09,1200.0,10.0,912.0,278.0,0.0,0.0,0.0
2020-06-10,1200.0,10.0,912.0,278.0,0.0,0.0,0.0
2020-06-11,1200.0,10.0,912.0,278.0,0.0,0.0,0.0
2020-06-12,1321.0,10.0,1104.0,207.0,121.0,0.0,192.0
2020-06-13,1357.0,10.0,1104.0,243.0,36.0,0.0,0.0
2020-06-14,1358.0,11.0,1122.0,225.0,1.0,1.0,18.0
2020-06-15,1382.0,11.0,1142.0,229.0,24.0,0.0,20.0
2020-06-16,1405.0,11.0,1142.0,252.0,23.0,0.0,0.0
2020-06-17,1412.0,11.0,1142.0,259.0,7.0,0.0,0.0
2020-06-18,1416.0,11.0,1144.0,261.0,4.0,0.0,2.0
2020-06-19,1430.0,11.0,1194.0,225.0,14.0,0.0,50.0
2020-06-20,1430.0,11.0,1194.0,225.0,0.0,0.0,0.0
2020-06-21,1430.0,11.0,1194.0,225.0,0.0,0.0,0.0
2020-06-22,1430.0,11.0,1194.0,225.0,0.0,0.0,0.0
2020-06-23,1477.0,18.0,1213.0,246.0,47.0,7.0,19.0
