date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-06,1.0,0.0,0.0,1.0,,,
2020-03-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-08,3.0,0.0,0.0,3.0,2.0,0.0,0.0
2020-03-09,3.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-10,7.0,0.0,0.0,7.0,4.0,0.0,0.0
2020-03-11,10.0,0.0,0.0,10.0,3.0,0.0,0.0
2020-03-12,16.0,0.0,0.0,16.0,6.0,0.0,0.0
2020-03-13,32.0,0.0,0.0,32.0,16.0,0.0,0.0
2020-03-14,44.0,0.0,0.0,44.0,12.0,0.0,0.0
2020-03-15,54.0,0.0,0.0,54.0,10.0,0.0,0.0
2020-03-16,63.0,0.0,0.0,63.0,9.0,0.0,0.0
2020-03-17,72.0,0.0,0.0,72.0,9.0,0.0,0.0
2020-03-18,105.0,1.0,0.0,104.0,33.0,1.0,0.0
2020-03-19,123.0,1.0,0.0,122.0,18.0,0.0,0.0
2020-03-20,137.0,1.0,0.0,136.0,14.0,0.0,0.0
2020-03-21,178.0,1.0,0.0,177.0,41.0,0.0,0.0
2020-03-22,185.0,0.0,7.0,178.0,7.0,-1.0,7.0
2020-03-23,186.0,0.0,7.0,179.0,1.0,0.0,0.0
2020-03-24,204.0,0.0,7.0,197.0,18.0,0.0,0.0
2020-03-25,216.0,0.0,7.0,209.0,12.0,0.0,0.0
2020-03-26,226.0,0.0,2.0,224.0,10.0,0.0,-5.0
2020-03-27,269.0,0.0,2.0,267.0,43.0,0.0,0.0
2020-03-28,292.0,0.0,2.0,290.0,23.0,0.0,0.0
2020-03-29,314.0,0.0,2.0,312.0,22.0,0.0,0.0
2020-03-30,336.0,0.0,7.0,329.0,22.0,0.0,5.0
2020-03-31,363.0,0.0,3.0,360.0,27.0,0.0,-4.0
2020-04-01,400.0,1.0,3.0,396.0,37.0,1.0,0.0
2020-04-02,426.0,1.0,5.0,420.0,26.0,0.0,2.0
2020-04-03,450.0,1.0,10.0,439.0,24.0,0.0,5.0
2020-04-04,471.0,1.0,10.0,460.0,21.0,0.0,0.0
2020-04-05,485.0,1.0,10.0,474.0,14.0,0.0,0.0
2020-04-06,534.0,2.0,8.0,524.0,49.0,1.0,-2.0
2020-04-07,581.0,2.0,13.0,566.0,47.0,0.0,5.0
2020-04-08,682.0,2.0,16.0,664.0,101.0,0.0,3.0
2020-04-09,701.0,2.0,23.0,676.0,19.0,0.0,7.0
2020-04-10,715.0,2.0,23.0,690.0,14.0,0.0,0.0
2020-04-11,728.0,2.0,23.0,703.0,13.0,0.0,0.0
2020-04-12,742.0,2.0,23.0,717.0,14.0,0.0,0.0
2020-04-13,769.0,2.0,107.0,660.0,27.0,0.0,84.0
2020-04-14,835.0,2.0,113.0,720.0,66.0,0.0,6.0
2020-04-15,863.0,6.0,151.0,706.0,28.0,4.0,38.0
2020-04-16,977.0,8.0,167.0,802.0,114.0,2.0,16.0
2020-04-17,1049.0,9.0,175.0,865.0,72.0,1.0,8.0
2020-04-18,1089.0,11.0,213.0,865.0,40.0,2.0,38.0
2020-04-19,1161.0,12.0,229.0,920.0,72.0,1.0,16.0
2020-04-20,1173.0,13.0,251.0,909.0,12.0,1.0,22.0
2020-04-21,1199.0,14.0,258.0,927.0,26.0,1.0,7.0
2020-04-22,1244.0,14.0,284.0,946.0,45.0,0.0,26.0
2020-04-23,1325.0,15.0,288.0,1022.0,81.0,1.0,4.0
2020-04-24,1360.0,17.0,355.0,988.0,35.0,2.0,67.0
2020-04-25,1373.0,17.0,386.0,970.0,13.0,0.0,31.0
2020-04-26,1379.0,18.0,394.0,967.0,6.0,1.0,8.0
2020-04-27,1381.0,18.0,403.0,960.0,2.0,0.0,9.0
2020-04-28,1384.0,20.0,423.0,941.0,3.0,2.0,20.0
2020-04-29,1391.0,22.0,484.0,885.0,7.0,2.0,61.0
2020-04-30,1396.0,23.0,524.0,849.0,5.0,1.0,40.0
2020-05-01,1403.0,23.0,558.0,822.0,7.0,0.0,34.0
2020-05-02,1407.0,24.0,608.0,775.0,4.0,1.0,50.0
2020-05-03,1408.0,24.0,619.0,765.0,1.0,0.0,11.0
2020-05-04,1413.0,25.0,643.0,745.0,5.0,1.0,24.0
2020-05-05,1421.0,25.0,741.0,655.0,8.0,0.0,98.0
2020-05-06,1429.0,25.0,762.0,642.0,8.0,0.0,21.0
2020-05-07,1445.0,26.0,806.0,613.0,16.0,1.0,44.0
2020-05-08,1455.0,26.0,905.0,524.0,10.0,0.0,99.0
2020-05-09,1455.0,26.0,919.0,510.0,0.0,0.0,14.0
2020-05-10,1457.0,26.0,941.0,490.0,2.0,0.0,22.0
2020-05-11,1457.0,26.0,959.0,472.0,0.0,0.0,18.0
2020-05-12,1465.0,27.0,983.0,455.0,8.0,1.0,24.0
2020-05-13,1469.0,27.0,1060.0,382.0,4.0,0.0,77.0
2020-05-14,1477.0,27.0,1112.0,338.0,8.0,0.0,52.0
2020-05-15,1480.0,27.0,1131.0,322.0,3.0,0.0,19.0
2020-05-16,1493.0,28.0,1151.0,314.0,13.0,1.0,20.0
2020-05-17,1494.0,28.0,1163.0,303.0,1.0,0.0,12.0
2020-05-18,1495.0,28.0,1185.0,282.0,1.0,0.0,22.0
2020-05-19,1495.0,28.0,1192.0,275.0,0.0,0.0,7.0
2020-05-20,1496.0,28.0,1231.0,237.0,1.0,0.0,39.0
2020-05-21,1502.0,28.0,1245.0,229.0,6.0,0.0,14.0
2020-05-22,1503.0,28.0,1256.0,219.0,1.0,0.0,11.0
2020-05-23,1504.0,28.0,1280.0,196.0,1.0,0.0,24.0
2020-05-24,1509.0,28.0,1301.0,180.0,5.0,0.0,21.0
2020-05-25,1511.0,28.0,1307.0,176.0,2.0,0.0,6.0
2020-05-26,1513.0,28.0,1322.0,163.0,2.0,0.0,15.0
2020-05-27,1515.0,28.0,1327.0,160.0,2.0,0.0,5.0
2020-05-28,1520.0,28.0,1332.0,160.0,5.0,0.0,5.0
2020-05-29,1520.0,28.0,1338.0,154.0,0.0,0.0,6.0
2020-05-30,1521.0,28.0,1356.0,137.0,1.0,0.0,18.0
2020-05-31,1521.0,28.0,1366.0,127.0,0.0,0.0,10.0
2020-06-01,1522.0,28.0,1368.0,126.0,1.0,0.0,2.0
