date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-01-31,2.0,0.0,0.0,0.0,,,
2020-02-01,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-02,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-03,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-04,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-05,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-06,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-07,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-08,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-09,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-10,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-11,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-12,2.0,0.0,2.0,0.0,0.0,0.0,2.0
2020-02-13,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-14,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-15,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-16,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-17,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-18,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-19,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-20,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-21,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-22,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-23,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-24,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-25,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-26,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-27,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-28,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-02-29,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-03-01,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-03-02,3.0,0.0,2.0,1.0,1.0,0.0,0.0
2020-03-03,3.0,0.0,2.0,1.0,0.0,0.0,0.0
2020-03-04,3.0,0.0,2.0,1.0,0.0,0.0,0.0
2020-03-05,4.0,0.0,2.0,2.0,1.0,0.0,0.0
2020-03-06,13.0,0.0,2.0,11.0,9.0,0.0,0.0
2020-03-07,13.0,0.0,2.0,11.0,0.0,0.0,0.0
2020-03-08,17.0,0.0,3.0,14.0,4.0,0.0,1.0
2020-03-09,17.0,0.0,3.0,14.0,0.0,0.0,0.0
2020-03-10,10.0,0.0,3.0,7.0,-7.0,0.0,0.0
2020-03-11,20.0,0.0,3.0,17.0,10.0,0.0,0.0
2020-03-12,28.0,0.0,3.0,25.0,8.0,0.0,0.0
2020-03-13,45.0,0.0,3.0,42.0,17.0,0.0,0.0
2020-03-14,59.0,0.0,8.0,51.0,14.0,0.0,5.0
2020-03-15,63.0,0.0,8.0,55.0,4.0,0.0,0.0
2020-03-16,90.0,0.0,8.0,82.0,27.0,0.0,0.0
2020-03-17,114.0,0.0,8.0,106.0,24.0,0.0,0.0
2020-03-18,147.0,0.0,8.0,139.0,33.0,0.0,0.0
2020-03-19,199.0,1.0,9.0,189.0,52.0,1.0,1.0
2020-03-20,253.0,1.0,9.0,243.0,54.0,0.0,0.0
2020-03-21,306.0,1.0,12.0,293.0,53.0,0.0,3.0
2020-03-22,367.0,1.0,16.0,350.0,61.0,0.0,4.0
2020-03-23,438.0,1.0,17.0,420.0,71.0,0.0,1.0
2020-03-24,495.0,1.0,22.0,472.0,57.0,0.0,5.0
2020-03-25,658.0,3.0,29.0,626.0,163.0,2.0,7.0
2020-03-26,840.0,3.0,38.0,799.0,182.0,0.0,9.0
2020-03-27,1036.0,4.0,45.0,987.0,196.0,1.0,7.0
2020-03-28,1264.0,4.0,49.0,1211.0,228.0,0.0,4.0
2020-03-29,1534.0,8.0,64.0,1462.0,270.0,4.0,15.0
2020-03-30,1836.0,9.0,66.0,1761.0,302.0,1.0,2.0
2020-03-31,2337.0,17.0,121.0,2199.0,501.0,8.0,55.0
2020-04-01,2777.0,24.0,190.0,2563.0,440.0,7.0,69.0
2020-04-02,3548.0,30.0,235.0,3283.0,771.0,6.0,45.0
2020-04-03,4149.0,34.0,281.0,3834.0,601.0,4.0,46.0
2020-04-04,4731.0,43.0,333.0,4355.0,582.0,9.0,52.0
2020-04-05,5389.0,45.0,355.0,4989.0,658.0,2.0,22.0
2020-04-06,6343.0,47.0,406.0,5890.0,954.0,2.0,51.0
2020-04-07,7497.0,58.0,494.0,6945.0,1154.0,11.0,88.0
2020-04-08,8672.0,63.0,580.0,8029.0,1175.0,5.0,86.0
2020-04-09,10131.0,76.0,698.0,9357.0,1459.0,13.0,118.0
2020-04-10,11917.0,94.0,795.0,11028.0,1786.0,18.0,97.0
2020-04-11,13584.0,106.0,1045.0,12433.0,1667.0,12.0,250.0
2020-04-12,15770.0,130.0,1291.0,14349.0,2186.0,24.0,246.0
2020-04-13,18328.0,148.0,1470.0,16710.0,2558.0,18.0,179.0
2020-04-14,21102.0,170.0,1694.0,19238.0,2774.0,22.0,224.0
2020-04-15,24490.0,198.0,1986.0,22306.0,3388.0,28.0,292.0
2020-04-16,27938.0,232.0,2304.0,25402.0,3448.0,34.0,318.0
2020-04-17,32008.0,273.0,2590.0,29145.0,4070.0,41.0,286.0
2020-04-18,36793.0,313.0,3057.0,33423.0,4785.0,40.0,467.0
2020-04-19,42853.0,361.0,3291.0,39201.0,6060.0,48.0,234.0
2020-04-20,47121.0,405.0,3446.0,43270.0,4268.0,44.0,155.0
2020-04-21,52763.0,456.0,3873.0,48434.0,5642.0,51.0,427.0
2020-04-22,57999.0,513.0,4420.0,53066.0,5236.0,57.0,547.0
2020-04-23,62773.0,555.0,4891.0,57327.0,4774.0,42.0,471.0
2020-04-24,68622.0,615.0,5568.0,62439.0,5849.0,60.0,677.0
2020-04-25,74588.0,681.0,6250.0,67657.0,5966.0,66.0,682.0
2020-04-26,80949.0,747.0,6767.0,73435.0,6361.0,66.0,517.0
2020-04-27,87147.0,794.0,7346.0,79007.0,6198.0,47.0,579.0
2020-04-28,93558.0,867.0,8456.0,84235.0,6411.0,73.0,1110.0
2020-04-29,99399.0,972.0,10286.0,88141.0,5841.0,105.0,1830.0
2020-04-30,106498.0,1073.0,11619.0,93806.0,7099.0,101.0,1333.0
2020-05-01,114431.0,1169.0,13220.0,100042.0,7933.0,96.0,1601.0
2020-05-02,124054.0,1222.0,15013.0,107819.0,9623.0,53.0,1793.0
2020-05-03,134687.0,1280.0,16639.0,116768.0,10633.0,58.0,1626.0
2020-05-04,145268.0,1356.0,18095.0,125817.0,10581.0,76.0,1456.0
2020-05-05,155370.0,1451.0,19865.0,134054.0,10102.0,95.0,1770.0
2020-05-06,165929.0,1537.0,21327.0,143065.0,10559.0,86.0,1462.0
2020-05-07,177160.0,1625.0,23803.0,151732.0,11231.0,88.0,2476.0
2020-05-08,187859.0,1723.0,26608.0,159528.0,10699.0,98.0,2805.0
2020-05-09,198676.0,1827.0,31916.0,164933.0,10817.0,104.0,5308.0
2020-05-10,209688.0,1915.0,34306.0,173467.0,11012.0,88.0,2390.0
2020-05-11,221344.0,2009.0,39801.0,179534.0,11656.0,94.0,5495.0
2020-05-12,232243.0,2116.0,43512.0,186615.0,10899.0,107.0,3711.0
