date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-03-06,1.0,0.0,0.0,1.0,,,
2020-03-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-08,5.0,0.0,0.0,5.0,4.0,0.0,0.0
2020-03-09,9.0,0.0,0.0,9.0,4.0,0.0,0.0
2020-03-10,9.0,0.0,0.0,9.0,0.0,0.0,0.0
2020-03-11,13.0,0.0,0.0,13.0,4.0,0.0,0.0
2020-03-12,22.0,0.0,0.0,22.0,9.0,0.0,0.0
2020-03-13,23.0,0.0,0.0,23.0,1.0,0.0,0.0
2020-03-14,26.0,0.0,0.0,26.0,3.0,0.0,0.0
2020-03-15,27.0,0.0,0.0,27.0,1.0,0.0,0.0
2020-03-16,35.0,0.0,0.0,35.0,8.0,0.0,0.0
2020-03-17,41.0,0.0,0.0,41.0,6.0,0.0,0.0
2020-03-18,50.0,0.0,0.0,50.0,9.0,0.0,0.0
2020-03-19,69.0,1.0,0.0,68.0,19.0,1.0,0.0
2020-03-20,89.0,1.0,0.0,88.0,20.0,0.0,0.0
2020-03-21,117.0,2.0,2.0,113.0,28.0,1.0,2.0
2020-03-22,134.0,2.0,2.0,130.0,17.0,0.0,0.0
2020-03-23,158.0,2.0,2.0,154.0,24.0,0.0,0.0
2020-03-24,177.0,2.0,2.0,173.0,19.0,0.0,0.0
2020-03-25,201.0,2.0,2.0,197.0,24.0,0.0,0.0
2020-03-26,231.0,2.0,2.0,227.0,30.0,0.0,0.0
2020-03-27,263.0,2.0,3.0,258.0,32.0,0.0,1.0
2020-03-28,295.0,2.0,3.0,290.0,32.0,0.0,0.0
2020-03-29,314.0,2.0,3.0,309.0,19.0,0.0,0.0
2020-03-30,330.0,2.0,4.0,324.0,16.0,0.0,1.0
2020-03-31,347.0,2.0,4.0,341.0,17.0,0.0,0.0
2020-04-01,375.0,2.0,4.0,369.0,28.0,0.0,0.0
2020-04-02,396.0,2.0,6.0,388.0,21.0,0.0,2.0
2020-04-03,416.0,2.0,11.0,403.0,20.0,0.0,5.0
2020-04-04,435.0,2.0,13.0,420.0,19.0,0.0,2.0
2020-04-05,454.0,2.0,16.0,436.0,19.0,0.0,3.0
2020-04-06,467.0,2.0,18.0,447.0,13.0,0.0,2.0
2020-04-07,483.0,2.0,24.0,457.0,16.0,0.0,6.0
2020-04-08,502.0,3.0,29.0,470.0,19.0,1.0,5.0
2020-04-09,539.0,3.0,30.0,506.0,37.0,0.0,1.0
2020-04-10,558.0,3.0,42.0,513.0,19.0,0.0,12.0
2020-04-11,577.0,3.0,49.0,525.0,19.0,0.0,7.0
2020-04-12,595.0,3.0,56.0,536.0,18.0,0.0,7.0
2020-04-13,612.0,3.0,62.0,547.0,17.0,0.0,6.0
2020-04-14,618.0,3.0,66.0,549.0,6.0,0.0,4.0
2020-04-15,626.0,4.0,67.0,555.0,8.0,1.0,1.0
2020-04-16,642.0,4.0,74.0,564.0,16.0,0.0,7.0
2020-04-17,649.0,4.0,88.0,557.0,7.0,0.0,14.0
2020-04-18,655.0,4.0,97.0,554.0,6.0,0.0,9.0
2020-04-19,660.0,5.0,112.0,543.0,5.0,1.0,15.0
2020-04-20,662.0,6.0,124.0,532.0,2.0,1.0,12.0
2020-04-21,669.0,6.0,150.0,513.0,7.0,0.0,26.0
2020-04-22,681.0,6.0,180.0,495.0,12.0,0.0,30.0
2020-04-23,686.0,6.0,196.0,484.0,5.0,0.0,16.0
2020-04-24,687.0,6.0,216.0,465.0,1.0,0.0,20.0
2020-04-25,693.0,6.0,242.0,445.0,6.0,0.0,26.0
2020-04-26,695.0,6.0,264.0,425.0,2.0,0.0,22.0
2020-04-27,697.0,6.0,287.0,404.0,2.0,0.0,23.0
2020-04-28,705.0,6.0,306.0,393.0,8.0,0.0,19.0
2020-04-29,713.0,6.0,323.0,384.0,8.0,0.0,17.0
2020-04-30,719.0,6.0,338.0,375.0,6.0,0.0,15.0
2020-05-01,725.0,6.0,355.0,364.0,6.0,0.0,17.0
2020-05-02,733.0,6.0,372.0,355.0,8.0,0.0,17.0
2020-05-03,739.0,6.0,386.0,347.0,6.0,0.0,14.0
2020-05-04,742.0,6.0,399.0,337.0,3.0,0.0,13.0
2020-05-05,755.0,6.0,413.0,336.0,13.0,0.0,14.0
2020-05-06,761.0,6.0,428.0,327.0,6.0,0.0,15.0
2020-05-07,765.0,6.0,445.0,314.0,4.0,0.0,17.0
2020-05-08,773.0,6.0,461.0,306.0,8.0,0.0,16.0
2020-05-09,780.0,6.0,480.0,294.0,7.0,0.0,19.0
2020-05-10,792.0,7.0,501.0,284.0,12.0,1.0,21.0
2020-05-11,801.0,7.0,517.0,277.0,9.0,0.0,16.0
2020-05-12,804.0,7.0,520.0,277.0,3.0,0.0,3.0
2020-05-13,815.0,8.0,527.0,280.0,11.0,1.0,7.0
2020-05-14,830.0,8.0,535.0,287.0,15.0,0.0,8.0
2020-05-15,843.0,9.0,542.0,292.0,13.0,1.0,7.0
2020-05-16,853.0,10.0,551.0,292.0,10.0,1.0,9.0
2020-05-17,863.0,10.0,565.0,288.0,10.0,0.0,14.0
2020-05-18,866.0,10.0,575.0,281.0,3.0,0.0,10.0
2020-05-19,882.0,10.0,577.0,295.0,16.0,0.0,2.0
2020-05-20,897.0,10.0,582.0,305.0,15.0,0.0,5.0
2020-05-21,903.0,10.0,592.0,301.0,6.0,0.0,10.0
2020-05-22,911.0,10.0,600.0,301.0,8.0,0.0,8.0
2020-05-23,918.0,10.0,607.0,301.0,7.0,0.0,7.0
2020-05-24,930.0,10.0,620.0,300.0,12.0,0.0,13.0
2020-05-25,951.0,10.0,628.0,313.0,21.0,0.0,8.0
2020-05-26,956.0,10.0,634.0,312.0,5.0,0.0,6.0
2020-05-27,984.0,10.0,639.0,335.0,28.0,0.0,5.0
2020-05-28,1000.0,10.0,646.0,344.0,16.0,0.0,7.0
2020-05-29,1022.0,10.0,653.0,359.0,22.0,0.0,7.0
2020-05-30,1047.0,10.0,658.0,379.0,25.0,0.0,5.0
2020-05-31,1056.0,10.0,669.0,377.0,9.0,0.0,11.0
2020-06-01,1084.0,10.0,676.0,398.0,28.0,0.0,7.0
2020-06-02,1105.0,10.0,682.0,413.0,21.0,0.0,6.0
2020-06-03,1157.0,10.0,685.0,462.0,52.0,0.0,3.0
2020-06-04,1194.0,10.0,687.0,497.0,37.0,0.0,2.0
2020-06-05,1228.0,10.0,695.0,523.0,34.0,0.0,8.0
2020-06-06,1263.0,10.0,701.0,552.0,35.0,0.0,6.0
2020-06-07,1318.0,10.0,704.0,604.0,55.0,0.0,3.0
2020-06-08,1342.0,11.0,712.0,619.0,24.0,1.0,8.0
2020-06-09,1375.0,11.0,717.0,647.0,33.0,0.0,5.0
2020-06-10,1461.0,12.0,722.0,727.0,86.0,1.0,5.0
2020-06-11,1538.0,12.0,722.0,804.0,77.0,0.0,0.0
2020-06-12,1612.0,12.0,731.0,869.0,74.0,0.0,9.0
2020-06-13,1662.0,12.0,743.0,907.0,50.0,0.0,12.0
2020-06-14,1715.0,12.0,752.0,951.0,53.0,0.0,9.0
2020-06-15,1744.0,12.0,771.0,961.0,29.0,0.0,19.0
2020-06-16,1796.0,12.0,794.0,990.0,52.0,0.0,23.0
2020-06-17,1871.0,12.0,899.0,960.0,75.0,0.0,105.0
2020-06-18,1939.0,12.0,937.0,990.0,68.0,0.0,38.0
2020-06-19,2058.0,12.0,982.0,1064.0,119.0,0.0,45.0
2020-06-20,2127.0,12.0,1014.0,1101.0,69.0,0.0,32.0
2020-06-21,2213.0,12.0,1032.0,1169.0,86.0,0.0,18.0
2020-06-22,2277.0,12.0,1043.0,1222.0,64.0,0.0,11.0
2020-06-23,2368.0,12.0,1129.0,1227.0,91.0,0.0,86.0
2020-06-24,2515.0,12.0,1210.0,1293.0,147.0,0.0,81.0
2020-06-25,2684.0,12.0,1227.0,1445.0,169.0,0.0,17.0
2020-06-26,2836.0,12.0,1280.0,1544.0,152.0,0.0,53.0
2020-06-27,2979.0,14.0,1325.0,1640.0,143.0,2.0,45.0
2020-06-28,3130.0,15.0,1366.0,1749.0,151.0,1.0,41.0
2020-06-29,3269.0,15.0,1394.0,1860.0,139.0,0.0,28.0
