date,confirmed,deaths,recovered,active,new_confirmed,new_deaths,new_recovered
2020-02-23,0.0,0.0,0.0,0.0,,,
2020-02-24,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2020-02-25,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-26,5.0,0.0,0.0,5.0,4.0,0.0,0.0
2020-02-27,7.0,0.0,0.0,7.0,2.0,0.0,0.0
2020-02-28,7.0,0.0,0.0,7.0,0.0,0.0,0.0
2020-02-29,13.0,0.0,0.0,13.0,6.0,0.0,0.0
2020-03-01,19.0,0.0,0.0,19.0,6.0,0.0,0.0
2020-03-02,26.0,0.0,0.0,26.0,7.0,0.0,0.0
2020-03-03,32.0,0.0,0.0,32.0,6.0,0.0,0.0
2020-03-04,35.0,2.0,0.0,33.0,3.0,2.0,0.0
2020-03-05,35.0,2.0,0.0,33.0,0.0,0.0,0.0
2020-03-06,40.0,3.0,0.0,37.0,5.0,1.0,0.0
2020-03-07,54.0,4.0,0.0,50.0,14.0,1.0,0.0
2020-03-08,60.0,6.0,0.0,54.0,6.0,2.0,0.0
2020-03-09,60.0,6.0,9.0,45.0,0.0,0.0,9.0
2020-03-10,71.0,7.0,3.0,61.0,11.0,1.0,-6.0
2020-03-11,71.0,7.0,15.0,49.0,0.0,0.0,12.0
2020-03-12,71.0,8.0,15.0,48.0,0.0,1.0,0.0
2020-03-13,101.0,9.0,24.0,68.0,30.0,1.0,9.0
2020-03-14,110.0,10.0,26.0,74.0,9.0,1.0,2.0
2020-03-15,116.0,10.0,26.0,80.0,6.0,0.0,0.0
2020-03-16,124.0,10.0,26.0,88.0,8.0,0.0,0.0
2020-03-17,154.0,11.0,32.0,111.0,30.0,1.0,6.0
2020-03-18,164.0,12.0,43.0,109.0,10.0,1.0,11.0
2020-03-19,192.0,13.0,43.0,136.0,28.0,1.0,0.0
2020-03-20,208.0,17.0,49.0,142.0,16.0,4.0,6.0
2020-03-21,214.0,17.0,51.0,146.0,6.0,0.0,2.0
2020-03-22,233.0,20.0,57.0,156.0,19.0,3.0,6.0
2020-03-23,266.0,23.0,62.0,181.0,33.0,3.0,5.0
2020-03-24,316.0,27.0,75.0,214.0,50.0,4.0,13.0
2020-03-25,346.0,29.0,103.0,214.0,30.0,2.0,28.0
2020-03-26,382.0,36.0,105.0,241.0,36.0,7.0,2.0
2020-03-27,458.0,40.0,122.0,296.0,76.0,4.0,17.0
2020-03-28,506.0,42.0,131.0,333.0,48.0,2.0,9.0
2020-03-29,547.0,42.0,143.0,362.0,41.0,0.0,12.0
2020-03-30,630.0,46.0,152.0,432.0,83.0,4.0,9.0
2020-03-31,694.0,50.0,170.0,474.0,64.0,4.0,18.0
2020-04-01,728.0,52.0,182.0,494.0,34.0,2.0,12.0
2020-04-02,772.0,54.0,202.0,516.0,44.0,2.0,20.0
2020-04-03,820.0,54.0,226.0,540.0,48.0,0.0,24.0
2020-04-04,878.0,56.0,259.0,563.0,58.0,2.0,33.0
2020-04-05,961.0,61.0,279.0,621.0,83.0,5.0,20.0
2020-04-06,1031.0,64.0,344.0,623.0,70.0,3.0,65.0
2020-04-07,1122.0,65.0,373.0,684.0,91.0,1.0,29.0
2020-04-08,1202.0,69.0,452.0,681.0,80.0,4.0,79.0
2020-04-09,1232.0,69.0,496.0,667.0,30.0,0.0,44.0
2020-04-10,1279.0,70.0,550.0,659.0,47.0,1.0,54.0
2020-04-11,1318.0,72.0,601.0,645.0,39.0,2.0,51.0
2020-04-12,1352.0,76.0,640.0,636.0,34.0,4.0,39.0
2020-04-13,1378.0,78.0,717.0,583.0,26.0,2.0,77.0
2020-04-14,1400.0,78.0,766.0,556.0,22.0,0.0,49.0
2020-04-15,1415.0,79.0,812.0,524.0,15.0,1.0,46.0
2020-04-16,1434.0,80.0,856.0,498.0,19.0,1.0,44.0
2020-04-17,1482.0,81.0,906.0,495.0,48.0,1.0,50.0
2020-04-18,1513.0,82.0,953.0,478.0,31.0,1.0,47.0
2020-04-19,1539.0,82.0,1009.0,448.0,26.0,0.0,56.0
2020-04-20,1574.0,82.0,1043.0,449.0,35.0,0.0,34.0
2020-04-21,1602.0,83.0,1096.0,423.0,28.0,1.0,53.0
2020-04-22,1631.0,83.0,1146.0,402.0,29.0,0.0,50.0
2020-04-23,1677.0,83.0,1171.0,423.0,46.0,0.0,25.0
2020-04-24,1708.0,86.0,1204.0,418.0,31.0,3.0,33.0
2020-04-25,1763.0,86.0,1224.0,453.0,55.0,0.0,20.0
2020-04-26,1820.0,87.0,1263.0,470.0,57.0,1.0,39.0
2020-04-27,1847.0,88.0,1286.0,473.0,27.0,1.0,23.0
2020-04-28,1928.0,90.0,1319.0,519.0,81.0,2.0,33.0
2020-04-29,2003.0,92.0,1346.0,565.0,75.0,2.0,27.0
2020-04-30,2085.0,93.0,1375.0,617.0,82.0,1.0,29.0
2020-05-01,2153.0,94.0,1414.0,645.0,68.0,1.0,39.0
2020-05-02,2219.0,95.0,1473.0,651.0,66.0,1.0,59.0
2020-05-03,2296.0,97.0,1490.0,709.0,77.0,2.0,17.0
2020-05-04,2346.0,98.0,1544.0,704.0,50.0,1.0,54.0
2020-05-05,2431.0,102.0,1571.0,758.0,85.0,4.0,27.0
2020-05-06,2480.0,102.0,1602.0,776.0,49.0,0.0,31.0
2020-05-07,2543.0,102.0,1626.0,815.0,63.0,0.0,24.0
2020-05-08,2603.0,104.0,1661.0,838.0,60.0,2.0,35.0
2020-05-09,2679.0,107.0,1702.0,870.0,76.0,3.0,41.0
2020-05-10,2767.0,109.0,1734.0,924.0,88.0,2.0,32.0
2020-05-11,2818.0,110.0,1790.0,918.0,51.0,1.0,56.0
2020-05-12,2913.0,112.0,1903.0,898.0,95.0,2.0,113.0
2020-05-13,3032.0,115.0,1966.0,951.0,119.0,3.0,63.0
2020-05-14,3143.0,115.0,2028.0,1000.0,111.0,0.0,62.0
2020-05-15,3193.0,117.0,2089.0,987.0,50.0,2.0,61.0
